,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
PO4,-0.00939701813037439,0.0763005450931426,-0.20937855832865832,0.16776956302770848,0.11111399460225957,-0.133750173609481,-0.11627788451226001,-0.040112995569516925,-0.08566619214646988,-0.10639838351800204,0.1561404826370154,-0.03830251566065528,-0.01017335972781321,-0.0735317842164993,0.25527684132254086
NOx,-0.13715900798063146,0.3005551887032648,-0.13382529406612767,-0.0635062786458358,-0.10491077190856204,-0.09488963828834626,-0.14992166772054283,-0.05810657390050884,-0.07384521534086154,0.06409823916111301,-0.046603782560085,0.36206690119687657,-0.01187063632974509,-0.018516763566241323,-0.08984316162154579
NH4,-0.06127696446465944,0.2620907431124064,-0.21195319844720012,-0.10133696750154768,-0.11487853600204304,-0.14231238654214154,-0.19742093485806464,-0.0059397801127404875,-0.024214234485707475,0.08900383265798642,0.22204815877523199,0.10364203451409287,-0.05349870027609277,-0.048477446559262234,0.07572810661471917
NO2,-0.1332356175894896,0.2746499038313566,-0.16104053002748775,-0.06919940729280721,-0.1258342847510008,-0.13819815409101344,-0.17637474790324115,-0.008613346963854776,-0.11877091710807344,0.09727084231035635,-0.004953273091479145,0.309580357122497,0.017670017112135686,0.044001603120987845,-0.07033780131884351
NO3,-0.13687637862380853,0.3002269822726588,-0.1330273936152223,-0.063249106329439,-0.10429218941501692,-0.09392001616537968,-0.14909567406879842,-0.058791347808643035,-0.07290188156825939,0.06337736386746726,-0.04718588066324152,0.3620294397876048,-0.012337331419288982,-0.01952124353519997,-0.08994288103972393
temperature,-0.006966468321057552,-0.14992130684065683,-0.12455098363157607,0.34015667152607293,0.5146308181796274,0.25643121207020814,0.4232618205198593,0.2686348723204969,-0.1450835627442495,-0.03001789986232172,-0.1263533950829086,-0.21328123703034685,-0.24990158159979511,-0.602312309644657,0.44474621093867917
salinity,0.5012133460458015,-0.750253734876712,0.06675953916364066,0.11044221780359854,0.354475454396645,0.16866207046479467,0.370186699310445,0.07439954197670634,0.10080462747328436,-0.1510109276251646,0.10308225687698773,-0.6260079618376213,0.03926058374009844,-0.0025216291471338113,0.09458208586244207
Chl_a,-0.24377827806138308,0.19254847326179408,-0.18782445795608343,0.2755132657229574,0.05607792636094122,-0.1276139157524117,-0.1273474336942444,0.18407171396139585,-0.23859135732421338,0.033062932560270375,-0.029199654252957778,0.27525804167504997,-0.09443615424971269,-0.26332239822395204,0.2655348527482396
Phaeo,-0.14556931630747225,0.09606401524996971,-0.10696263812079931,0.06988720781022711,-0.05113251504620317,-0.08249257523998502,-0.06565427981210115,0.3715412409528983,-0.14568812983675378,0.09151721493131658,-0.027409691259941093,0.09425625028945703,-0.03325424872481399,-0.1548279691502261,0.12933206546801512
Chl_a_conc,-0.24418122729446426,0.18772821478195623,-0.18672368275966794,0.25025914824190293,0.033181544759236514,-0.12953355489772256,-0.1247352667296678,0.2554537649424822,-0.2398594829576143,0.052617031074357584,-0.03195749124832398,0.25666544340672115,-0.08830638365365703,-0.26310239548484216,0.25803290209803353
f0,-0.4058738172975921,0.32935110743367757,-0.3072232596155881,0.34434242396199766,0.06136459133641693,-0.20440852645478708,-0.16545308188138058,0.2197205721568442,-0.36194547584251446,0.1316383720613899,-0.06613640926310822,0.41897814472580464,-0.1376405952132956,-0.3920485766843195,0.41918951462852316
fa,-0.40516553900722857,0.32286515852595515,-0.30692511095698327,0.31726691410160085,0.04409912788573967,-0.2053339838678214,-0.15599152520891915,0.267988782026936,-0.3590427166836747,0.1534255877281721,-0.06647869386959604,0.3942751121606426,-0.13199205858114652,-0.3869152320573931,0.413177720172669
