,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
PO4,-0.02193651088441602,0.09602544669308835,-0.03676238926603012,0.1831064198531796,0.2735348769813438,-0.12185541962119814,0.13453775826976103,-0.009107876397863115,0.010450204640444175,-0.07262899949291524,0.15723721307052696,-0.11626813774944264,-0.07720059867527317,-0.22122823193362245,-0.03251162724821395,-0.04144431212294011,-0.03902948556774144,0.009871819700117633,-0.004742613557344611,-0.02104618011980423,-0.08428581954435252
NOx,-0.09348218933170585,0.358123244652711,-0.027476787693944807,-0.06231895004267677,-0.0737794521725218,-0.08445645572779688,-0.10463830279041372,-0.05960754197442962,0.20007350167977672,-0.07189674096644164,-0.0413550751691143,0.038204177984228496,0.0002705127409191807,-0.11617888265093378,-0.06261482446666483,-0.06949330717341878,0.3242029678306646,-0.09679472046327627,-0.008432342074571626,-0.04665139091783137,-0.15899880543256983
NH4,-0.036741858820552906,0.2878897284811641,-0.02841529150403089,-0.09210591965764488,0.12308983762426787,-0.1274691288762831,-0.11026000469374903,0.017044089986342423,0.22809750512714394,-0.020812670448859275,0.2106296211315719,0.05201248194748928,-0.01590132844132007,-0.194433363544257,-0.09426207656377585,-0.08917562297362838,0.057758313310564566,-0.014059676857941072,-0.05369314766771364,-0.06731474413938918,-0.18067383623671637
NO2,-0.05792608597784308,0.32919542823297826,-0.04628921863196815,-0.06683046497620475,-0.0647715558733763,-0.12565969533714702,-0.12238994950833415,-0.016077542463313905,0.18578153650706958,-0.1098775561594924,-0.001867493365906814,0.08540673556335995,0.02521598927470231,-0.1658747581537014,-0.04490020964107788,-0.010700769782100583,0.2688677032751142,-0.0931297784716503,0.027303038725397785,-0.020670760023859893,-0.1944069367423334
NO3,-0.09384262912863833,0.35769955458875446,-0.02709052865825799,-0.06208467005204514,-0.07374343614493528,-0.08354876209618087,-0.10407376288878063,-0.060188200740794666,0.19980535827987247,-0.07107517105046779,-0.04191413407882142,0.03731313758346741,-0.00014975194859948113,-0.11504771531094944,-0.06275363078646141,-0.07030555142944993,0.32430966077658396,-0.09661033880428922,-0.009011970222790806,-0.046969804295543816,-0.1579991183530327
temperature,-0.29362181460554077,-0.1911015006947397,0.03415934506534046,0.3268447471229582,0.3759552076783972,0.23587238000345304,0.5253555839533137,0.2437804566913207,-0.315739657314286,-0.14260123331279123,-0.1127821104505826,0.05713694752850998,-0.46498841296894644,-0.03289451064115289,0.37401675956600056,-0.31944414502370394,-0.18466270696839476,-0.009892575465316413,-0.26631582903821027,-0.09891710929197846,0.4859624540362073
salinity,0.04752219155996014,-0.7545989005003101,-0.22051781806777832,0.1179167478506859,0.10884202937443768,0.1562218967970397,0.36732321591522077,0.11488460326159092,-0.2551484901494431,0.11698872423314619,0.1097028369619695,-0.13680017516669643,-0.005815813015331958,0.07641893194770104,0.06113669883510429,0.19083593453551267,-0.5627951954794572,0.4129567809287695,0.04902750059588022,0.11541802070490423,0.42128101344608354
Chl_a,-0.21002461982572396,0.15009543601715525,0.2256464822477765,0.26341644747678283,0.21292024562685452,-0.11272039019428648,0.07074792156921243,0.16551863101806008,-0.046418530265352406,-0.22823288165209524,-0.019374807555634716,0.06034497611144067,-0.195171167381444,-0.15467278358052775,0.2781605272451221,-0.21551613553340876,0.27399395315565556,-0.17759745198538276,-0.09642442433371001,-0.06514068896585845,-0.14956949846572543
Phaeo,-0.1258676350400967,0.060461520799973266,0.1367310625971065,0.05054393331280044,0.06729030534772854,-0.07601618362886503,-0.04736997130311608,0.3410234440028693,-0.019820491087612288,-0.13997748207832733,-0.02880947359862712,0.10687626993918571,-0.11656771299936583,-0.09012734835984038,0.26821169445514914,-0.12177701302316551,0.08787387741370059,-0.10935572237908939,-0.03367816985256972,-0.009776815405306852,-0.0977245485884129
Chl_a_conc,-0.21049509574481384,0.1424197162752416,0.22655981066735176,0.23484964930563101,0.197011571981698,-0.11527208486983789,0.046518084996464974,0.23158885190427622,-0.044349601316187724,-0.22961287643598843,-0.024090573904641765,0.07969094026111598,-0.19550017252459936,-0.1543216065592377,0.3063617503851559,-0.2139934707111865,0.25387038652558047,-0.1787890418766218,-0.09009055447485054,-0.057336774910593205,-0.1521017821535318
f0,-0.3148595713469574,0.335058875232233,0.15161279210827538,0.32459079523967754,0.34839645662416874,-0.18409343807158451,0.08191513595393225,0.18664531008460783,-0.0010944563385669867,-0.35069747998307454,-0.05773035141404732,0.15091675984092948,-0.2963485583016999,-0.26281334569902837,0.3862156924846042,-0.34103675504633246,0.39529834112188134,-0.3009624765848312,-0.14922150433875453,-0.0667429983577442,-0.20248512117115103
fa,-0.31255070329351764,0.3268256050034286,0.14760700199322976,0.2961853652915323,0.33669362175675543,-0.1864100210705085,0.06381958513926034,0.23155131480331337,-0.0021074553983784737,-0.34820803221855623,-0.059482666656859556,0.17315010158392583,-0.2940912589602257,-0.2646026705037925,0.40399865879100205,-0.33546780382299357,0.36996502072280096,-0.3024640929157069,-0.14407254220303042,-0.05322736946464036,-0.19964311652536332
