,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
PO4,0.13376508437546414,0.06729335691483358,-0.13408952674801586,0.17446054316228887,0.2053842784229527,-0.10358414024802971,0.07490414230539647,-0.035887800265667194,-0.016523159579196752,-0.06224400414908257,0.15043516681252944,-0.013372596402246542,-0.10166080244860748,-0.04753294754535514,-0.024034538927359086,-0.029266896908219826,0.02677199823519316,-0.09916925988317071,0.03492959829676833,-0.005188976242879475,-0.011285329718658432,0.1537386258360594,-0.057994230967370414,-0.06102526776970928,0.11877054259151489,-0.06331727292430867,-0.13110984384051377,-0.08658470345180992,-0.099970119622768,-0.13604116401829985,-0.0030622407909958035,-0.036286535754814706,-0.12258624482790757,-0.017046261728672144,-0.041793485957482904,0.015100281727267573,0.07115105304250184,0.005824326264034557,-0.051054866445186906,0.013299303401956983
NOx,-0.05896579785948776,0.07748238425203718,-0.09448562914187647,-0.08371020440984478,-0.0747683622362244,-0.07342187473707537,-0.06991666416448515,-0.05345997936277573,0.010158527705005528,-0.08492007086420952,-0.06279079350239092,0.02589014909126423,-0.045528816544433026,-0.09376467560249005,-0.06004981171989471,-0.043395696341439166,-0.013704432435750966,-0.07152913218043816,-0.017366437292908612,-0.009882846141442272,0.07976577015466471,-0.040816583030158754,-0.06363135395524559,0.07545762741952881,-0.04709923046943994,-0.0787948697089623,-0.09320291738847111,0.08468739028789002,-0.10940774273623613,-0.08655120368831867,-0.02866219784764844,-0.02105140025727112,-0.0035655388079164387,-0.06463263377966028,-0.0037795073293715375,-0.09793602797960592,0.39802876571674517,-0.12401483571719239,0.25665998407532076,-0.015936787014269788
NH4,0.06006445589632733,0.11823319797424972,-0.13374425073922025,0.03875901782236347,-0.01656270285243895,-0.11172689516556251,-0.07352902573422816,-0.010612659154354456,0.07769831811085418,-0.0491561148790938,0.16594180921889368,0.05220893228114871,-0.11626580846145884,-0.09944866707758131,-0.07749997840711029,-0.10330272796742095,0.06016720754679143,-0.10727251081132953,-0.06095922174431129,-0.008371876334285428,0.13457315668426784,-0.08068296244883082,-0.09162997650291284,-0.010742098984637485,-0.021506428093625473,-0.10277488950639468,-0.13721994081658892,0.002841802842628466,-0.15193647677079802,-0.13076192660067212,-0.043598114874799115,-0.021607674560264124,0.012402606292546026,-0.08675197334807308,0.012148485560729012,-0.02678895019030587,0.29932584053048594,-0.06096279373736474,-0.009592951257922965,0.004643118497396585
NO2,-0.02564877627979463,0.08819514891914124,-0.11765917783857001,-0.08630796445660141,-0.07582107102579827,-0.11035482860020494,-0.08446603306125479,-0.024825581654853362,0.029357443521913246,-0.13407005137170722,-0.045470404888922775,0.045077780881192436,-0.05437757790208364,-0.07693477276981706,-0.05833798765336172,0.013792613004831117,-0.01737746042342828,-0.1060959624738893,-0.0013739411353418745,-0.0031065698619989765,0.08467126411663257,-0.05408790828803129,-0.08818938250834904,0.050594290585881066,-0.04574464579220533,-0.11270770772399365,-0.13535010540501943,0.1366327514299297,-0.11032820015409858,-0.1263230716314932,-0.0029924667457062195,-0.046241117775026666,0.021396434569795328,-0.08364874698927366,0.011781463364234912,-0.10582730575475774,0.3110529707676064,-0.17272954548105568,0.17248358476083456,-0.004689865821021785
NO3,-0.05937630784322449,0.07710525946847739,-0.09385569936765192,-0.08345374274068873,-0.07456061563456629,-0.07261405314142808,-0.06949423853520847,-0.05380572295265679,0.009809786261073731,-0.08387753651618536,-0.06292252176474067,0.025501612056362793,-0.04526426090396328,-0.09380942705464393,-0.05992597436142799,-0.04424729068862311,-0.013607820120230422,-0.07076591905639211,-0.017591286733126127,-0.009971702101343342,0.07948051858671004,-0.04048961807288173,-0.06305656049730687,0.0756840307667664,-0.04700230118617643,-0.07802418910861464,-0.09225711570235681,0.0835984296958261,-0.1091141769459731,-0.08566226113171119,-0.029021105465136157,-0.020574208281856042,-0.0039763307993879345,-0.06414850907716488,-0.00403163279088338,-0.09755437250327809,0.3984800004862722,-0.12288025455396406,0.2574234536007376,-0.01608545075726715
temperature,0.1932051321183424,0.03607325012007577,-0.09086970140799952,0.3481957390709961,0.3555393941358606,0.20258649535428874,0.3539695238510946,0.2878541023338016,0.018288945370669767,-0.07605878629716264,-0.04563646799634914,-0.0972336177279789,-0.2362439917954311,-0.19538779795130762,0.2994019173614906,-0.35873592498310813,0.006542985676522925,0.24796364958180545,-0.16644975314256236,-0.03867656109704959,-0.24382583407066688,0.23371881914162282,0.28544643337703735,-0.07193975918238807,0.1793691630931959,0.17476457669781814,0.3123537982507181,0.05387216694438124,-0.05919659906666974,-0.03427387447171158,-0.05909812324417181,0.02185601342570762,0.05715296262248893,0.29256147992718395,-0.41103175553974747,-0.048010131289820554,-0.34581005600761294,0.34748483691416066,-0.13792898220527852,-0.022833659072418796
salinity,0.132579721588956,-0.4591463856111649,0.1219879919364695,0.11788771232609518,0.23684597326735504,0.14595596292848848,0.23895752528495534,0.13038138101467178,-0.09325134910712643,0.11594172780413241,0.1503694526420709,-0.2470916400292305,0.0477477735664637,0.038482056976786035,0.08165319080168769,0.11670901722246284,0.004797375980769726,0.15289956478884334,0.05727113582251944,-0.0077711169016166474,-0.1434142878444199,0.07302837344668961,0.17605804000341868,-0.08704877178454509,0.08478448516401645,0.24709040377674196,0.1959179806060385,-0.39362990737149683,0.2014175245664962,0.04798407744796776,0.057590340825232976,-0.15128553095604882,-0.03930970744252947,0.17795322680792616,-0.03982310323750088,0.36700669302165195,-0.5897510792653917,0.30004516907618684,-0.39125313591447175,0.06212458852327598
Chl_a,0.08015373391156339,0.11622438317454929,-0.17906517076712075,0.18167217235871552,0.1434368477432199,-0.09862458533703566,0.03470102154790676,0.15518346015309736,0.033200171095718274,-0.1807038540056774,-0.01881898890209765,0.1493340171657762,-0.1062016340760906,-0.15834945135731404,0.19781422063731446,-0.17245236149817006,0.14260560722106985,-0.08895385774303802,-0.0685424366014568,-0.016178915674515144,-0.025521324657679242,0.17271232657317148,-0.052471199823494186,-0.03073162202293743,0.13693709417279393,-0.08573741395562104,-0.0990331036562834,0.28635294767117897,-0.1350305711779295,-0.11392232685486398,-0.037772350331497825,0.1784341382348151,0.012621414561596916,-0.02603195105129064,-0.17446621992181868,-0.1783398039724547,0.0982511918228277,-0.10441371995964323,0.15988795566015812,-0.026273359137890077
Phaeo,0.04735428229099537,0.09487210962747117,-0.11105564809862029,0.06943060074519272,-0.0164751945860672,-0.06517179475392498,-0.02599504976707656,0.3561615791501892,0.04463614400713925,-0.11511185250374027,-0.024741771198090023,0.02443092287767381,-0.06061694405394843,-0.09589882466443417,0.18866820006213947,-0.10155289099215331,0.21055165116977836,-0.07187632627746782,-0.03260353003784497,-0.013847506216515235,0.04068206838643121,-0.0017592263084474007,-0.03568474361850304,-0.026020430091048215,0.09440154442848261,-0.06602131529404538,-0.0674698754957418,0.20083427137716378,-0.036269892312616514,-0.0739861255666347,-0.011615244410868041,0.1502135294504101,0.10323511071411695,-0.04244541418299983,-0.11472563927941101,-0.11288714841023373,-0.01658850841081454,-0.08348737182276725,0.03560191611655029,-0.012210067120515828
Chl_a_conc,0.08014805474234701,0.1233361620519225,-0.180482912239615,0.17136267512773762,0.1159283164588482,-0.10049355098708389,0.022066567528664302,0.2270259666370984,0.03999566998050842,-0.18296044361321295,-0.022518900802184952,0.13199183738481282,-0.10561645068995906,-0.15897587201857422,0.21730694017782162,-0.17235027304572495,0.17690878575626104,-0.09419718926147072,-0.06639380143079408,-0.01734302748931764,-0.01037077188906042,0.14450084953808615,-0.05374032532201417,-0.03286602916334747,0.14059505699740465,-0.089906552106763,-0.1014608091928807,0.29493368768540423,-0.1232015773408545,-0.1157294963912641,-0.03486260814281453,0.1905915492166432,0.038641435818380684,-0.03338332390945049,-0.17761950102627388,-0.18037160088170293,0.07796762823995572,-0.11032902886548841,0.14388597652833474,-0.02537168455839855
