,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
PO4,0.13110340477324633,0.060752249257678845,-0.17868635927767695,0.1658040175161755,0.20489634297010828,-0.10371703341664086,0.07488484731315692,-0.033305038721113955,-0.017027593348740776,-0.061628008402655504,0.1497857922027594,-0.006015959336688793,-0.093736676868674,-0.0491214460043674,-0.026204881435311363,-0.11175544954586861,0.025337151089956596,-0.09771927181187975,0.034744434522177466,-0.005073699490415153,-0.013153887268279874,0.15308952541675014,-0.057655003545944994,-0.013231106421228232,0.11797993705273005,-0.06386612499150048,-0.13124028482879166,-0.10695490509294966,-0.08679069667056483,-0.13640551370676776,-0.003343949730211004,-0.03661252028866047,-0.10243918592646031,-0.032527470663833304,-0.04360342157487955,0.014713906565702031,0.10789748214766344,0.01017686590784601,0.0712189814101755,0.013310617506949372,-0.04960667694818994,-0.017346257702285983
NOx,-0.0567282430977203,0.11480485512352573,-0.0038650092849509352,-0.08363082974999972,-0.07447881460085493,-0.07379810658414511,-0.06993760808204663,-0.054414830080985424,0.013010693355808657,-0.08437086559266577,-0.062727395423826,0.015965770778901094,-0.043203448401147024,-0.0934914153831731,-0.05913868870149788,-0.1007194619437296,-0.013314462318422374,-0.07516015003934413,-0.017646785410967855,-0.009790211214860295,0.08171664228343863,-0.040551288501867705,-0.06407370390033895,0.061088224315779906,-0.04687633107587103,-0.07902094369348808,-0.09337548825072234,0.1083506744872305,-0.10930853548197747,-0.08841137839259602,-0.028795261261733096,-0.021295788647744666,-0.012905657129213533,-0.0441313740318061,-0.005355179817645437,-0.09842313504248619,-0.013857999548874785,-0.1250667315274296,0.396902871329813,-0.015906262863150587,0.25430863811060544,-0.06461733859450576
NH4,0.06166305385611506,0.13093332247143735,-0.07529636812004523,0.03198293026369145,-0.01739484802936537,-0.11194994930943275,-0.0735534237831574,-0.011579869945848694,0.07879521471615733,-0.049381500888944455,0.16554654986315015,0.05308531637700678,-0.11816816433658173,-0.10231943249938244,-0.0780530891567767,-0.137939500096157,0.059570090073914894,-0.11054899111427108,-0.06104425958543676,-0.00805595505937927,0.13363602283421244,-0.08071850788193347,-0.09158854400633974,0.002081709806885031,-0.02196839893804257,-0.10307549448133857,-0.13645485319249723,-0.0033536193618384797,-0.14951027009512818,-0.1309788092857862,-0.04369274143042938,-0.021930624880041282,0.01897524632547632,-0.10481995742128938,0.012549228766405917,-0.027672072292816464,0.08520132302598721,-0.0569765609362706,0.3015239649074887,0.004619931371785667,-0.005995780850868058,-0.08682969774604471
NO2,-0.021922833443935186,0.10829650309331275,-0.026490406266076516,-0.09102476484014164,-0.07540069679332165,-0.11085440471867404,-0.08448782220462109,-0.02682024162985909,0.03198314667401558,-0.13252582768019966,-0.045254446279579974,0.03472789663998147,-0.0444305012377558,-0.07866638504366769,-0.058879388930576024,-0.10850542168063285,-0.018202560304218872,-0.11027014899705018,-0.0016597945010915628,-0.002994014768433638,0.08688074544415836,-0.054140893806146395,-0.08839636541295234,0.03734184613213451,-0.04623433689414404,-0.11303675350462675,-0.13584395203901128,0.1422916667518628,-0.10482874274262895,-0.1279877923172776,-0.0032624861318633564,-0.045784610808148364,0.015085168696836983,0.011398029681543475,0.009559430565664145,-0.10654175064857958,0.06958946365658336,-0.17337419906698032,0.3101386480909492,-0.004679329771097042,0.17206749102989866,-0.08361086322999119
NO3,-0.057169474662150985,0.11462252223126569,-0.003474631588864272,-0.08329389927872952,-0.07427400442135665,-0.07298725409027455,-0.06951511500268218,-0.05474065735695037,0.012658511550404448,-0.08334646314970878,-0.06286185085907171,0.015609615651403952,-0.043072998563905694,-0.0935031398967433,-0.058992736041845184,-0.10033250318098218,-0.013198404002802075,-0.07437857191173267,-0.01787082968761928,-0.009879637679441989,0.08142208239700297,-0.04021964445269035,-0.06350174493140262,0.061332363685390454,-0.04676798273394576,-0.07824795651454816,-0.09242384415383309,0.1075043977419646,-0.10910605280227148,-0.08752099528287516,-0.02915152710156178,-0.02082976440245833,-0.013343653744549287,-0.04495319608440582,-0.005592428729679414,-0.09803641770659935,-0.015226343336830556,-0.12393632645861358,0.39735340922123386,-0.016054667994790876,0.25504553360731824,-0.06413363270266773
temperature,0.18160023785384038,0.004273528267510096,-0.05553537938319811,0.34647570842380937,0.3550695186919395,0.20170440621823577,0.3540468618298235,0.29103047392775444,0.015026675878794409,-0.08379968839213345,-0.04752972721817886,-0.09449952352972213,-0.26134044838042364,-0.19541968065695067,0.29747809898674865,-0.12353946570785784,0.005176219925033304,0.2601044345866772,-0.16653448760381576,-0.038843914211437236,-0.24109702077494546,0.2330166989676709,0.28618209612562145,-0.05782988118619978,0.17894313962794417,0.17493089516873456,0.31295526544852925,0.019525776971315318,-0.05199872006868954,-0.03387659605721288,-0.058973688797574655,0.02277747111504886,0.08083367255521384,-0.3552544540992466,-0.40969174687395465,-0.04758714866349517,0.16972479274736563,0.3531276124065801,-0.35057393826165917,-0.022879822138263856,-0.1398805076877626,0.29258710702386415
salinity,0.12477615422443465,-0.4989006025103599,-0.001726891352442742,0.1390283895445121,0.23537794308138776,0.14646375563311706,0.23900869447942463,0.1429516779071983,-0.09164679377447946,0.11445896744603545,0.1502624673050824,-0.2368105860700983,0.04747086752283716,0.04684472308484888,0.0872177535151257,0.1614302882689972,0.007621258153584002,0.15825995840334842,0.05745506951603517,-0.007840108673477791,-0.14387050632312415,0.07464587347313385,0.17659337955602517,-0.0804094671981652,0.08672063774610322,0.2471238031777524,0.19493265911086238,-0.3670049766751167,0.210719853212606,0.049140075034371074,0.05736004958609562,-0.15309680958523125,-0.039700688634454015,0.11803525128924784,-0.0391050302638143,0.3677458231190853,-0.39795185709143566,0.3033812603920883,-0.5839550339982216,0.062029877069750584,-0.38930369949731075,0.1777998911188024
Chl_a,0.07745105788624014,0.13300318673774225,-0.08515058990122262,0.17963275809967555,0.1442779580113771,-0.09923890205518678,0.03466663986754091,0.1519112901226352,0.03191474787710113,-0.18235647881375938,-0.019678625623024526,0.1387538882215212,-0.1139230990177833,-0.15934062375785013,0.19482557551927293,-0.2008954271755234,0.14112734148396747,-0.08872188846619844,-0.06853972658336921,-0.016208883780256728,-0.023162817043220464,0.17232170482280876,-0.05204124513512076,-0.018374564362653095,0.13597218525102933,-0.08601876983207174,-0.0986919505155748,0.2739744582924818,-0.13690729256549516,-0.11556796757863165,-0.037769112891003744,0.1799344207911413,0.03156111394123163,-0.17209878887178162,-0.1758737198565458,-0.17873160455299308,0.15463211413040223,-0.1008434145136548,0.0913594475735876,-0.026235477562461904,0.1567082853234942,-0.026038357349909683
Phaeo,0.046946072471698595,0.0925999961473542,-0.027988124511634297,0.06255829458164633,-0.016060099554672823,-0.0655832178595899,-0.025998841992247616,0.3473761291134176,0.03837550693834471,-0.11610514759752966,-0.025174955623290952,0.021667115175925095,-0.06786907119195197,-0.09781974249681635,0.18172394029574748,-0.12455193116427038,0.20718086318886436,-0.07135785341469972,-0.03226295325582913,-0.013893754839566522,0.04339936745324638,-0.0027317349283122253,-0.03398931118374701,-0.015500820877115209,0.09249410550298887,-0.06600866269085176,-0.06641974466163661,0.15849843636875005,-0.03993241244201111,-0.07461340614099901,-0.011732890506392115,0.15169835143114418,0.1267303756096448,-0.10104826744333792,-0.11580893585982661,-0.11313415141107963,0.22887215417349144,-0.08298953521638927,-0.02044047469970169,-0.012187165824028776,0.03346210811498031,-0.04223359437482182
Chl_a_conc,0.07776846317476091,0.13680340119145484,-0.07908117148717003,0.16778368740175298,0.11674713646698814,-0.1011209975682622,0.022036676472062856,0.22189241531809537,0.037215777208713885,-0.18461755235062705,-0.023358186843865862,0.12235976192658653,-0.11406827458191858,-0.16032975685757178,0.2129115975009333,-0.202474388529581,0.17475212527209238,-0.09386161104430218,-0.06629899930968401,-0.017380748162865833,-0.0076527543061005125,0.14390874310775198,-0.052918799297049554,-0.019635276146497186,0.13926688026518685,-0.09013929141731086,-0.1008891396189471,0.2730411711971965,-0.12577196812709862,-0.11728130437846387,-0.034891852431964514,0.19225431539404664,0.06092301531801213,-0.1719163806701032,-0.17909529761119444,-0.18076759282958615,0.1919813990396832,-0.10719677909748226,0.07113604082012256,-0.025333664090453734,0.14063554732569733,-0.03333115469491567
