,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
PO4,0.1298111744495164,-0.00782141756839045,-0.1805412033689743,0.20667487672334828,-0.03676547492817771,-0.10403470675102064,0.07765533940645852,-0.03086342334366804,-0.016872327075388376,-0.06280002645166537,0.14801935264366353,-0.10648732544525699,-0.09390304000210119,-0.04783744867824204,0.17593120295103998,-0.11113241720205819,0.025320613708782677,-0.09936107689752503,0.034476275273361015,-0.0054268977604884985,-0.01471330581290627,0.15311910061556294,-0.05665880862637286,-0.013538051468681119,0.11833972887774571,-0.06277400643785425,0.04482225426785628,0.06339931081244352,-0.08861690701192021,-0.13753296208917823,-0.0034004828926247803,-0.03666425834625469,-0.10354217701135608,-0.03255065979291212,-0.044649471829106745,0.013716364468029398,0.1102844424120371,-0.012086170339172937,0.0362859688236437,0.013225418595010587,-0.04921554238181029,-0.12971414989666405,0.10012390654753188,-0.026925754627963414,-0.002725140120700919
NOx,-0.056085333924838686,0.0159956995924294,0.0019325306346202678,-0.0744518049681752,-0.09855742792564204,-0.07319589729304567,-0.06730674695382598,-0.054609800301494385,0.012749172249930392,-0.0833155083140784,-0.06005867334119025,0.10907053582146953,-0.04304141582111961,-0.09298782754664446,-0.08055767152161705,-0.0999008883740493,-0.013213947844449014,-0.0693750984508012,-0.017995103101852296,-0.010054368561342434,0.08208894554830468,-0.040555789972002834,-0.06462624825984897,0.061486294941897016,-0.046836385014212056,-0.0788170638356856,-0.12860841981811916,0.055686218965473884,-0.10853545315890585,-0.08809655529974406,-0.028835757927278122,-0.021192319330002388,-0.01270512942012612,-0.04513927278082355,-0.006281118767180024,-0.09593615824826753,0.1765308085817754,-0.11762364763708515,0.4055144585886416,-0.015917654140900933,0.2515082449626106,-0.08839263395539385,-0.014511189725886185,-0.05852447984608377,-0.05183896064330394
NH4,0.06243367311849397,0.0331403702375883,-0.07536990372533989,-0.01635986159470159,-0.12739041382466237,-0.11181636495351666,-0.06994071626349435,-0.010212375287416132,0.07779651240123285,-0.05047946950354368,0.16569810488695885,-0.0003768711346948013,-0.11800212971905376,-0.10204044955659015,0.04172567854807224,-0.137958694137421,0.059953151269514136,-0.10810726806163187,-0.06261291865266222,-0.009128060522191605,0.12852116522789786,-0.08069883414619963,-0.09252140167024434,0.001342618448700138,-0.02139714502964277,-0.10239738681262486,-0.021434708967813666,0.13139048212622328,-0.15032034347985646,-0.1310028534150086,-0.04385412228426228,-0.022050484131550953,0.01843760261002579,-0.10499661290157472,0.009704267832107084,-0.029040519652189394,0.4657495603063415,-0.0690743075800806,0.16858390928272426,0.004156330204968726,-0.004215371112607985,-0.1343914057359759,0.058286322298192,-0.07865196943795516,-0.06656506024242033
NO2,-0.021557343772058448,0.025205236291882403,-0.01831744037532535,-0.074586777365101,-0.1412825988384552,-0.11004639803189893,-0.08036223274213344,-0.02647987670154481,0.03159445836183803,-0.1302946436738588,-0.040840505156333654,0.14215807718376058,-0.04450665541101442,-0.07594443503464114,-0.08321221747163621,-0.10629081108080289,-0.018133441263322777,-0.10291778220398315,-0.00221569472157997,-0.003615390052640291,0.08554919652781909,-0.0540889300565988,-0.08917075691168766,0.037090250418080936,-0.0462213280816031,-0.1123833463820954,-0.18928186014308213,0.07625609806418307,-0.10363940519553444,-0.1276384718088554,-0.0033270222645492785,-0.04572944495230384,0.0158976446328348,0.009212984570261424,0.008131136078130003,-0.10176591875711652,0.2446813938675107,-0.1599666662776845,0.2779248284817577,-0.0049385685691917935,0.17193914451317155,-0.12852350468035925,0.06254739856827338,-0.057885763347074556,-0.0601659266011441
NO3,-0.05652353345316266,0.01580014072536455,0.0022682184910923983,-0.0742602990796174,-0.09758829503187227,-0.0723900369113169,-0.06691608177174113,-0.05494413623051106,0.012399794080975999,-0.08231356542690096,-0.06022926610118663,0.10823678423580632,-0.042907371579548534,-0.09303814437630539,-0.08030826758444742,-0.09953949121520034,-0.01309761694464205,-0.06863458618554469,-0.0182147705623268,-0.01013711528901398,0.08182209776897112,-0.040225084213227257,-0.06404915346019022,0.061740349764165585,-0.046727685125739396,-0.07805215580656433,-0.1272610199770629,0.055198699568149726,-0.10834193675463599,-0.08720755262087218,-0.029191516497644808,-0.020725745621798703,-0.013153928547916888,-0.04593873370801855,-0.006507564697661807,-0.09559426012360649,0.1749358395777411,-0.11661248145293955,0.4066297820934177,-0.016061861581366566,0.25220731507243677,-0.08749297265418617,-0.015770413894738475,-0.05838647003496042,-0.05156714285721413
temperature,0.1832602823299626,-0.08837004386773992,-0.06177685081390778,0.3529820160509646,0.3447656749981872,0.20029491380841855,0.34631047126931724,0.28487681455903024,0.01833609032264079,-0.08541692490114591,-0.05480279645001375,0.014777975627079892,-0.2607877528132395,-0.2093533091841212,0.3406502371532382,-0.1267074519146092,0.004823586228243672,0.24458252240566908,-0.16565463603069408,-0.03725436585492838,-0.23906825284010455,0.232804738359818,0.2867277238755419,-0.05827250041186055,0.17840343444991907,0.17262117417848982,0.2618775714260253,0.04465336470933672,-0.05516587251796175,-0.037742648562681363,-0.058902034054966024,0.022859938694124542,0.07978499494305287,-0.3534310657516175,-0.4089778116470365,-0.053078871197733225,-0.3012459104250619,0.3468638278507527,-0.3004554584109639,-0.022484717127274657,-0.1406141085547098,0.3002070484921121,0.18721982847346624,0.2954589649400843,0.2517921658188148
salinity,0.12367782273933134,-0.23259702162095125,-0.009198197125685587,0.23492704086739657,0.24162817512901283,0.1446980873845694,0.23386731777081426,0.14123209015764784,-0.08854765054831662,0.11353191763163382,0.1450197243340435,-0.36964783251296607,0.047865897449393444,0.043976069729969876,0.12969521934968858,0.16211848874526638,0.007286611218317616,0.1484673005337684,0.058326841656395,-0.006865509157789182,-0.14341492182887802,0.07457423789318626,0.17670640720915465,-0.08118674699439121,0.0865530402286088,0.24721758073648728,0.2455980750766114,-0.42872582883546273,0.20772061295740973,0.047067452189305914,0.057455917170685385,-0.15300656331279366,-0.04051240268708133,0.11937569837257703,-0.03783720754169434,0.3647717369310976,-0.3651408933372545,0.28960293413449817,-0.5691533491938856,0.06204841756693972,-0.3893680800229907,0.18625984280731298,-0.3877762240722482,0.08627213615299838,0.14802865076432647
Chl_a,0.07678712529125231,0.1454264719508705,-0.07980618929350915,0.1447330030633203,-0.05100021377971504,-0.09860900585619767,0.03732339828900894,0.15137744580180487,0.03275589171745066,-0.1816492157080965,-0.01788944080465297,0.27255604434664266,-0.11404824059623109,-0.16086623170339878,0.18194799318304367,-0.20095380190965756,0.14110475948217052,-0.08853226689085791,-0.06836224511969255,-0.016147121663126117,-0.022640570740222674,0.17236232913328442,-0.050532614796989825,-0.01746161897959528,0.13542912134681165,-0.08600085772016534,-0.0935919949057839,0.11113240423818152,-0.13505023049003867,-0.11533274694321838,-0.0377743318857394,0.18007529276018208,0.032222279084332894,-0.1730619873137535,-0.1758848681663624,-0.1765823560226461,-0.02318172553547173,-0.09597195476594568,0.12974904023511957,-0.02617313031072637,0.1571820482332539,-0.09680250728326627,0.16451456813879,0.1975314265579154,-0.01087875357130115
Phaeo,0.05029598245708234,0.024738840036256555,-0.023879560286095145,-0.015636757580586795,-0.05938920955138489,-0.06526928705378106,-0.024019733358028636,0.34399576590808145,0.037917787855801646,-0.11533737389510629,-0.022412100292124492,0.1539193893756628,-0.06792485140837722,-0.09864535260854601,0.06552241664992191,-0.12425590095849959,0.20758803959396643,-0.06757480883103237,-0.03202298288067032,-0.013817887145491498,0.0436477197182218,-0.0027225946523335566,-0.032310404987741265,-0.015198624614777174,0.09207821774203487,-0.06592077282419667,-0.09864983562864171,0.09423633720374347,-0.037900567581163926,-0.07401049404077109,-0.011727941842329333,0.15175344152531856,0.12993332460780582,-0.10172210044559749,-0.11575173355272336,-0.1113060777734709,-0.043994685358551194,-0.0749595882372675,-0.002776884041684775,-0.01217178547230024,0.03335493381620831,-0.06055181028322102,0.24023727658401672,0.18342271524098328,-0.030945650606218525
Chl_a_conc,0.07812123985278027,0.12879540630318617,-0.07347874869596066,0.11724412475807165,-0.05894553032347016,-0.10050695973120832,0.024804502596908484,0.22052592302488172,0.03779750087935163,-0.18381527171480377,-0.02110569557743982,0.2706064941493732,-0.11418847563460696,-0.16183468830562286,0.17053243741841068,-0.20244296471869738,0.17484379033830383,-0.09267466769765267,-0.06608482248463912,-0.0173082919934193,-0.007146896582288625,0.14394532732354898,-0.051196297355635495,-0.01878682817985553,0.13869803202417685,-0.09010037781301874,-0.10536432812262023,0.11888910958633628,-0.12366109866116377,-0.11692005659902702,-0.034894888935140575,0.19238753341578735,0.06234818414421835,-0.17290797781729705,-0.17908911514826198,-0.17846681536262454,-0.03141168063014532,-0.10092600000844698,0.10815998019022757,-0.025277149834166887,0.14100411815075367,-0.09770890696615084,0.20336461895084518,0.21564447258795463,-0.017539138783475124
