,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
PO4,0.05013661258222028,0.06382201223866786,-0.17956547380111193,0.19441746013314498,-0.04185510577572399,-0.10399168789981918,0.07680387815503367,-0.031983588458150136,-0.017958454604332104,-0.06244174632914849,0.1463008423018868,-0.04458745665228614,-0.09820187182090415,-0.031094874897679203,0.16598119805629546,-0.03852602826706929,-0.11034899082500896,-0.04411583014265101,0.03405083236351378,-0.0057750504552513925,-0.013254214688519499,0.15270230828646697,-0.05228711338189408,-0.01608575000347385,0.08756463235309368,-0.0615630979214342,0.04726034410055077,-0.09869084083923904,-0.0935021063132515,-0.14183066689592524,0.02576383836586357,-0.03655721952275543,-0.06447268809274331,-0.12763978040178692,-0.046714863699062595,0.05541503314412698,0.11401004496086375,-0.07330424996152096,0.03463933412881907,0.012412281399274975,-0.05000806269041329,-0.09871764266189656,0.11442480797423184,-0.03345610524415285,-0.005686278195871847,0.1168566475392935,-0.10860968441866146,0.0026640178283556053,-0.0035672162814723877,0.12099294761227802
NOx,-0.12035032349975033,0.075352656824485,-0.006126057926257914,-0.06932461876597715,-0.09788861712905567,-0.07281024261006387,-0.06795922522507586,-0.05693175932720287,0.01416360986700839,-0.08310612443490378,-0.05880734654030538,0.11245186468521175,-0.04182687716600527,-0.08555894627823793,-0.08013056949875454,-0.04424737356708907,0.010117627991639663,-0.09619207184026167,-0.01807854458664769,-0.009890737001003805,0.07738201324726868,-0.04041199240778587,-0.06718864935852657,0.0673097508653712,-0.044698810449224816,-0.07859578084895297,-0.12929156276502152,0.07935094276525556,-0.1079352496746474,-0.08959149585976922,-0.013032458749069975,-0.020824463786797857,-0.06217951927473045,-0.0868413523920206,-0.005384251443624136,-0.0686306805530636,0.17315196983538086,-0.10687583788585076,0.40630774163949535,-0.015275704371982616,0.2503187322667817,-0.06870194193415774,-0.009376963511084566,-0.054750919500275025,-0.05158985955950521,-0.04656115000433802,-0.09889709908703849,-0.006795544054980925,-0.028833038384673732,-0.05091048795985535
NH4,-0.033827506688846334,0.13875490900580006,-0.07909251771662185,-0.0339427038894052,-0.12684055874953204,-0.11141874318052156,-0.07084509526847252,-0.016828111645228364,0.07841932148463532,-0.04865630333078089,0.16522422586343846,0.07678273689015333,-0.11830352180491599,-0.07431919661859046,0.03480347188284391,-0.10545219570662077,0.014354781216974605,-0.056053086773195517,-0.0632152226866704,-0.009274621015412746,0.13274037585780865,-0.08052647557839915,-0.09312214004104608,0.0006819936338001232,0.06736088785021795,-0.10129103982131511,-0.026425632486045535,-0.009183333111835272,-0.15100907387634638,-0.1351170235307343,0.060080496336878855,-0.022035140199340827,-0.004685752261237561,-0.13329581931697493,0.0114308717446088,-0.019643377757936918,0.4700199033743607,-0.1299627051871978,0.16477948985370428,0.004638653889999877,-0.004344381134821893,-0.10695554943419511,0.060934119805524906,-0.07876802611515166,-0.06763431492793126,-0.02328655329759982,-0.1344678877289917,0.03383307175790416,-0.044047660787107965,0.05004098366797731
NO2,-0.1534082151837534,0.08858513689906486,-0.030365304268638107,-0.07270686778509111,-0.1407995219266503,-0.10977004493679185,-0.08134314688529043,-0.029985766223547275,0.032865625248472065,-0.13031905677046568,-0.039704467604175994,0.15443302942190734,-0.04343075603739943,-0.07351117372768601,-0.08495791624405519,0.00777050029093949,0.047922479016094366,-0.1280280443542558,-0.002946229639342935,-0.00338166478922052,0.082450528159781,-0.05384451390492301,-0.0875964995873375,0.041568797803629105,-0.022825997127955328,-0.11102238310624712,-0.19182587310418614,0.11128543972715962,-0.10543731366042687,-0.13051234167781944,-0.017938907641043014,-0.04526937897716048,-0.057238621885976365,-0.12705002190579837,0.006595515659205981,-0.05104233947177563,0.239329257441276,-0.10671949739847991,0.27746210312789304,-0.004437868247969873,0.17014757047261292,-0.1017084297251231,0.06237128934137216,-0.05434736493060836,-0.06142195891153364,-0.04605326457834802,-0.10422744548651316,-0.008010497535169733,-0.003509401000176723,-0.015155972239567776
NO3,-0.11948840054641846,0.07493856418498632,-0.0057027887048886365,-0.06909152631345117,-0.0969180601646399,-0.0720035240274531,-0.0675613774104609,-0.05724028004922009,0.01381304637327866,-0.08210078133220572,-0.05897918068498412,0.11145993002680363,-0.0416935880618015,-0.08554412008071291,-0.07984570513083761,-0.0450098376646688,0.009456042994381283,-0.09541210480876622,-0.018287116000928576,-0.009975078594184818,0.07710007854875366,-0.04008334452350962,-0.06667461928522371,0.06757162513918186,-0.044953094203345895,-0.07785060441712358,-0.12791112716403208,0.0786121240196267,-0.10770292313389575,-0.08867550018900391,-0.012916808549742916,-0.020360376022644636,-0.062104581058091364,-0.08594432545751388,-0.005572063081346958,-0.06875207235264491,0.17159877930396955,-0.10660681898090832,0.40744217461008286,-0.015419167686475919,0.2510309523174855,-0.06797215933621988,-0.01055991883951395,-0.054618545656070876,-0.0512933589246406,-0.04645134708650086,-0.09855607510747086,-0.006757836445505244,-0.029185690557306958,-0.05138247037580237
temperature,0.39045129172484366,0.02978783520996616,-0.0638993456640912,0.34726894024199984,0.34546629834892395,0.20158692468299858,0.3488453213151549,0.2992243460658959,0.014805522478403998,-0.08970676020815821,-0.05670830435485753,-0.1080900890629351,-0.26282907374366826,-0.2143241251398457,0.3380662229832601,-0.3541350560023208,0.05936085664421037,0.12963329557481934,-0.16460465569465788,-0.036632780876018047,-0.24379394951821867,0.2322999060912008,0.29673496839644153,-0.0627180541094355,0.11928683983131458,0.1699884126562769,0.2651796554380651,0.051445364533353174,-0.0410342630128786,-0.023665419922198023,0.004776271807474964,0.022964142656321948,0.1886064774939754,0.3032148652187915,-0.3990126887602702,-0.16630168082886002,-0.3022239438323428,-0.028337831946190953,-0.29933278587775236,-0.02223580295335791,-0.13975202987614993,0.24101163277860105,0.17313336147485026,0.29039430844877534,0.252977130042065,0.1788353130743811,-0.13719971308116835,-0.07214904648310222,-0.058812463777066316,0.20281139227252815
salinity,0.313906934565243,-0.4544856925466245,-0.004370607515303387,0.224053821689913,0.24040913884976747,0.14428809568708195,0.23562227293171728,0.1469448783614757,-0.09400198390363891,0.11297278193674648,0.1414266107542662,-0.30550880008412407,0.03331250309926944,0.03264023950877391,0.1356525988377704,0.10308638068383276,-0.06200989361109194,0.29113991697515246,0.05717846667336659,-0.006851840887399746,-0.1381148835766209,0.07398072440525791,0.18052914268978337,-0.08540262009499289,0.08066882354981322,0.24716485731939664,0.25960309491216094,-0.36872319278620824,0.2021850518310575,0.053328617085886314,0.007246508692386496,-0.15291640040934465,0.050818079791017816,0.1873290859668435,-0.04472637600995777,0.32119200762842504,-0.35459975020986134,0.12946131361131552,-0.5709313275936827,0.05843212479402857,-0.3912236959829862,0.1460435889881249,-0.3829172306435441,0.07530085956633073,0.14919426798190866,0.08577695340563846,0.16207769873458827,-0.2152569055475992,0.056990239362662676,0.12435415367058067
Chl_a,-0.04310706427818896,0.12222975955989192,-0.0865858964337402,0.14915695778113336,-0.05566274981645019,-0.0980015724228771,0.036273542706979106,0.15783638715481035,0.03292328317611074,-0.18341825657209604,-0.018339276645489927,0.16511462318446107,-0.11451316993873448,-0.13953887870320097,0.1875358592109937,-0.17374235035290408,0.060737521159567376,-0.1531017665419582,-0.06837633870226012,-0.01622250798333961,-0.026753068955957318,0.17201034919195682,-0.03477596417073103,-0.013762813890160094,0.026710656542085105,-0.08465043096119848,-0.1023115228695015,0.27989522033152436,-0.1349874499736262,-0.11694685327558901,0.14075919568591438,0.179934679233686,0.03223968430014457,-0.09881198943908746,-0.17312203417425745,-0.14930801084891698,-0.03268462518658925,-0.17157186147550407,0.13116968460089723,-0.02628046083902881,0.159278815393858,-0.08749811508470881,0.14152711427003434,0.1951492200717838,-0.013781394108257154,0.13726837814751958,-0.2019524469050614,0.13171715028253564,-0.03784925281483142,0.09310486040305153
Phaeo,-0.06021810701954945,0.09736247429035663,-0.031845112389763404,-0.013899634727973415,-0.06258302161153326,-0.06494000487340866,-0.024605449343644992,0.3452633589452139,0.04297258046070741,-0.11638612818139808,-0.018621143773475218,0.03419128090408923,-0.06905700327132262,-0.09140414628102383,0.07411263614190425,-0.10294614298307375,0.19229327932845772,-0.10379923865666928,-0.03286433163116642,-0.013803571729555892,0.04244718961662953,-0.002896438858902569,-0.015246685015109854,-0.013641709966479546,0.00924637527297681,-0.06413196073181401,-0.09921588554322663,0.18283175926296324,-0.03923042062626204,-0.07460271322733536,0.2063321287359588,0.15144975131088964,0.029032595076344068,-0.061814260933130666,-0.11448846184219695,-0.0869146533342989,-0.04420028622520422,-0.09947029740241159,-0.002927224561308223,-0.012451765334201656,0.034658032882314026,-0.06660191714661548,0.20161461264510808,0.18355421167650326,-0.03164141894890671,0.09599428977548453,-0.12488904726880208,0.03943540851112397,-0.011801786320979321,0.08222849904290788
Chl_a_conc,-0.05254502813925334,0.1290537940171201,-0.08133386088950788,0.12142963480888026,-0.06372706177072592,-0.09990760703551568,0.023764102873851327,0.2262920877754677,0.03931128988514717,-0.1855851698806965,-0.02045337834006637,0.14789012553636438,-0.11488632918714495,-0.1419647286163837,0.17755679860113666,-0.173811636174423,0.10322638641799678,-0.15671721165743835,-0.06632522903687546,-0.017367683859696646,-0.010925182190179019,0.14360263740313522,-0.033333954103760555,-0.01525898442893844,0.024933591992820837,-0.08848081665037003,-0.1128374885587381,0.28462203024638555,-0.12396969122520363,-0.11843586846293928,0.17421251242124175,0.19218699311745996,0.03495027153479103,-0.09973869384431981,-0.17642672393926667,-0.14894547100942154,-0.03944449557415608,-0.17104536543639645,0.10931165828194041,-0.02544331001569501,0.14311821740306044,-0.09154226291839723,0.17357547534165013,0.2136805170897558,-0.020164708635653335,0.14130585866500717,-0.20345326285234755,0.1212802154040677,-0.03497784125771686,0.10049409770253512
