,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
PO4,-0.011762412710988223,0.0010567486122414,0.0907721928549951,0.1622422583803938,-0.04411861334582868,-0.101536812595071,0.07700594521207621,0.12336304274256407,-0.01812158686170339,-0.06677930964428427,0.13992930005460805,-0.051928849770984706,-0.09738026661150573,-0.032537761662092,-0.03763932283969944,-0.0767692160722818,-0.10547851214783929,-0.04114944585752821,-0.03435044464675004,-0.005800589342778705,-0.01558726876732311,0.15209348553996338,-0.054153971435427134,-0.17614611433452815,0.05285140911611959,-0.06215418545770316,0.04896862922285419,-0.10537248301552773,-0.05594149272714031,-0.13964428165172035,0.024924072204860218,-0.03642637581232982,-0.023402055665107994,-0.07555106760938796,0.043606534560829024,0.032669563861586315,0.10823330635296369,-0.06799952111600614,0.03491697839983145,0.012693233049083699,-0.049612579694191625,-0.1272082039158905,0.10026083213059821,0.09071796125740088,-0.007158668715689107,0.11325869830164156,-0.1408430940608783,0.04053508643039265,0.0012827394254583385,0.24650755355439496,0.04878076532560911,-0.030881061831724683,0.14526777374809008,-0.014061231976070242,-0.09661465883669998,-0.09872894281023854
NOx,-0.11500368577311014,-0.005749863695009441,-0.013751696878372261,-0.07844453391310842,-0.09751848120454681,-0.0737646239668131,-0.06762837888526435,-0.0573852945701893,0.01336250322437359,-0.0839386775900045,-0.05994275144650984,0.1199708673331169,-0.04081803285878859,-0.08594646005562862,-0.05200309233148939,-0.09647763275869622,-0.01294640631269934,-0.0941901620895811,-0.045158401144680844,-0.009807169693602047,0.07950626589631954,-0.039672108037017345,-0.06648006296480372,0.009603124215200867,-0.038746908888465055,-0.07789214890109804,-0.12737682513958754,0.07771857833838042,-0.06591887963244446,-0.08873311953013972,-0.012704662533840127,-0.02093336380603881,-0.05758650160995101,-0.108044880775293,-0.008183270998003552,-0.07358551085608862,0.17626959113844687,-0.009377066688320966,0.4063212503778804,-0.01511549802260187,0.2509831915921584,-0.08546991408607257,0.02041656826808126,-0.05823524941969231,-0.05154740995692425,-0.046278801307356295,-0.07748574911529733,-0.010169372682642844,-0.0232131360467482,-0.08157193538684504,0.06698755730303413,-0.01964310777239115,-0.05903680809846822,0.06465454614670962,-0.10523408462820762,-0.06855105915266527
NH4,-0.07009241989232015,0.026795469911965318,-0.033870966193909675,0.045421033362156735,-0.12554273061501703,-0.11122310244666843,-0.07033938674767451,0.060570488004808895,0.07817518347779952,-0.058190206540565975,0.16277650197074411,0.07595647632158334,-0.1184265304660917,-0.07577094845170575,-0.07277433411196335,-0.1316235042891054,0.0184900892469539,-0.050130326567514455,-0.10285571829792217,-0.009177113651934604,0.13002774902409298,-0.07956175814846472,-0.09273715047616644,-0.0681529057200103,0.05209336266408946,-0.10110371761634575,-0.017972428183833135,-0.026090132143835983,-0.10425444362476533,-0.13364841528441232,0.05970468345154168,-0.022068813498255208,-0.012981811423780767,-0.13095157237135763,0.10789164851971421,-0.03838715173136313,0.4651275442182771,-0.023194441111528775,0.16453216731919273,0.005270301218414757,-0.0036590711690752988,-0.12984860106546126,0.06687992030482233,-0.0761979568637586,-0.0692549907097848,-0.02581419987192482,-0.09938192720385897,0.05391202940566868,-0.035168873431595124,0.040630224390484304,0.13281263128680632,-0.0767251434801713,-0.05963482557316492,0.0007624282122807406,-0.14593152684250005,-0.1058585119436356
NO2,-0.1570370922567333,-0.00978684038231132,0.007417512415130723,-0.0811456987469586,-0.14042145849370036,-0.1101026537561457,-0.08084110302734196,-0.022570650162648892,0.03144930168945601,-0.1287845241872074,-0.04198077044287883,0.16373675516975617,-0.041955671771793546,-0.07407753913880617,-0.0528486843011908,-0.08795925733103865,0.01446516435821802,-0.12538556456772937,0.007913277155491992,-0.003329755893910535,0.0832782145272517,-0.05332220033249708,-0.08607123733131242,-0.007044776497721886,-0.015165657691471632,-0.11005268370837855,-0.18769546174127677,0.09994420272969753,-0.05764451513244172,-0.12916337525603983,-0.018125296823395493,-0.04541206928045998,-0.029800276507577182,-0.10775141274095357,-0.0017558262913679977,-0.06277074051296455,0.24133732185384782,0.0035257441990349647,0.27820744947534976,-0.004205770052598312,0.17067483763488722,-0.1254574661859782,0.05482717345674899,-0.052251093298222306,-0.06200874615485624,-0.04692109762014368,-0.11754863815011818,0.07976149212363443,0.0023472788850747318,-0.0753926366059344,0.0783110944476565,-0.00950431044081701,-0.062547394061265,0.038169248734176014,-0.10477039791616222,-0.10111379258648022
NO3,-0.11400438640450078,-0.005667348137884936,-0.014072805091314696,-0.07819971686246752,-0.09654899836107499,-0.07296593768314841,-0.06723425149209142,-0.05782501141979003,0.01302432372552615,-0.08297103220219063,-0.060092510070931304,0.11892980284297014,-0.0406951500027288,-0.08592764066342319,-0.0518566923414456,-0.0963756906712365,-0.01337455641781966,-0.0934260575925097,-0.04593627441069763,-0.009891191204388559,0.07924073988487892,-0.03934168124176863,-0.06598157021844486,0.00985872958036586,-0.039045056241501515,-0.07715323609777966,-0.12603852338428245,0.07714720958874893,-0.06589050514927887,-0.08782755722355917,-0.012581197021928245,-0.020468430903736484,-0.057907490667114744,-0.10777519694348295,-0.008270579536968966,-0.07358037897490943,0.17472713897404293,-0.009570255087481801,0.40744333967441415,-0.015260577741021604,0.2516960303132472,-0.08458009210806602,0.019785896669114865,-0.05818788380446671,-0.05124043359947965,-0.0461503702512933,-0.07661495350388592,-0.011656141238539097,-0.02358405498411172,-0.08146853669106241,0.06662683438579292,-0.019763712697685197,-0.05882770578835338,0.06493568890807885,-0.10497440809340955,-0.0678291239018223
temperature,0.37908411266698516,-0.07543669830975794,-0.18431068170652487,0.31899052463319827,0.35220512436045415,0.20397515872692462,0.34722504256869563,0.19866349592724802,0.016773838258095936,-0.08992543645925806,-0.05118123532343377,-0.09649277053712163,-0.26483499285629886,-0.21145315687116206,0.2706697153096288,-0.17082508359746593,0.07767227743392385,0.13162865220407077,-0.3536621522453376,-0.03647630235830951,-0.24272712802141094,0.23070706089364293,0.2937394390647661,-0.06699325000345044,0.1042654481497028,0.16898948539202516,0.2649625880752491,0.05515239066893329,-0.04636235890422743,-0.019557490053306946,0.0037727774057408838,0.023014349399008763,0.30388970574149105,-0.037578964442172,-0.2768393127363815,-0.11596818913934123,-0.29916376362101915,-0.4063370089460143,-0.2990318240976652,-0.02256454877983869,-0.14004971572799746,0.29657891897249516,0.12170732961148528,0.2797620985163669,0.25440317565905873,0.17899099486564174,0.0382097023130508,0.1405399349910131,-0.055445014346046775,0.3370697636327769,0.016468149624861074,-0.12641444357757234,0.2998689435036381,-0.0621807504294898,-0.035251394965423954,0.23949174207661061
salinity,0.29370706839459804,-0.2065448160196156,0.05739973417717041,0.12281510751621405,0.2429550727048881,0.15178443692431337,0.2346955303965853,0.12376936669816935,-0.08798574201041884,0.11639373294624686,0.13903999505021425,-0.3077049960101689,0.03352771079216881,0.034558339882601825,0.06965318179296175,0.20106782655950017,-0.03952683771284977,0.28794505509807305,0.11016753521386015,-0.006998939579969761,-0.14110950031083094,0.07412125676461823,0.17673825399013737,-0.0038374642496177406,0.056081443846413385,0.2444281159809099,0.25255214137101,-0.3440296361013957,0.13079397800747247,0.05810410769135486,0.008102533403922066,-0.15271339222199212,0.1567123252181466,0.12953129210214231,0.04137754180140813,0.32899243940289374,-0.3585486821982312,-0.04434427757969719,-0.5711960936891134,0.057595600023256366,-0.39036061787589327,0.1847506139817367,-0.3487967834426679,0.09857988312653723,0.149259926791385,0.08593521546246934,0.034066908711211104,-0.34779051549751305,0.046632928052805375,0.2569462274463949,-0.4168322098596754,0.0434414779937438,0.18064022521545903,-0.08386454335295015,0.1939599796241504,0.14496621659845543
Chl_a,-0.056483277857826586,0.13154721952179188,-0.08060658800841798,0.16912769497687358,-0.05982266466669692,-0.09852691206909436,0.036277662023638205,0.09543064644848623,0.028452935338059135,-0.18329805665723925,-0.019762950086847468,0.1674916336874575,-0.11471905087194209,-0.13812696313171202,0.14257980226465994,-0.20462256204215398,0.027756520744167776,-0.15253539081276707,-0.17433734038992216,-0.01603753187885825,-0.02673952731397733,0.15997417330228753,-0.02899187388551152,-0.07213738343810952,0.02773327325029835,-0.08447883012948951,-0.09949109371710774,0.26996929943714676,-0.08248088610705481,-0.11639537185623364,0.1355304778412752,0.1796348919040353,0.15800234795179796,-0.17101997465690266,-0.11758413686805792,-0.1397823687275845,-0.027386162901641913,-0.17772550096608594,0.13284028977881984,-0.026335198268391036,0.15829520989233864,-0.10198620477798423,0.05546478042335713,0.38716676217116935,-0.011575376122960904,0.13034963879694605,-0.1321748063031246,0.2507984792310485,-0.03188329108196036,0.07266592461030516,0.12387170280255229,-0.045350835678183,0.14493797192295493,-0.014215513724745698,-0.1306816976824305,-0.08878224812045263
Phaeo,-0.06310787440419047,0.030464717476855523,-0.05227102651889769,0.07389549751400473,-0.06676389989458581,-0.06527832587023619,-0.024278339506389017,0.07300667897854829,0.03717151737807588,-0.11535941447695747,-0.02150502988862759,0.04332254431305214,-0.06957510568084918,-0.09019724511302128,0.14070326321889323,-0.12546041897256588,0.1228087816802427,-0.10445746393321444,-0.10315067215095933,-0.013655445638948265,0.041338187280060834,-0.009908407308013682,-0.004674224618140866,-0.013615562088249728,0.016547770557108415,-0.06353996579785405,-0.095444602011138,0.15131629019234377,-0.025640230734961814,-0.07367069020350411,0.20058262796690707,0.15135399677416503,0.34258000007721195,-0.09927907150373694,-0.0868642790997157,-0.07794808788502405,-0.041805365096307764,-0.11441268573050027,-0.0016216138749096001,-0.01258944537555742,0.03424472139393821,-0.059330045633184794,0.06265671006281605,0.20277707613670137,-0.03237524606605746,0.0907986788455639,-0.08561151272968845,0.39229128486191933,-0.009763189285410936,-0.023612396125875842,0.0992255325813956,-0.002809457539226957,-0.00300580526943219,-0.013867613825696994,-0.039803356563912415,-0.06663003008840486
Chl_a_conc,-0.06455842335806639,0.11870043082977833,-0.0818639630800473,0.16204556036302314,-0.0683548454811949,-0.10044050392256305,0.02385642931879793,0.09994105030003372,0.03398275261680915,-0.18520533556850194,-0.02243193217064334,0.15236620880961563,-0.11519990759045413,-0.14045164477703112,0.15791084404771777,-0.2058498495618044,0.05666393886016551,-0.15642060795853735,-0.17436665092339204,-0.01717216794151441,-0.011215106713927147,0.13159418943250722,-0.025606346129402463,-0.06425286854032303,0.02777563005346033,-0.0881759387873571,-0.10944537861874798,0.26772791442027977,-0.07620228784857735,-0.11771973169113473,0.16826138986968162,0.19190933016058556,0.2257023892177258,-0.17053014675118416,-0.1223020187756171,-0.13851340290045555,-0.03434619386902872,-0.18027039562461156,0.1110687094857232,-0.025526662560659115,0.1421802680911058,-0.10172829792366886,0.06358090114331706,0.3800869945027172,-0.018512289994681,0.13408657203893193,-0.1342094209467444,0.3171031159983382,-0.029416030270336985,0.05458251583946852,0.13093823204846305,-0.03883182731731159,0.12084773412877521,-0.015700364468700382,-0.12051099555934622,-0.0926278320912032
