,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
PO4,-0.027940526878512364,-0.006838822005692692,-0.1341980599908464,0.16326268593464993,-0.04372879845614594,-0.10135385578550228,0.07716171529279531,0.12262263517630576,-0.018250422741028092,-0.06705952619533781,0.14056231928748575,0.004699968065237521,-0.09804295716352857,-0.14374369583787255,-0.03585142521565009,-0.0987290682676968,-0.020059339020262124,-0.040577776129436215,-0.031957469662352765,-0.0056076995761158875,-0.013908602154719955,0.15214824789087494,-0.053107470467807845,-0.16779198404704032,0.05308819852731643,-0.05285794093071286,0.04657752941397264,-0.10008944161725869,-0.05567804070123486,-0.12984901347276695,0.025034276725300997,-0.03637783889277281,-0.0776072836255785,-0.003516798964978528,-0.07050332533478114,0.038366619788588206,0.10719614867376796,-0.03035649798804578,0.03954528814750837,0.012525819244401364,-0.053282159117724576,-0.11747959075634584,0.1002891186212231,0.093796810293845,-0.004581988085044141,0.11369371111521573,-0.03502418964538214,0.05074947389814292,0.0014445796736601072,0.24737849800042766,0.048416931159050686,0.09790855719573188,0.14622315518499057,-0.010158485805341063,-0.09515899901053015,-0.09876053158123886,-0.11016554791399548,0.044202211306056144,-0.032787340679533164,-0.08089518216754006,-0.08174148625385806,-0.07231316462348435
NOx,-0.11200638945450564,-0.005953198385928722,-0.0734457106437603,-0.07914372163521369,-0.09793602526799346,-0.07342960410440895,-0.06760602564583387,-0.051737926998653566,0.015369936681218267,-0.08425998880327261,-0.05961652820907279,0.037991195589676265,-0.04074053002147007,-0.0915472380458496,-0.053533099765914145,-0.07727690500004827,-0.06002125930504905,-0.0943680862231487,-0.045254809300672647,-0.009652103248610433,0.078428154739279,-0.03977699308401192,-0.06694646134592858,0.011610663383756317,-0.039933866600356985,-0.07265065376808394,-0.13008786298380423,0.1838974674921996,-0.06476612760190467,-0.07790313426882763,-0.012608989925978822,-0.02086063203659876,-0.056875061926112636,-0.11667638845835045,-0.009985824578525683,-0.07008308999737516,0.19050357435117066,-0.08570962323487014,0.39843861012467197,-0.015054735764797805,0.2557710123199145,-0.07656621415436377,0.020206569078888712,-0.05685491582329591,-0.05064993008725523,-0.046230101358493356,-0.036644355842979495,-0.00950069470258524,-0.023147341262008715,-0.08026370768009969,0.04922254076633816,-0.011126799264168864,-0.05975703315172921,0.055047611547185835,-0.10414525941790737,-0.068915398488782,0.002729162084656616,-0.007577694428053437,-0.020178994646124573,0.032525463896249204,-0.10522282551166112,-0.05612841224394095
NH4,-0.1159372851979415,0.026469897626918103,-0.09532644890293751,0.04753104734150655,-0.12617020972937606,-0.11087806259523424,-0.07031932000046207,0.0623577938450722,0.07846754972757089,-0.05907885639748217,0.16295936964718238,0.07361671828469134,-0.11770174134059125,-0.13874806785239152,-0.07275287825411092,-0.1192565941117601,-0.01244351651061478,-0.04803018737946111,-0.10203386946789403,-0.008793400916686494,0.13160502929354634,-0.07961477602559827,-0.09245585267512098,-0.05964506738979866,0.05245096111333377,-0.09413776115608341,-0.026024029304188033,0.01266679863839292,-0.10286520160556298,-0.11688397775608603,0.05977555996832357,-0.022055109135872282,0.0027652071532454463,-0.06506097879917347,-0.02477134860412811,-0.0343594221855899,0.45973849977983183,-0.0737246017740752,0.1722195911144086,0.005261048360089349,-0.017922030059559176,-0.11924267730800106,0.06638949009774481,-0.07572303859092211,-0.06753665293442918,-0.025380787509048056,-0.005182458627049002,0.05946227659196325,-0.035041358220589985,0.039225515230679825,0.12568495873975238,-0.03459537987972274,-0.05874816496341131,-0.0002929464741208247,-0.14820324059871443,-0.10660398327861297,0.01637387648612647,0.10819886304141993,-0.0761303799922856,-0.018660368850598165,-0.13135560956209802,-0.07368988155024586
NO2,-0.10534552687947635,-0.015948113030634994,-0.1117531995259643,-0.08058024708016398,-0.14084816461641275,-0.10968914303137223,-0.08080147090436099,-0.013668672861339513,0.033977088776779095,-0.12858523898278867,-0.04152514917425283,0.07772563868110771,-0.04280713774305553,-0.13067934656215813,-0.05540589939177695,-0.07732256203612478,-0.033032969258263274,-0.12665765883596752,0.008575462499319014,-0.0031129884852886544,0.08301155466273197,-0.05347558636903304,-0.0863244371537632,-0.002700916028352953,-0.016239874607910484,-0.10243138007734932,-0.19139021734267223,0.18146852126193458,-0.05665077250811294,-0.11750733557796653,-0.01811219141407139,-0.04542194632742824,-0.05342948252141004,-0.15648498753640164,0.0027801788570531796,-0.05665422786122662,0.2509836842486587,-0.0733720997793805,0.27294484525978063,-0.004217374418119148,0.16199612663132562,-0.11281519036426613,0.05431412231329386,-0.049760794481690844,-0.06038227347474221,-0.04677036518134766,-0.051595954862158865,0.08012394468804591,0.0022834671067567093,-0.07427118868800679,0.06674842100025852,0.01237611446555649,-0.06348574344159919,0.029524792522736168,-0.10293405974509108,-0.1019170055817578,0.04015174082786606,-0.001086973848474511,-0.010991340359090444,0.061846951924010615,-0.10849911889219854,-0.06694698339912097
NO3,-0.11183373467194532,-0.005769954876122977,-0.07261470910411308,-0.07891839838556625,-0.09696532704047758,-0.07263308954569561,-0.06721224569515771,-0.05224673965835221,0.015017902620247176,-0.08330028304297565,-0.05976929244663933,0.03722630848186485,-0.04060221911635849,-0.09065635757092133,-0.053365533530293455,-0.07707972076025213,-0.060322638806180426,-0.09358512580510253,-0.04604519689058006,-0.009737556690848189,0.07815172056286246,-0.03944548392490198,-0.0664503690954521,0.01182186976365081,-0.0402308933125565,-0.0719650912069916,-0.1287261246236358,0.18347090582770692,-0.06473800859100504,-0.07703899280200162,-0.012484378825999166,-0.020394494537024813,-0.0567884552566265,-0.11571025829076892,-0.010175164615669181,-0.07013082870817544,0.1890021060955206,-0.08569928760155143,0.39953666649243536,-0.015198752734100889,0.25669818567469604,-0.075761904871813,0.019581528502668227,-0.0568297279875799,-0.05035749636262027,-0.046103510246875826,-0.03629973370694617,-0.010984012210687918,-0.023516247479040478,-0.08016049254092168,0.048802649586791126,-0.011493831599987707,-0.05954243143025912,0.05533698378889257,-0.10390092336693442,-0.06818515543613501,0.0020927862341654493,-0.0076676064589307445,-0.020282239491621744,0.0319496126368811,-0.10490027199784292,-0.0558037836497373
temperature,-0.015079436373899163,-0.06029694745946966,0.03808676557621164,0.31596290354576784,0.3584380548946853,0.2036285595668773,0.34720219223550364,0.18916887749793937,0.016596747247211056,-0.09618296369893241,-0.05107947359031188,-0.13043789069401038,-0.2622016090216127,-0.05226248884151695,0.2689607680027757,-0.21400738375437445,0.3082809650746141,0.13578545790946758,-0.35666121583265475,-0.0364565158982793,-0.2480327909205068,0.23083164991176114,0.294317030089348,-0.06325195042188372,0.10379750037297193,0.171106722396438,0.26783381233140713,-0.032095346887841304,-0.04490516661975448,0.07915768550134591,0.0038291392478405108,0.023129339678120392,0.1547984571432875,0.3837743126378813,-0.4049759890918801,-0.11706574751032967,-0.2995329641262372,-0.2093071192523494,-0.3032592812975451,-0.022491695140309347,-0.12695826295903645,0.29589233892284683,0.12009426257378152,0.2762423144342538,0.25039872866455426,0.17872341549622942,-0.15409611651756772,0.12809263870868126,-0.055454033331315794,0.3355602432554827,0.03405143688352027,-0.17552587512570192,0.2989178482417484,-0.06180633764726183,-0.026151462458464197,0.24170284020972715,0.06052910925033913,-0.2750832300833691,-0.12614015658884065,0.06702894276227786,-0.023833842303698928,0.19102265951407932
salinity,0.20497682108997167,-0.22239682201784897,0.034840752453948645,0.12328422337704592,0.24631800413834704,0.15181995859084635,0.23466014172127572,0.11597024166992609,-0.09579596149744193,0.11694534912664611,0.13893755760736862,-0.2074591597314089,0.03312833024058157,0.048135182576343416,0.07400251454210122,0.16731224950219983,0.16402189503462952,0.28711351563811693,0.1086300325901157,-0.0071610228709309606,-0.14003512622241523,0.07426676034951302,0.1765470995800376,0.0029766495316796374,0.05727763644815624,0.2377223767455811,0.2619439662255274,-0.35326087071129353,0.12615650680977986,0.11618006738757503,0.008068625691908277,-0.15261345499861048,0.03813836732081646,0.2954018969225788,-0.044691744469149225,0.32544624719559334,-0.36974420337806413,0.035681087997484276,-0.5631027893631708,0.05746322472417741,-0.38250515056792134,0.17107492139952335,-0.3478174709514956,0.09619314909864134,0.14704865663423583,0.08601577662425813,0.033572963878005714,-0.35725642822331904,0.046693906775222685,0.25498746645981907,-0.3944699164830138,0.058588259474979636,0.1814509864115522,-0.06960168444921133,0.19566678620275524,0.14636391145286795,-0.05752262457868352,0.040678556053081835,0.044027547764661334,-0.3043684362305216,0.12318316765371573,0.1384814361748696
Chl_a,-0.18059587862706752,0.1562470860048057,-0.1288115537743386,0.16688327247703116,-0.06021179182410953,-0.09848460628293186,0.03650635284697376,0.1004290940910466,0.03311797242668832,-0.18528987967890645,-0.019014586943604403,0.11884834130663242,-0.11423299279164373,-0.1241656685788874,0.14150641917440054,-0.17333753808081415,0.1566701784016151,-0.15093714029851785,-0.17477909720345675,-0.015932890669159927,-0.029742547402107584,0.16015146124181068,-0.02761257680457199,-0.07313951456009882,0.026685593535969863,-0.0779053749839768,-0.10368332769428594,0.18374396953364763,-0.08056684121261337,-0.08422700208900487,0.1351144249792677,0.17914676921066802,-0.011157183636018586,-0.04853756247926755,-0.17744255119311728,-0.13593293143803326,-0.024931691805916235,-0.1372116586447769,0.12536260230839055,-0.026253001607127992,0.1512156481229333,-0.09235151545780573,0.05284289830587843,0.3937784521210303,-0.00954580581869819,0.13030715285174688,-0.06462781989727531,0.24742725609173039,-0.031876935054759796,0.07163370141460039,0.1205453696849276,-0.07727555874615968,0.14493672262320118,-0.021454292158385145,-0.1284017557706914,-0.08903429002840137,0.06324766937281945,-0.1169325633340225,-0.04569390425588103,0.2490940990381316,-0.16309427877845978,-0.01842953122831676
Phaeo,-0.1186481617069793,0.06472373344818713,-0.08415421753734759,0.0723896891971402,-0.06659205916741445,-0.06530116714128051,-0.0242436437574563,0.09044627480181427,0.04029307190530593,-0.11651186069934319,-0.02000974341426924,0.005561323188833811,-0.06968242326504473,-0.07732412651982408,0.13974322543064516,-0.10185032343218978,0.33374118026581934,-0.1036905709673056,-0.10380970150221992,-0.013579021742088804,0.03923933317238543,-0.009946006964861014,-0.005333125732097292,-0.017720760984491706,0.0194449467948698,-0.05875421947392214,-0.0972505005412719,0.07511483266905039,-0.025370460188709514,-0.05867457160020467,0.1998862101511794,0.15111149451905453,0.010318724098089729,-0.06087706742816446,-0.11418167174483206,-0.07555760745451078,-0.04131935985555042,-0.08977333864623505,-0.004433632784361803,-0.012507163415791969,0.03791399740672242,-0.05473918690733476,0.061764366171924434,0.21488676244809418,-0.0315052696549577,0.09150055020063501,-0.03942154182404729,0.3642353864368504,-0.009868974472375107,-0.02358184535610246,0.10158834115673585,-0.04969749388986555,-0.003995345234908418,-0.016609187793151882,-0.0395059539819822,-0.0670713405291645,0.20769468812836842,-0.08641018512062562,-0.003859753209838731,0.15112157265734008,-0.09286803701077143,0.04944901482993715
Chl_a_conc,-0.18383054446047456,0.14874150611838452,-0.13099031234366304,0.15975244406981587,-0.06863480260799107,-0.10041119692383649,0.024057823856374408,0.10887482195398951,0.03874675271344917,-0.18719041315500085,-0.021397501875876444,0.10127498555521353,-0.11482105483731564,-0.1252348604852849,0.15674899972766493,-0.17317411700117036,0.22218282057155647,-0.15487065079340034,-0.1749165158635918,-0.017063566944177093,-0.014306125261393276,0.13173279409761385,-0.024627540720501485,-0.0662093738141486,0.027683282501009446,-0.0813578431071745,-0.11345506167319629,0.17464607203094712,-0.07452230274281356,-0.08664272713480886,0.16772294380286523,0.19143370591785164,-0.006562230789285809,-0.05728254131367986,-0.1799701194731141,-0.13463265332975272,-0.03215381604678942,-0.13956815052057092,0.10402779850610307,-0.02543531053800299,0.13723437937461852,-0.0923934769114373,0.06113760123784423,0.38892693980252063,-0.016572267324684267,0.13424159144361897,-0.06496008480222407,0.30665105750997224,-0.029439434394761328,0.053724343365086295,0.1287879531708841,-0.0783686461300863,0.12057784905562274,-0.022521591227383987,-0.11851636086322845,-0.09295929640384899,0.10951769008381766,-0.12163170520238703,-0.03940514953662311,0.25015187926790095,-0.16213539309194758,-0.002035965790259735
