,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
PO4,-0.02194149846259822,-0.0076088516161018065,-0.13168105936867747,0.19292663130073068,-0.04241565786297237,-0.10201909903307098,0.07702179003815984,-0.019646369390803366,-0.017796186232332256,-0.06102109445279659,0.1429112749082034,-0.004153848088159036,-0.08390053044617089,-0.14033784358990453,0.015980779950343926,-0.07676900915446438,0.09322087180136765,-0.0671702699508048,-0.03409282504663949,-0.00591858873813689,-0.01449728393952945,0.15237945377028206,-0.05329878331926046,-0.15477124106490298,0.05217483050007332,-0.05250021157529382,0.05191738116900252,-0.1015217818492209,-0.07171217484971765,-0.13083837500591156,0.024772584776793928,-0.036467086002487624,-0.07794488925213872,0.24536326723679797,-0.00670082138116799,0.030340471610385476,0.0691297702975183,-0.031362400862481696,0.036612552682627066,-0.04151196105378377,-0.05257850907734424,-0.11800826228969992,0.09991554013046605,-0.032718549837729864,-0.006897905961399229,0.11296171675155597,-0.05764707203889931,0.04919987577938478,0.00183281331282957,0.12807266092846703,0.0459828632970226,0.09245596164959548,0.1511253156855329,-0.007279907045989034,-0.13253239259427016,-0.0986735803558636,-0.11055237612368016,0.05249962755937372,-0.02866925477802567,-0.08044749346017549,-0.07732243734417527,-0.018106307665354128,-0.09356405716601088,0.10977258754317837,0.012548393642174076
NOx,-0.11279091220502621,-0.004807757619464401,-0.07219457238202429,-0.07426054538776516,-0.09886306852459659,-0.07380201304671274,-0.06752953507218426,-0.058064526517069115,0.014544863255156469,-0.08331261232173083,-0.05963208856237011,0.04077829452700521,-0.021038457460935956,-0.09021441291670486,-0.06224536049137416,-0.09648342457599604,-0.058424538270579016,-0.058677124217327764,-0.04615382015487675,-0.00991648404155658,0.07827933934286768,-0.03975329974860856,-0.06784498816164436,0.05120623248615887,-0.04180576883242526,-0.07262226678059158,-0.12824704233349485,0.1856576491686649,-0.09313341784679363,-0.07707746262526634,-0.012474454269030176,-0.020969009751462445,-0.05465153778189616,-0.08305953819745626,0.0017984013365749934,-0.0718667381775021,0.2481670711773049,-0.08644971805601344,0.3934564266520139,-0.09729249294993325,0.25308940873351504,-0.07794356355420717,0.025073332360593385,-0.04646744810920292,-0.050275271139610764,-0.04604617799663471,-0.06430907489564666,-0.013774296058176629,-0.022908554785429396,-0.053069425911777816,0.030980608820876037,-0.013123785881479399,-0.06162791068168253,0.051952395077369734,-0.0779708857601011,-0.06954695133172425,0.010767666144316373,-0.01197033766151559,-0.0196569803563036,0.03266088824166971,-0.10806916803808557,-0.03847078278456386,-0.04010821546609512,0.10214936508179351,-0.01515655298002373
NH4,-0.07787796265927562,0.026929750886583236,-0.09316549426479873,0.06603340852734209,-0.12691458930611832,-0.11123785501895338,-0.07018230835596645,-0.01133129010811406,0.07845928762269143,-0.05514154134206653,0.16352940442202038,0.03461338253892411,-0.04098680844543806,-0.13801560645601446,-0.04841838964431792,-0.13325157743841365,-0.07566178944925916,-0.06622308134460572,-0.10409999454961069,-0.01033407992573689,0.13043801236564612,-0.07955273209923389,-0.09345975217602163,-0.03946204725981529,0.050894724695823935,-0.09415502988742407,-0.022463651843660174,0.00593761672170091,-0.13555879579256866,-0.11681910406229484,0.05933434247735341,-0.02202318894721448,0.006964693581457173,0.04148426395564918,0.005729043152621353,-0.03469370571808798,0.31779741979426457,-0.0754851323020991,0.16252610282038868,-0.05193357650174932,-0.016970206419305477,-0.12132752820259557,0.07505379136893994,-0.06931214472699783,-0.0682613344008628,-0.025657939552352654,-0.10321677837483412,0.03796952827134728,-0.03472108156951535,0.06670622972571372,0.11016807798708508,-0.03507562468744248,-0.061613172084251475,0.0007276101189746895,-0.0934952527600817,-0.10698140329568014,0.017645971839534102,0.14324249960987817,-0.0759201541629035,-0.01743398156704846,-0.13292961364285466,-0.05102894629923691,-0.11732862383729761,0.44679676907697063,0.004736428956038156
NO2,-0.15355474191968702,-0.015296071924190063,-0.10985449824774443,-0.07931961356470885,-0.14143448725001456,-0.1104392656681486,-0.08070827168039649,-0.030788807956425236,0.032968866792513644,-0.12756693559581606,-0.04136767078059922,0.07425204728700038,-0.00650445987223946,-0.12856271621050167,-0.05480309058881989,-0.08800769329409197,-0.049781627204209096,-0.0722070074876748,0.006864528613433755,-0.0036207746507261737,0.08229539275275564,-0.053495529054605924,-0.08791261490865909,0.043663507203424795,-0.017243189687085023,-0.10211285539442058,-0.1895415482284848,0.17790667013811268,-0.08393351629145653,-0.11620023338509292,-0.01787534061003812,-0.04555826442238304,-0.0495172031630733,-0.08210244660623892,0.018130652788379907,-0.060118035644074065,0.26813757736432625,-0.07518212747886813,0.26688691924572183,-0.12963329763508136,0.16161681600360955,-0.11454484509831353,0.0599664815340763,-0.04723585537056278,-0.061086638940863726,-0.0467405921311401,-0.057334729179622124,0.07601231110392075,0.0026673472327932704,-0.015621507037009277,0.05324619067772361,0.008783116151834369,-0.06390206836636521,0.026353753267653095,-0.10503810552663824,-0.1026901933549679,0.04929970409978077,-0.007331276802230951,-0.010322983600988423,0.06250640002466312,-0.10657998723706923,-0.04789541552051525,-0.04067739001858736,0.16026955305232687,-0.004256365270837923
NO3,-0.11181859107490763,-0.0046191266323272915,-0.07137764274577424,-0.07398670348021667,-0.09789574485391242,-0.07299819887191303,-0.06713623057479032,-0.05837571396702635,0.01419800681649728,-0.0823565075018015,-0.059787723721402106,0.04011162674982485,-0.021229442044764967,-0.08934010353262815,-0.062212327429499656,-0.09638075050272764,-0.05842141117666575,-0.058300413869397535,-0.04692826635357902,-0.009997171479859988,0.07801282605019752,-0.03942111686359823,-0.06733501233845147,0.051202947439178054,-0.04211264712639844,-0.07194165641994213,-0.1268901148343793,0.18531612896985822,-0.0930514389303506,-0.07622351733506849,-0.012351906038108543,-0.020502126835317283,-0.05459898715995483,-0.08286452211893443,0.0015191256266440419,-0.07188168345873136,0.24720040055168196,-0.08641950528594158,0.3945852400777008,-0.09650123779559552,0.25398467394243535,-0.07712982774045574,0.024422708290787753,-0.046336416408817374,-0.04996564075329338,-0.04591746159436877,-0.06426292607227722,-0.015249475526103343,-0.02328050837244653,-0.05356440355848841,0.030527362854494394,-0.013458897889273746,-0.06143301894930987,0.0522509098160859,-0.07731744120575326,-0.0688127207815926,0.010092197816423142,-0.012017940334280039,-0.01976401346258773,0.03207587881359842,-0.10781953408587178,-0.038214480670850856,-0.03999669820602177,0.10091216187604266,-0.015301367883242436
temperature,0.3722777802840073,-0.06023204829945379,0.04659643743789267,0.2908368672230972,0.3616583874322975,0.20569341760746387,0.3467778957644991,0.3067017701926994,0.015395118164944486,-0.09019799501020864,-0.05310015124505317,-0.10861025555394269,-0.39952379934900123,-0.048477618907903544,0.27919094557089674,-0.16748750187733621,0.2847354775620874,0.10268760812062143,-0.34673411926258935,-0.03554559609771693,-0.24872642395186878,0.23055088606008992,0.2963983759692561,-0.03596474077645466,0.10242611392293818,0.168046182936213,0.26888185671889653,-0.03536736019289833,-0.009331753269996317,0.08048609309319857,0.0038476857089412824,0.023382266764990632,0.14658575088278242,0.3410816010727781,-0.35446221491397345,-0.11326861846688784,-0.26274457756457137,-0.20473933306728684,-0.2958118933374435,0.12688437367171748,-0.12839432772218043,0.29766468922586403,0.11575971262024176,0.25344770848879367,0.2474790561715588,0.17786528146304958,-0.04352365382509758,0.15638406042898706,-0.05559515214205382,0.18556112622788168,0.053584771691027586,-0.1817141716759603,0.3061361252840267,-0.06178903486094938,-0.11400541876730828,0.24095387770673973,0.05792893190435776,-0.24374182535959954,-0.12862253931288917,0.06749210661290808,-0.045357547505681065,0.15965640889903115,-0.25890738453139117,-0.28159156404954244,-0.02246022671239581
salinity,0.2873349112306881,-0.22442624707556147,0.04058049013338922,0.11923941044442536,0.24787455291873253,0.15116008606694953,0.23449458910353538,0.1635016289920443,-0.09649248171227583,0.11950241691989513,0.14075947431948568,-0.19403091738078443,-0.038532680511302944,0.04824916961881244,0.11261582868400932,0.2014864646666861,0.09942052518855396,0.14258907977953136,0.11387775427097824,-0.006095539039993713,-0.14025601901898313,0.07426560238426597,0.17845112590784884,-0.016239404470065104,0.056312406249504565,0.23732412800760777,0.2624224816896562,-0.3643851828543706,0.20627173839016305,0.11466683739191832,0.007907387049297145,-0.1522656736185844,0.03278516692824501,0.2613882449388175,-0.0037503707522894255,0.3244075502652788,-0.37544653064638633,0.03953278395617972,-0.5594541354865079,0.29371166587179764,-0.38292464923112945,0.17398119241892118,-0.35309374866483245,0.05058836426359087,0.14675288670092018,0.08541853132268869,0.11793923580231204,-0.3486780892156194,0.046726453493921655,0.11634999828125214,-0.36915307722127216,0.05825069982236965,0.1877726113802109,-0.06880128082871162,0.04686375873346556,0.14585167463088608,-0.05963208038778598,0.048657802683200344,0.04498431713612705,-0.30167379411829054,0.1259401535783372,0.12032857622737503,0.041114986444026586,-0.30928783093169165,0.05764958731653139
Chl_a,-0.0601849794416992,0.15596355968220763,-0.12813896025835736,0.17983214893664895,-0.05803812112729617,-0.09868934469270749,0.03627756842440201,0.15613477912807638,0.033168608012689206,-0.1825272604752231,-0.02107068797907224,0.12708546537233673,-0.17615526918623298,-0.1236429664424874,0.10183741351376321,-0.2045177516717341,0.3975713640844284,-0.028952004025321245,-0.17310201947878245,-0.015942811667435424,-0.030517865572573993,0.16030939837737884,-0.02810385452563559,-0.06595135628490703,0.02452508312255111,-0.07813785389655217,-0.10497118944592732,0.19243002593877795,-0.12320591769689923,-0.08281231651720501,0.13465800053842816,0.17897548881845393,-0.011745884464135466,0.07841209590946283,-0.15064563500223438,-0.1389299545864597,0.0011457161860138412,-0.13670522095057241,0.1287824703531476,-0.15698920533869923,0.1532075849462562,-0.0923624832881323,0.050204990765531865,0.1534994511001499,-0.012415751877397036,0.1302919667183528,-0.07865423574159804,0.25328716302391285,-0.03181884895858199,0.09567987907189184,0.11822746677081017,-0.07965640003613923,0.146921886352956,-0.021625108573803984,-0.08959152502063447,-0.08853448305542501,0.062449097932804634,-0.09956243279083349,-0.046845648270916515,0.24593861574970435,-0.17134090958462855,-0.03921686584690334,-0.1138068324683004,-0.01271435690178945,-0.026293203813228
Phaeo,-0.06234259512927539,0.06457020148154352,-0.08329654802894723,0.06885388156363678,-0.06588306366639561,-0.06553363743519863,-0.024216428963738917,0.33310985735818843,0.040823718511643334,-0.11475083274375888,-0.021412665154551237,0.011056614342179558,-0.11296931826922016,-0.07932159960823598,0.0560960738537779,-0.12566051408207585,0.21737106305452522,0.03558723772380284,-0.10228944129157971,-0.013530434820940494,0.03836220129598481,-0.01015384462509138,-0.006347381137008761,-0.03651914284375835,0.022381559441707766,-0.05923219125366473,-0.09813011416978368,0.07799696577975004,-0.04297678351257099,-0.05783554904669637,0.19930763444990449,0.1511840374991555,0.012784627442614546,-0.02641676250745386,-0.09759055033013489,-0.07707966856613269,-0.02726456419342725,-0.08936576030134516,-0.0022733835976918517,-0.10752870399303845,0.038206924665636605,-0.05490352344569169,0.06141997317727487,0.16906343423662923,-0.03306037530418686,0.0919629855757131,-0.027830411591144036,0.368275239126472,-0.00973614370442346,0.08360406383211208,0.10459858773457908,-0.0515186815447028,-0.005158232858260576,-0.01724661432249905,-0.005784350842268152,-0.06729874241070508,0.20190699164920642,-0.07898800232677414,-0.006306580500530323,0.15015213217925547,-0.09980302129879604,-0.025132737066662567,-0.07068116652955143,-0.035741654571145004,-0.012557989332920141
Chl_a_conc,-0.06745780915884646,0.1484617961687002,-0.13019271145185352,0.1696614341528469,-0.06661755367102905,-0.10064621626295969,0.023873170490735212,0.2215618771811118,0.038933422501676224,-0.1843929727514935,-0.02350458466427079,0.10968237191524328,-0.17856017470917018,-0.1253387617886077,0.10072479958193573,-0.2058162307374884,0.39278572957503605,-0.014634719054406276,-0.1730957158672702,-0.017058694859112572,-0.015195243146518262,0.13180890529748077,-0.025315481831352127,-0.06528257403539814,0.026667512672189135,-0.08168284586549894,-0.11477509494434357,0.1827203648375657,-0.11509780059097718,-0.08522726267129706,0.16718262400933406,0.19130963746660135,-0.006386468078801895,0.058644102248467674,-0.152968712098273,-0.13756193585404164,-0.006445445066428041,-0.13903230466922772,0.10748540874282482,-0.1609936335223633,0.1389860399719221,-0.09244733021219642,0.058829715497806474,0.17478189298198238,-0.01940385582689428,0.13435447743029824,-0.07358513171642644,0.31266754102329514,-0.02935458834163831,0.10302933988291219,0.12766006910141428,-0.08086195724056269,0.1219283110730807,-0.022838153404423696,-0.0767767169469295,-0.09260152678558538,0.10727495977808185,-0.10503436385299258,-0.04103670007467097,0.24723971651988505,-0.1709418927929155,-0.03974757579315327,-0.1147346625460693,-0.020382956889645296,-0.02548286550708143
