,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
PO4,-0.009049663765319039,-0.0067187061945822016,-0.13029309853437165,0.19298231200312427,-0.04126857880111704,-0.0686792706081866,0.07684629008553996,0.12046091905013376,-0.016759462364302022,-0.0652169597501331,0.14229844693216862,0.002065217919287616,-0.08889368988982053,-0.027542680085090927,0.021913067991939098,-0.08967934367737077,-0.11016246171855565,-0.051456648728380384,-0.04398426066390039,-0.005695351738041991,-0.0144008577196914,0.15245887569297886,-0.0511546898838052,-0.145571938193718,0.05350025028799466,-0.0531807993186183,0.028593354932803232,-0.09836335974784469,-0.0710412341910242,-0.1318032285531573,0.024772835629018664,-0.036406263589228376,-0.08136231770806789,-0.11321522689301583,-0.028803105485770777,0.02113459645226896,0.10914438943180914,0.04532400433851798,0.03954925389904624,-0.036973080210958284,-0.05240986831232001,0.10015766933302557,0.09956612942436306,-0.03466628091896552,-0.005310072324607168,0.11264131662509512,-0.05698502096145207,-0.020938966256551714,0.0015754514695955778,0.23794211943104543,0.04836155869983127,0.09723413888877146,-0.025922992346716925,-0.008537521609202327,-0.1417441031540347,-0.0981070464699316,-0.032088188354476015,0.04735024905164696,-0.028768758155015072,-0.08028122065519834,-0.08197998468531587,-0.01817805082661621,-0.09424309214086737,0.052993644119833636,0.01269831649349537,-0.1018903323483541,-0.13578981661986472,0.09536511502197456,0.1499968046719488
NOx,-0.09870339403055374,-0.005777256656848735,-0.06940190371349614,-0.07392145296865059,-0.09948825673356129,-0.05202439191285774,-0.06775845526915722,-0.05521065693004934,0.014041942514323003,-0.08268033360151383,-0.06022780174197056,0.043554434557804916,-0.0298318106681087,-0.08360223889083818,-0.06239035364664705,-0.09811760205078301,0.01757429825748048,-0.08821220441468836,-0.0519784457077587,-0.009766515484497364,0.0780789143338329,-0.039755868974197785,-0.0648701488341699,0.0612660860750192,-0.043129808430670886,-0.07230237971883108,-0.1359254393983065,0.1875178128266714,-0.09368114775223536,-0.07575565922497783,-0.012427127860644576,-0.020848596392934137,-0.048866669917078664,-0.07255187228226646,0.014229972858662373,-0.069614765403153,0.19641527285270632,-0.03660110619723933,0.3981612218210867,-0.09767338818988502,0.2537409296577701,-0.1177072671692313,0.020024413477040745,-0.04622201012060864,-0.05028224260947424,-0.045914867733851214,-0.062443561914103995,-0.056017257257276826,-0.02289274962714381,-0.07968969765129975,0.04820964577286077,-0.011198429732528947,-0.03470845396496199,0.05302033035181387,-0.09088801091973078,-0.0683392499304121,-0.02022960722228255,-0.011873887016511701,-0.033243022353463846,0.030956419620098142,-0.1039637259812849,-0.038648037194850604,-0.039970392524487725,-0.010342909511919738,-0.01498865219516253,-0.07292958352074422,-0.07386372795356351,-0.055943856277409304,-0.06128145898966689
NH4,-0.07101798016844885,0.0267761544225671,-0.08972451947783722,0.0691565042423221,-0.12721409655308535,-0.06989491994057351,-0.07065920378867896,0.06035058269765689,0.0792726746458901,-0.057977198081382894,0.1642354251239777,0.07367019134242286,-0.06226116925740316,-0.06846907511596176,-0.04614757609276364,-0.13919192190454074,0.019296568701920157,-0.08140726729167153,-0.11082222226500978,-0.00915043301304502,0.13091476770804159,-0.07960328413693787,-0.09091370883511662,-0.029734792905088212,0.05089705662266894,-0.0939054462095603,-0.0250029504346052,0.009251214986926513,-0.13665738665110244,-0.11669461342400572,0.05932351504055527,-0.022041127049485472,0.011256925543167698,-0.11334300907366265,0.021835328313751467,-0.041987187894553905,0.4658039429982507,-0.038723675205437326,0.17106452117721735,-0.048770506309716424,-0.015986392287296133,0.006814533124227251,0.06389684236899744,-0.06929995081378237,-0.06808381661526272,-0.025706969603480918,-0.10070899978838797,-0.011393237967767051,-0.03442702398676268,0.018931220650309062,0.1264835825912914,-0.03291966838017453,-0.04618796353711588,-0.0017097311828658257,-0.13924649233766195,-0.10572184569978688,-0.07711233561639348,0.14519011030777973,0.002819939850361693,-0.018126837945393014,-0.13376915644684148,-0.050456666575087815,-0.11701320331442144,0.06120253472598204,0.0050720636048189605,-0.11059605612996176,-0.08715840448876108,-0.07234087883998996,-0.058757128627910285
NO2,-0.13496134255602465,-0.015178871671415836,-0.10607596844751378,-0.0797167240565575,-0.1431699391208318,-0.062259392344785135,-0.08101340475880786,-0.01793756406001067,0.03237842699887148,-0.1276134215778856,-0.04240425230659667,0.08367028676054422,-0.0099568123512913,-0.07341771958084084,-0.05177484263355543,-0.09471228413854796,0.05747329948396625,-0.1229279167883881,-0.0039518878037849035,-0.003308633381208506,0.08256688166594468,-0.05356841460152586,-0.08441949820388024,0.05627740511715646,-0.018392847945841024,-0.10228013406508926,-0.2007850996968828,0.17873521973281084,-0.08600186029709438,-0.11477175983540508,-0.017869864984928943,-0.04539156912641153,-0.0422376298095619,-0.10654346813071186,0.01650754837242684,-0.057205499630282174,0.2557811621699374,0.021833775372779696,0.27250146373406003,-0.12998209417949078,0.16161611956772423,-0.1329552744937756,0.05341993222856353,-0.048154066105140524,-0.060880138879511346,-0.04665076761779208,-0.05430058564867268,-0.02849956331121948,0.002178531570478562,-0.08265830123797599,0.06629263972168126,0.011229247805078349,-0.03882158901933109,0.02682538431784827,-0.1299341564215535,-0.1014184897849254,-0.010603424777443134,-0.010089876729160977,-0.04687734247227147,0.06150604548708764,-0.098267214756568,-0.04800737536929579,-0.04178431769681802,0.07974245265922311,-0.004067732140187574,-0.10938599254171721,-0.09821187146834426,-0.04547008514531793,-0.0618784893642787
NO3,-0.09784266731027769,-0.005604439503740301,-0.06860865421591648,-0.07363609017729948,-0.09850066963221202,-0.05172001011558187,-0.06736328703762429,-0.055697251633038576,0.013697836409798008,-0.08171441919276429,-0.060374507461365044,0.042768992038400254,-0.03009027939701004,-0.08356104660996361,-0.06241032523118236,-0.09792549117973509,0.016858537367988414,-0.08740408342075556,-0.052654126572881974,-0.009850311808326162,0.07780497298296105,-0.039422496854740106,-0.06437645152640573,0.061194273258868184,-0.04343625443959142,-0.07161438840723128,-0.13448903049036123,0.18718891612058378,-0.09357220028342145,-0.0749068677568113,-0.012303995999773772,-0.020382797985338118,-0.04885396341196124,-0.07179573494843247,0.014155495952756248,-0.06964654509017862,0.19491751964275167,-0.037490937549247594,0.39926277519985165,-0.09688170479888489,0.25464550902707556,-0.11715162024513041,0.01941181214409283,-0.0460720299537407,-0.049976185045204846,-0.04578578730491084,-0.062421810797881096,-0.056337718263408734,-0.023256255781452385,-0.07943721748466201,0.0477829585660591,-0.01154719478068467,-0.034551052797213086,0.05332616039603559,-0.0900002518938883,-0.0676091655213886,-0.020340099366520037,-0.011873713552329093,-0.03292920178189422,0.03036389943962127,-0.10379529323617301,-0.038392382789316656,-0.03983828915548734,-0.011831835595482367,-0.01513424256850099,-0.07213102856537576,-0.07326645687774844,-0.05597782902503546,-0.06111565673252968
temperature,0.23608199019222992,-0.06111438738798981,0.037896818543660796,0.2892228527283182,0.3609393528770398,0.16401885628691587,0.347990612002647,0.19747512176762352,0.01445663692948199,-0.08637228945707531,-0.05289506441308098,-0.13076890617422432,-0.3985455874974673,-0.19134975790510855,0.2779397691111048,-0.16004790459781043,0.05978050739553468,0.2926322092265424,-0.3262132317621725,-0.036280755071601584,-0.24852537240697276,0.23071332673787204,0.2870864069048108,-0.03321121276177471,0.1050374636111997,0.170129181456251,0.17083948496479517,-0.03649019360694672,-0.006453845656443712,0.07663727500284533,0.0038026367370647698,0.02319349706561168,0.11622162059159388,0.28426923116903247,-0.3022635618224129,-0.07358540038640629,-0.3011563469957377,-0.39412917935989034,-0.3025263979148312,0.10750115962804761,-0.12895169434287837,0.368898835754009,0.126185619567976,0.2505966253723412,0.247876361435904,0.17786092013566912,-0.04787134647670443,0.30024672407829806,-0.05423872782079094,0.3462655214094563,0.03347095050050028,-0.17138048770324005,0.06098751464143269,-0.06204904940164126,-0.04623012339838575,0.23664638871663457,-0.12856243585737923,-0.23525462655556917,-0.14862774812510446,0.06896139293836176,-0.09332473327388219,0.15966690661354066,-0.2533097180088437,0.12885560760845732,-0.02278501118416603,0.20167700375216513,-0.09824667202416489,0.2777063917719218,0.29830151268500227
salinity,0.2256731940293385,-0.22279233403641913,0.032408639801035505,0.11956397768306251,0.24872353603060932,0.11979711562886075,0.2350678421124862,0.11658450959245126,-0.0956700091300192,0.11516711158486054,0.14099233757022855,-0.21330222001160135,-0.02665499647789397,0.03567324909671517,0.1108989903755834,0.1994599133898191,-0.06504437178203373,0.17873267360237402,0.126722749862413,-0.007012667841126567,-0.14069951320304655,0.07438104432657314,0.17217721300806038,-0.026472583683700632,0.05800166325930635,0.2354019327622968,0.2597659083146454,-0.36865027780287274,0.20528324180998278,0.11120394974288006,0.00787396008056784,-0.15264689398430317,0.015748153938593218,0.16300426945513424,-0.043599533480842834,0.31174399306068334,-0.375133220721403,0.12751568733120472,-0.5603504453716367,0.30269334604743414,-0.3837473310591941,0.3121120070721956,-0.3458085919897316,0.04894450712429457,0.14650757809346496,0.08530958093849664,0.11354915736468588,0.15792226406510226,0.04689768260564532,0.2588297790584594,-0.39404123404141905,0.057107566931350585,0.1140807467939094,-0.06883444900567966,0.04934012924759403,0.14410494264732027,0.04480821602661199,0.03901437739106433,0.03293265295455469,-0.30071275748784765,0.09698874323647427,0.11947924310329588,0.039422156980727874,-0.35749228594828586,0.056704974904724786,0.1478827387613033,0.04346849830810227,0.09347464484311094,0.17991958697623872
Chl_a,-0.10973510314338202,0.15534943305330542,-0.124569025862025,0.18378874472481085,-0.057546688772161875,-0.01842428940885877,0.03644089228772272,0.10270709558840707,0.03302383223989681,-0.18032120932340168,-0.021218395014285643,0.12239728627660569,-0.1719179060339553,-0.1280713287155808,0.1035982539578558,-0.20296825423036194,0.06665275630651157,-0.023819801832935347,-0.18002811487504905,-0.015923523568586617,-0.02974438689942631,0.16045706539131266,-0.028424652378989484,-0.058684900571185625,0.025379686058958115,-0.07797065382562524,-0.15365187833182303,0.19479973908101117,-0.12368654670201726,-0.08221171577748654,0.13450172524667392,0.17918990074878172,-0.01843693375227678,-0.08798492807087015,-0.13387632624570672,-0.12254186639754863,-0.023196299457244038,-0.1688420679583587,0.12437716585662072,-0.16172300948872054,0.1526242463643126,0.011546525580004992,0.053540044000038145,0.1519977135659889,-0.010164072145131181,0.12981380065473833,-0.07670231903503848,0.1530687217272662,-0.031480556223807285,0.08008279703066629,0.12040765514963903,-0.0758369644854931,-0.04586932104173627,-0.02197696269157108,-0.12400246109148325,-0.0897564950575358,-0.046728851321985815,-0.09537898539995875,-0.06207512676876738,0.24556129488540582,-0.1714543343326444,-0.03934683496521503,-0.11243204023272364,0.2487869593392945,-0.026330819392871838,-0.09837274148240902,-0.07997348680961533,0.39801404660358763,0.14859020381700946
Phaeo,-0.07516667240874642,0.06306293184535898,-0.08130808196060763,0.06955521498750303,-0.06626429609228848,0.04824635146410319,-0.024312560918421294,0.09445665570195344,0.039753140366746195,-0.1137016509590699,-0.021109346592053057,0.007160693251858115,-0.11026365950233918,-0.08382043231940939,0.06183103381044944,-0.1242118687296077,0.20270332816101574,-0.061632602735166436,-0.10596005320485968,-0.013608091182002832,0.03884966994126181,-0.010280341234944736,-0.005749463679506786,-0.03486687356196965,0.024583655298933256,-0.05953433323796008,-0.11100665160985587,0.07857608149776064,-0.044677454589291975,-0.05738575775299426,0.19922721485428962,0.15115428333668798,0.014933425226245073,-0.050606528741411624,-0.08623461055114322,-0.06443629499682943,-0.04072834249340455,-0.10664683360993678,-0.004709466155214977,-0.1104568655154376,0.03796656446108833,-0.0427226522077065,0.06348779812013293,0.16430830358352755,-0.033136011249460855,0.09138142715716745,-0.026371869963260693,0.3340139406674333,-0.009515543428077623,-0.028993217622805104,0.10123017928486736,-0.048884839556467594,-0.025644199255993178,-0.01738164230143298,-0.07931909775748267,-0.06709621996511667,-0.004192173809858282,-0.07691017464682887,-0.04162284586600537,0.1496564561615386,-0.10013749152613659,-0.024287863479113363,-0.07012759285311318,0.36134806118850754,-0.01263930256853378,-0.06533954636486948,0.01324155411655944,0.22665335691945981,-0.0003625867704587877
Chl_a_conc,-0.1125353710085681,0.14753679160106653,-0.12665580170560364,0.173173230765772,-0.06630860630096122,-0.002358303035048916,0.02398415143548136,0.11187656287990347,0.03852104162598771,-0.18225612172004213,-0.02354616840272153,0.10468856740217203,-0.17426816397129175,-0.13027826785454072,0.10376095378262969,-0.20412198082620686,0.1110199568042354,-0.036739133557816786,-0.17990686842837864,-0.01706360151092941,-0.014413532362280075,0.1318984941010929,-0.0254223259963052,-0.058734054591817825,0.02798314781191823,-0.08162457956338717,-0.15913708502075286,0.18486689091996716,-0.11596328705490724,-0.08460090580718732,0.16702959460393885,0.1914815363329077,-0.01141931097599076,-0.0876053077601767,-0.13580699890316356,-0.12037046055493378,-0.03053652035493567,-0.17070362053331312,0.10312566205125442,-0.1657628176565608,0.13843107121908954,-0.001914385473895613,0.06219102053906728,0.17222943407054433,-0.017534291484389775,0.13379509686768065,-0.07155039299855023,0.2192337760942421,-0.029010685182354376,0.059346561556240594,0.1285750475952137,-0.07694027581939519,-0.04547075639264825,-0.023170192184886133,-0.1256398503619401,-0.09357229150626961,-0.04036421988012216,-0.10095817925913815,-0.06341534029242862,0.24678832016293129,-0.17112797244730432,-0.03962714124233439,-0.11343023570935648,0.3070080012603278,-0.025536531939129584,-0.100327721773028,-0.06353418669430475,0.3956791240751876,0.1246316082573693
