,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
PO4,-0.046383421439961985,-0.08257923701679051,-0.11668131651461264,0.14676118706258487,0.1705498519519774,-0.12425200254871452,0.07328103703372779,0.0947942515618142,-0.07290667878855168,-0.0646161341475453,0.13802466417540057,0.0017389034315648825,-0.0921488415043864,-0.048173755899189416,0.0339595103648208,-0.0977924409513092,-0.10399110930939669,-0.0839443580357242,-0.04509065062786311,-0.006047073621965283,-0.014823297548507038,0.15122655032296223,-0.04322606907674173,-0.1573433906106939,0.03191586933573571,-0.05486325435202204,0.03588211725730051,-0.09679853230689289,-0.027777407211061065,-0.1418739891424658,-0.060122624111148756,-0.03660582073560246,-0.12812372315627443,-0.020334825863608567,-0.022067212227166816,-0.06487072885580242,0.07198376383145191,-0.01697937114837755,0.04307251867755417,0.019014658458034236,-0.053412856047832996,-0.10995077700223374,0.04686841788357396,-0.04130489424516037,-0.03470189538575369,-0.019974357113156312,-0.0465369602793224,-0.016905235597049,0.001963312607129638,0.16967811197878996,0.044166146030774,0.04757519284723808,-0.023550247584549586,-0.009939843588296094,-0.161085478802572,-0.10044203399273975,0.09863553982872802,0.040367523500592126,0.025635950497171888,-0.06812142145274093,-0.08764134729556944,-0.01667326668617406,-0.09643162948514959,0.10916742727389257,0.01219028402491863,-0.05785113807007364,-0.10299341993167468,0.1055305041605405,0.2046980140776372,0.13016604958700667,0.10199722895097296,-0.0057498226265490955,-0.10019142316777209,-0.008087501847413154,-0.02987210294259532,-0.06262835836483313,-0.10611730119644161,-0.04442675847321414,-0.015335216744054742,0.02372908739496103,0.1057301993425204,0.044136667037553826,0.18963800985459334
NOx,-0.09416366967860201,0.13007064534859608,-0.06957944751285548,-0.060803933205308705,-0.07798221663296889,-0.05758425610235558,-0.06851609701627545,-0.041173980922840456,-0.050590851450960664,-0.07845476398710347,-0.06060104271858614,0.017848591448120378,-0.027176542304042497,-0.04747337509570833,-0.060331069446303835,-0.07947975747782599,-0.019129185429936184,-0.06567645486514076,-0.05431114069369809,-0.009771299514842995,0.07673426193883988,-0.03923089801123193,-0.06451544959283738,0.06826505250903665,-0.04089028979088809,-0.07053263634039038,-0.029022760227946774,-0.06734525170357403,-0.05730042302855903,-0.0799656551183609,-0.06007288850227657,-0.020853600843547128,-0.06806986060780154,-0.11010519424068126,0.012315305809913982,-0.0831814086170582,0.2663957936819715,-0.08295460252064826,0.3864410901427833,-0.09382562561249638,0.2572911361080254,-0.0687935264219593,-0.015408597754250696,-0.04322106477344286,-0.09567513460561872,-0.038743794080924196,-0.08144373115235587,-0.05584850837736145,-0.0227999177669687,-0.06413709083254734,0.03309324692129218,-0.05793566420021692,-0.034254466910657914,0.05580622959223047,-0.09554193192874794,-0.07400762050540674,-0.011132113709567197,-0.010514905808966274,-0.0030128435418970358,0.015057433349563977,-0.10448776145166126,-0.03770501251658812,-0.03882171549730068,0.10653186091516728,-0.014800231500282483,-0.09334976788290973,-0.10719131256251002,-0.054840145926237524,-0.049725576700900234,-0.11458794269081789,0.025204280059128427,-0.049271065049106,0.16869221963459174,-0.0025571036833178175,-0.01967944279599158,-0.0459164931279037,0.01971079121460173,-0.029819935281758664,0.01314154732400914,-0.012322588871048491,-0.044098558379552885,-0.018214452020325546,-0.07475777913109086
NH4,-0.09831722560883296,-0.00578811370570712,-0.061871935170758605,-0.05299325269234173,-0.04547851146677634,-0.10405323297921307,-0.07221404772474962,0.035436296402977685,0.012444400963246376,-0.06154831294948285,0.1543416250510351,0.02747616558907155,-0.06026448344353168,-0.051296306218558595,-0.04421811725502631,-0.12503716224905406,0.00778046914278211,-0.1051761172392015,-0.11143595901450315,-0.010266942148683383,0.13213685389817448,-0.0789856723875757,-0.08675651655550598,-0.03854179329409062,0.03778836504015347,-0.09344044554199579,-0.04570111423634461,-0.10251191748336799,-0.0807110108361091,-0.12938944883023867,-0.09912834907257083,-0.022053581359011594,-0.08781870997957349,-0.11562632937220811,0.022922168727534383,-0.10608348709366591,0.3263360943496913,-0.07916323658795815,0.16435254237150657,-0.014692393017745116,-0.017129193437933975,-0.10896479035849183,0.03147030563334628,-0.03732414030455761,-0.12451631837565305,-0.06825474753784888,-0.06572844513101815,-0.020518846566254384,-0.03406926450817978,0.14102684192085738,0.10971049944621453,-0.01351229284896584,-0.041932146717322094,-0.00446134553230387,-0.15685587023019068,-0.11070577328520922,-0.032899597543528517,0.14341470422250657,0.058356143686194704,-0.005711082507974824,-0.1329280983395459,-0.05005758427878492,-0.1163867208576361,0.443795568692592,0.0044940085970782,-0.09058710347882995,-0.15474788213547622,-0.07482055646347599,-0.01071781397959957,0.06440490990179501,0.07658659287743193,-0.06737692723239605,0.01322813565837412,0.026898230522757395,-0.07655360087840017,-0.055505431443773276,0.019045146444694128,-0.022185007314977634,0.07900139776235987,0.05864538213361073,-0.03343035320547701,0.07444923061060921,0.04408438942216364
NO2,-0.1331630658830421,0.11904422162725334,-0.09294130991219604,-0.05762443772155269,-0.10056756928726357,-0.09854044306201998,-0.0828467921187111,-0.0018931840495750598,-0.04236230492049117,-0.11988718751805366,-0.04130634127149131,0.05599070064056244,-0.01019439701022318,-0.08405245143885201,-0.05245741607299896,-0.07672979652140732,0.005098327746208364,-0.09731806408368661,-0.006575520045508485,-0.003677732302003402,0.08198366306620677,-0.05323856105967856,-0.08432909942165077,0.06296607831722004,-0.012306948861231274,-0.10075954432706948,0.024667796866617894,-0.09911782872532002,-0.040230871372491345,-0.11472520275391285,-0.05249247912530106,-0.04547296363067127,-0.0948105041439162,-0.09366575062728855,0.016906145696632895,-0.10144433914193271,0.28001064057925507,-0.03936691035232568,0.2600548470863868,-0.0933055465347408,0.16287885181110598,-0.10120353802441936,0.07354666597934056,-0.02613006148791263,-0.13308400486021185,-0.0472871559880995,-0.11265029166484851,-0.02739971181840718,0.002404552399537155,-0.0713570855910777,0.055855681920925465,-0.0483297974489454,-0.03687882961697959,0.030243622727630086,-0.12360900763194996,-0.10931659532453761,0.011820150044492175,-0.008405661640071425,-0.0024131483749583495,0.04833109507564481,-0.11283924685183323,-0.0458290461519715,-0.04208408710053042,0.16372429179220338,-0.003921266851115249,-0.14077453152966737,-0.11444253456345352,-0.055458475938995305,-0.01045302380775847,-0.17397998679376797,0.05878611198915713,-0.05963123628176876,0.1755554989405505,-0.01439370426952782,-0.009684936513391675,-0.05054053459758945,0.058942802802196645,-0.04588118905795329,0.03154188282801641,-0.01775361058159453,-0.04546182454911375,-0.006328435538015014,-0.07461498470546601
NO3,-0.09326837115583503,0.12992550399982236,-0.06900965490006405,-0.060702864973121475,-0.07740412724262438,-0.05674901946148847,-0.06810090927976337,-0.041730022049022604,-0.05060066588472081,-0.07755847015850836,-0.06077154419887527,0.017161683897958434,-0.02739310286718184,-0.04673745947306795,-0.06031015774714563,-0.0793239958479261,-0.01948806553062626,-0.06497731915051715,-0.054975999002918954,-0.009848955987158101,0.07645093117902689,-0.03889557839156239,-0.06401820835909275,0.0681806693360586,-0.04126712325616464,-0.06984495251557381,-0.029852055181985006,-0.06663967152566574,-0.0574418872591144,-0.0791777572494855,-0.060047700731022224,-0.020386504853075277,-0.06744707462909959,-0.11010184522709764,0.012206786883132769,-0.08266280646983434,0.2654896914505407,-0.08347688996006042,0.3875846521297813,-0.09359589469914889,0.2582251666294618,-0.0680735436328041,-0.016865640280550043,-0.04339867560991832,-0.0948027466384327,-0.038501620819448454,-0.08071183684545023,-0.05618505922569335,-0.02316590008144939,-0.06385263363445719,0.032626274264725266,-0.05794997637855856,-0.03412326045627095,0.05609434286107767,-0.0948270093402718,-0.07322562505804259,-0.011489870732848401,-0.01052365685362576,-0.003015272468920193,0.014459506299045367,-0.10408171271422612,-0.0374725325517253,-0.038668169211762415,0.10529912328844845,-0.014945595106195442,-0.09231482534748778,-0.10679689832844266,-0.05469035743204701,-0.05025974339835278,-0.11329773177173288,0.02457537920834574,-0.04897157609555915,0.1681480123859529,-0.0023515153674714224,-0.019797528425876513,-0.04572201092921305,0.01900081856783013,-0.029473994780550558,0.012798655813142917,-0.01219991976961614,-0.04396354234624195,-0.018368076009656988,-0.07457016751515322
temperature,0.3091445475412129,-0.007413639362250313,-0.025272477746634846,0.27736976319649764,0.3691066005615567,0.02403909810466736,0.3496148974806699,0.17355474143501948,0.1422525628284672,-0.10226836334711303,-0.05067148964949379,-0.09091858388329947,-0.39194054485893143,0.02903041835592723,0.277468922679308,-0.21081111610467046,0.04174862461353046,0.20200529528355207,-0.33327295608198176,-0.0343715275030035,-0.2503279383327983,0.22847332835982143,0.2869062275394849,-0.03439061606069657,0.11190484440936362,0.16990022763088328,-0.34561016396634947,0.22935413761982587,-0.034405637801659436,0.05813507712323898,-0.05645891672198104,0.023323809679516153,-0.12683604221963699,-0.07599965883107661,-0.3136615422740648,0.002947742501195628,-0.2721647461591353,-0.28764531960474893,-0.2976266040849373,-0.08430996364185817,-0.12827781821593476,0.2815838148381623,0.16153371401755257,0.2020390367981987,0.37545162201452154,0.2568538077596705,0.26593795076637805,0.29894809330973926,-0.05444549507131801,0.14888466098718003,0.05417519550050531,-0.031966387032518646,0.05461515277569002,-0.06859685131663014,-0.12077241697829333,0.19537200136014746,-0.17130765695035105,-0.23851612173365683,0.01682393058486563,0.07588275317076293,-0.007317782864960527,0.1575051723416309,-0.2504892471152915,-0.26935455384166873,-0.022931634672938548,0.28400551224705334,0.025404770548872406,0.2677172776505261,0.26199397162212895,0.18840793974892506,0.11780216960173043,0.24288156184377513,-0.03689257459517342,-0.06025161042808347,-0.12822776983860368,0.14844313690673316,0.06528004753796135,-0.11432241548749537,0.014772837486895575,0.0033427246789763353,0.17452753517140904,-0.1650046284437823,0.3077373913303312
salinity,0.2377357301860716,-0.3953934015710355,0.05399078613431474,0.17058752267104468,0.25715691647619093,-0.00408120962406428,0.23598330349225832,0.08479249871334424,0.02720492676402989,0.10997574743146676,0.14159817490284377,-0.15941251734423784,-0.029395962086051792,0.05871319470712884,0.11088371647654563,0.16892607702009696,-0.0029026854513661054,0.13245549083740812,0.12122629283807956,-0.0060045597296417876,-0.13883756942332795,0.07341185799455023,0.17376044361998427,-0.03268157207116851,0.05184301319413041,0.22753551563395405,0.15660045702967934,0.13993164523368445,0.18578503944318187,0.11402897576909021,0.09363342251661835,-0.15236643673272804,0.05229860151919934,0.19575537002605187,-0.04266766057804949,0.26353143922799893,-0.39516648481465777,0.0036039595371743604,-0.5401849194991268,0.3527046035423044,-0.3810348597919315,0.15913324453901573,-0.34915563637399766,0.05856112013634782,0.25117656917829745,0.04276256605098745,0.1649687359613167,0.15991605051862678,0.04720137439717875,0.14886323160154635,-0.37525656547512976,0.2685233741541697,0.11036263398092003,-0.06929550715882236,0.03410987693661041,0.15387156546143446,0.0569144492038041,0.032517804209926525,0.006816963671301536,-0.27697718652321845,0.12835556075780524,0.11702087790115227,0.034871228155402674,-0.31654570170484475,0.05631624161520264,0.24492417563045654,0.19897279518298416,0.09477039943862814,0.17748753203409476,0.23201470550484743,-0.34776336735137603,0.14439065784713045,-0.3364162177766391,-0.22323910045584433,0.04439683026416347,0.10868748209060623,-0.07125414552371706,0.023179882484055114,-0.09040055732028691,0.007647563726336319,0.08080428286958405,0.05191855031310335,0.1155249904397353
Chl_a,-0.07535348722152563,0.2682848248106916,-0.15055199566688954,0.14433638143737215,0.11063336462752342,-0.09592751633274654,0.034341710946813486,0.07986549370301446,-0.007007330934258008,-0.1779873244602065,-0.020378042581360584,0.11430161194765123,-0.17190169173538422,-0.05837207943703055,0.10036093048844202,-0.1799301182075848,0.0511809210377121,-0.08815524675080427,-0.1831239907041579,-0.015805001792343943,-0.03145288460808445,0.1566410952300821,-0.02913739076065247,-0.0609904583694655,0.04161687192956215,-0.07764366794349613,-0.15824346885952106,-0.08745151207829661,-0.10558713676628857,-0.09831618073636403,-0.07187429704070533,0.17898392793382126,-0.09596996275239902,-0.19040309666369923,-0.13616035817127117,-0.12586126462088892,0.00859380775202086,-0.14384610489573785,0.11174386489357849,-0.19026799057116328,0.1466569121214556,-0.08146391704508017,0.25331270936533745,0.1746644298635715,-0.05242005809211277,0.12026212824392007,-0.032406720295943214,0.1378953667314491,-0.03151843284171298,0.08981782019620754,0.12416334527716097,-0.07174649384802735,-0.044384802538726925,-0.02130605740719254,-0.13856069927425319,-0.10041169420054417,-0.07522860000208878,-0.09721199793552958,-0.027534053140927744,0.21324637983996794,-0.16185868392780123,-0.036918849503486215,-0.11137117532097186,-0.008432134142910844,-0.02678305996604634,-0.11299163703294582,-0.1216860697332688,0.4198488794012706,0.04720058364562284,-0.10565209921132498,0.04728136935278295,-0.01134929206957181,0.17359279955255483,0.15216470825089995,-0.04705092286605988,0.002824115069900791,0.06404706867775493,-0.050818624040856644,0.03196652988468445,0.13244733808395528,0.12844950428674015,-0.07544531185672032,0.18649825670508224
Phaeo,-0.05665887901967226,0.13297764755851002,-0.09575910344944819,0.01696572038490715,-0.02999191244079367,-0.06563242381556418,-0.025335152291522396,0.07310696485621944,0.015861431039053943,-0.11240264817677298,-0.02031042479392608,0.006826103575497459,-0.10987915711681796,-0.0421550651170907,0.03447834660197558,-0.10609039476064783,0.20451248048535006,-0.05911682137608505,-0.10834704893777931,-0.013478586719654288,0.038379338442831014,-0.010036128210619043,-0.027224210140461644,-0.038351514465102,0.04913358685667084,-0.06001421929959805,-0.09765577926045729,-0.06512214339283048,-0.003211033534677929,-0.06665229785336577,-0.029314967042368686,0.1512686852980882,-0.04142129078526275,-0.1262283410098538,-0.08853102768804325,-0.08308751432351594,-0.025898960631777802,-0.08752605000907542,-0.009591665876734578,-0.12146508387936547,0.03850352748263297,-0.0455325185935712,0.35580198826315956,0.37185965564515555,-0.05753951332924716,0.05446962643245602,-0.05006673058209449,0.3071128392168521,-0.009268253330681153,-0.004107679506630265,0.10738639682128935,-0.03077839275635165,-0.024386060129069728,-0.016247839713991595,-0.08381331502156475,-0.06604116976248203,-0.048398133863789536,-0.07680341898378973,-0.01839151213510618,0.1376040835882314,-0.09370845057985842,-0.02255744318155429,-0.07134576813929136,-0.030945137313038874,-0.012892744251276258,-0.08235288561770494,-0.04452844321452544,0.11348746034292581,-0.010835312280140294,-0.08301752437488501,0.05854314462972553,-0.03277240232797263,0.07497954332945439,0.06087057122926797,-0.006171211799214746,0.07520210474015468,0.18276277964146698,-0.031082658117483224,0.037023450510654796,0.19876950441709354,0.09283264962675275,-0.05831622177367207,0.07985981333642014
Chl_a_conc,-0.07864647023717285,0.2613317183636553,-0.15239254494582655,0.125768571941233,0.08472010365617907,-0.09835471061981874,0.02194423347288901,0.08690254013560221,-0.0015729144005047265,-0.17994409315679705,-0.02262370719559872,0.09780196708168376,-0.1741500924127819,-0.06045150752442621,0.09361234094778806,-0.17986001867069684,0.09852404119166079,-0.09006033778012748,-0.1831541140528505,-0.01692892800973157,-0.015975464348661966,0.12876162625437965,-0.03185483464074863,-0.06161609485867768,0.04828270373179695,-0.08148047447080603,-0.15936423397917449,-0.09110112107029039,-0.08950469594020603,-0.10063688923957648,-0.0682972128293296,0.1913397184156454,-0.09181270545073633,-0.19412232320600092,-0.13834815541788958,-0.12822397022362053,0.0001776629767066822,-0.14452672168349864,0.09119458485235835,-0.19271483911327073,0.1335678314913583,-0.08075291992796865,0.3093002755757961,0.24764357551949134,-0.0596348590277814,0.11574906865934573,-0.04080500038308068,0.1991884633816915,-0.028975296392342784,0.07427922599617212,0.1334001720599803,-0.06858751260297563,-0.04388280770977978,-0.022298989111935,-0.13908135882542144,-0.1022298824278168,-0.07629737305065179,-0.10246784995340241,-0.02810930429413729,0.2163880535088537,-0.16132652768512407,-0.03711891571142316,-0.11287067232898661,-0.015485249387028263,-0.0259850078888445,-0.11722131928912703,-0.11424355645882346,0.38326309597624,0.03667756356360943,-0.11124090628022884,0.05559398741550415,-0.018430408394083664,0.16608818581572676,0.1442678421641036,-0.04117223568478941,0.02280139693734225,0.10341527004813794,-0.051102828256718885,0.036891920063658934,0.16518074373346883,0.13304413980594998,-0.07917381380153929,0.1782471930658422
