,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
PO4,-0.023284306366986092,-0.010894383785788286,0.11215442859237719,0.08028616975717313,-0.026886676089995454,-0.0823671133823733,0.07607561498630336,0.15105811526569352,-0.06539778345592193,-0.06313146993410321,0.13821451858451791,-0.10119146897361198,-0.0915640433572877,-0.13987099379476353,0.029656846630494907,-0.09272015095943761,-0.059646466596683934,-0.05707666047171721,-0.04198422181533293,-0.005553595673922732,-0.014793774774458333,0.15183675336805322,-0.012015004307509706,-0.13649462021771366,0.048376353284500885,-0.05434545491318231,0.1386735462574701,-0.05068191295653031,-0.006101243244634614,-0.12983188130168608,0.023735018529427748,-0.036666339279908366,-0.04256458215404891,0.16891299102932894,-0.02366670300900078,-0.04271674507432476,0.07083673110433775,-0.02956834786291361,0.033000095850187455,0.01958138465907689,-0.05296518204243436,-0.04459294945454381,0.027459519255110493,-0.022749124975002102,-0.06825829545226475,0.09684649322208747,-0.08464602493403706,-0.023355873226435515,0.0017792423252200242,0.08696568378868406,0.04834934863714056,0.05062027293432178,0.16925316169799215,-0.005998302571106971,-0.123024303259985,-0.10008565334515307,-0.11327128144849428,0.045594363706185664,0.0016497725373313854,-0.06719082447255101,-0.0764868756764773,-0.05776693638684462,-0.09625157047058566,0.10137516462098062,0.012133009269295624,-0.023504855502965178,-0.13178008453236056,0.21120491964250865,0.12756459777191384,-0.0639219699732464,0.08933825702867632,0.0009298935196633421,-0.0819024497388521,-0.007325626801012285,-0.0294790122832967,-0.061409008130979284,-0.10056186779688403,-0.04344718352305876,-0.014440732303668827,-0.014530334250950065,0.1085259953162501,0.03195929068474293,0.18874382330449915,-0.0971639895169324,-0.10893586210410715,0.04502527536534097,-0.1138171537745333,0.09898359387599219,-0.04805728392299818,-0.10360775575806858
NOx,-0.10856568081201019,0.025986945630814766,0.19953315593634358,-0.07030158203379508,-0.09930370959886117,-0.06890453729008099,-0.06734442693350254,-0.07698215211526659,-0.054555523565535176,-0.07602824052124757,-0.05797928456213823,0.1561547790214497,-0.027824773976352093,-0.09026744808941552,-0.06009581424943275,-0.07856527777030217,-0.04826387750106391,-0.08651526024194214,-0.05374892158089624,-0.009645795498495386,0.07654124796072437,-0.03927653409411666,-0.07163759265268045,0.07171334812239849,-0.03996035093132021,-0.07119829694888544,-0.11127918552367444,-0.07182337348705106,-0.049142966748231626,-0.07533684938771122,-0.012198771529223884,-0.020800350925826445,-0.03145315774081907,-0.07760207675970542,0.014255152843446346,-0.04375511785263034,0.25550203046753983,-0.08089523873136822,0.37968230973497,-0.09502394092836726,0.2573120965943242,-0.090553257882547,0.0076061865642769,-0.026142570162809638,-0.046204077224425585,-0.05797272090705494,-0.06548798090131348,-0.053031145228784375,-0.022534778998456875,-0.039034087996571216,0.03884870822120007,-0.056918560594914965,-0.06737985729031923,0.052813862711368245,-0.05615228921767604,-0.07354665045726273,-0.0027575923439035425,-0.010582898801236806,0.015433137695024534,0.015191791046548376,-0.1055050379904025,-0.09037258586580771,-0.03886778852002093,0.1038614979028609,-0.01480622449468436,-0.03388655562521005,-0.06892038541012782,-0.04957198093962774,-0.048853448497093256,-0.08292241496718161,-0.03377159630974705,-0.04823019410165459,0.14858856382862642,-0.002103204280941474,-0.01962840369789614,-0.04486125983365842,0.014669286545901364,-0.030164286428154302,0.01356543879636351,-0.03506229751903339,-0.04565204575152618,-0.036124594562325786,-0.07123266582320831,-0.06552859327637317,-0.06828608215909486,-0.019506548076891454,-0.06696556813336889,-0.010962845245157248,-0.054221831553256085,-0.11192498789815893
NH4,-0.12007870819119965,0.0720474532397943,0.32374212928049295,-0.07842026210062265,-0.1249610501427378,-0.1087643027782894,-0.07012491434986555,-0.012397760078327187,0.013699189946678614,-0.06260113256707564,0.1583617360152585,0.012001390810481505,-0.061444112356996025,-0.13731253918565095,-0.04372673836148123,-0.123422844949332,-0.040071727848335126,-0.09126506916224415,-0.11008209741384312,-0.009560421515059606,0.13093282153135155,-0.07901513508979066,-0.08251352866527858,-0.018973822037079008,0.04500228740617883,-0.09351408408194074,0.08379383219101395,-0.056219821903985695,-0.06471563513308122,-0.11777557867887249,0.058686617456481044,-0.022009922929551867,0.004156034104432114,-0.018119421410287103,0.024557485081791768,-0.062187920446921424,0.31537178104281693,-0.07015811562270415,0.12382342802034633,-0.019357517980614858,-0.015947501868863956,-0.08934412906539238,0.05666074047184114,-0.05824632617715299,-0.07601733181402837,-0.07873233120558801,-0.10565895597335079,-0.019336230805905855,-0.03374106121968371,0.04984545466734172,0.10297069521531105,-0.00877764207960384,0.13051754129376333,0.0006781964289142989,-0.10055598319659645,-0.11010443036763563,0.006461600863228124,0.14479643263315714,0.027077406237111613,-0.00476299940753093,-0.13588731369356913,-0.0859788622561686,-0.11723522370249878,0.425825938280731,0.004502553857590578,-0.04209459696771836,-0.09013387902849973,-0.00359021302746082,-0.06039845924658617,-0.10777851182308307,-0.04301233634202821,-0.06378893988593777,-0.004901178416582254,0.027469807513963426,-0.0763834527153657,-0.05346148815054133,0.02721294349963075,-0.020218806199593382,0.07987178104589486,-0.046629609009712074,-0.029790215328209222,-0.0538006553090937,0.07946832199427636,-0.10138101047940268,-0.10703205872277258,0.07390051807793266,-0.05882957991647416,-0.03265210228111074,-0.09000898222147061,-0.15736623505833636
NO2,-0.08931291728467536,0.12746285646747474,0.23556696773941696,-0.08992658359717351,-0.14129616981595555,-0.08998333381549806,-0.08065327145064263,-0.061202865325475315,-0.04680403330658455,-0.11863506369051027,-0.03824684576721711,0.17147450125208114,-0.010231889110415405,-0.12844213110689312,-0.050616480428426744,-0.07341553203113266,-0.03856285802622997,-0.124569503710505,-0.005063545138730888,-0.003273445609916645,0.08118367116540308,-0.0532895774590241,-0.08755136618700732,0.0677290932035452,-0.011192266766275577,-0.1016231696868134,-0.1674158284251126,-0.10181454167426787,-0.0198219119513188,-0.11606151768441117,-0.017566584437098853,-0.045425413051280825,-0.03617970977732955,-0.10031811917347357,0.017821670153317253,-0.04989276894794138,0.2562799593607386,-0.0703591409062357,0.24315642429192308,-0.09459534467877916,0.16372226180258048,-0.1283970415569473,0.0966050140768393,-0.03245341158394732,-0.0664694804500447,-0.04514659246834329,-0.09754387324641857,-0.02478872665352385,0.0024849880989053323,-0.0003571789828927456,0.041438885037937426,-0.045559704669734746,-0.0775317615906406,0.028841863241812267,-0.09559198478705798,-0.1086554390388185,0.02912662983733686,-0.005539195049492461,0.05333494037262142,0.04531311120199022,-0.10109521169364247,-0.1347177194916917,-0.04059235197412009,0.15911915849377434,-0.003958488442600469,-0.03667680525558044,-0.09601253820992428,-0.008953741023414855,-0.05028472797201462,-0.10454359196387031,-0.01736411537394553,-0.05752843703545486,0.1215975744163785,-0.014351647613971624,-0.009765155538995478,-0.04920986922314806,0.05370702846661855,-0.04589668368981712,0.031887187535136516,-0.04230766780862607,-0.04728633714449343,0.021778903570923786,-0.07645916210372203,-0.09646354325959067,-0.10144954238761522,-0.005243899898580175,-0.08508686326695164,0.012103339355307989,-0.0404390494535279,-0.11862758246101604
NO3,-0.10861356419893667,0.024214092824013992,0.19841991806374112,-0.06979280708821353,-0.09834500388934152,-0.06837486074824412,-0.06694940454446177,-0.07705188893475459,-0.05454723693493614,-0.0751183611080976,-0.05816381245959025,0.15550020303752993,-0.02804995941347454,-0.08939592415747386,-0.06010250767545937,-0.07845220431498282,-0.048304373105322145,-0.08565529908827701,-0.05443118356587542,-0.009728460026809264,0.07626861701619916,-0.03894100798460319,-0.07118784393494397,0.07159808707269907,-0.04034265537963799,-0.0705055914796686,-0.11005213963288724,-0.07113637405775436,-0.049511232390638565,-0.07446038470545427,-0.01207748029425691,-0.020333294420218785,-0.031293713095271986,-0.07702275540729468,0.014158932235400679,-0.04354067070356938,0.25483953111761914,-0.08086684035745359,0.38101359708317667,-0.09478962551240877,0.25823224043039783,-0.0896865731520742,0.006089914154607887,-0.025969976167451534,-0.0457457799952868,-0.05804110295128072,-0.06478235608886909,-0.053371385797230685,-0.02289832855887372,-0.039585410879076924,0.03870639948789201,-0.05696494283718645,-0.06703784384846043,0.053082828093703974,-0.05534619926947581,-0.07276919375297511,-0.0032868685267079915,-0.010640833955365553,0.014756411453122217,0.014646544149395539,-0.10531104591919556,-0.08939700915686855,-0.03873999070564606,0.10266808997960383,-0.014951047610330058,-0.033753494118970065,-0.068289525330863,-0.050129172177778965,-0.04870520289376064,-0.08234798618374084,-0.03396172836742112,-0.047951212138560434,0.14866487539268813,-0.0018918425511917835,-0.01974441132375063,-0.04467409244675822,0.013975395565929631,-0.029823001972751596,0.01322279168296191,-0.03485131351064844,-0.04550852260609388,-0.037006699327765666,-0.07096370383761672,-0.06484171922880816,-0.06755471632055879,-0.019696862312251925,-0.06649056439585492,-0.011322948623754825,-0.05431583800250538,-0.11152776977020758
temperature,-0.08843316900891118,0.03874427133678668,-0.18437812650915358,0.30866616769189836,0.37020908642160716,0.08688909603116918,0.34584856156964083,0.3132714180221428,0.16002608782270264,-0.08534004700974515,-0.061761737645704154,-0.023976248033361687,-0.3940218653796953,-0.0465750555418398,0.2758975762715179,-0.22063665031666543,0.19735367304004753,0.2373957633723813,-0.3353043416822151,-0.036319705962279146,-0.25134648506897633,0.22869307620913865,0.3048642521586372,-0.038778004426537796,0.10065496391457707,0.1705712388256606,0.15487685842275117,0.2164885867519662,-0.09223545766064013,0.07981742071132061,0.0028791520678021366,0.023080677882419774,0.03882948099250192,0.32661966291461986,-0.3067455810374595,0.10748919131189681,-0.26809817822678284,-0.19401309719549256,-0.2881877522962333,-0.08999842830020906,-0.1290137993871025,0.28519715009846747,0.10786641543988115,0.2339704426333924,0.2155445340585852,0.27921934850204866,0.20447987649839477,0.3057845905738389,-0.05304296272712457,0.16336299455220998,0.0473629128736098,-0.03641152349116915,0.1676399923384453,-0.06395408670680035,0.014779325573304754,0.1936783631205324,0.04123372677639734,-0.24528431213604107,-0.09020689022409614,0.07276873261749597,-0.10213037921313664,0.27081799858797007,-0.2570122669067389,-0.26781664914222914,-0.0229819597026567,0.052218654035469984,-0.13150461720849393,0.2568054501093498,0.25524429876497273,0.013042670946441884,0.21179967959185828,0.23816675995018738,-0.02054460453635603,-0.060938688999099266,-0.12823043930071426,0.1408490689268642,0.06370270716754539,-0.11466755932891126,0.012406637670736166,0.14775084760244184,0.1763273310197392,-0.38094345314587985,0.2775271058756027,0.22481704719287454,0.25982536228638975,-0.17108964146362948,-0.08795970031427172,-0.17109369186835766,-0.07526797133227578,4.123301779490954e-05
salinity,0.18383056958119953,-0.2706409448808282,-0.4940507169851407,0.152437320689508,0.2508645153915543,0.11608366561509607,0.2339593921233622,0.1927823040365864,0.04170920882040753,0.10660964779904741,0.13674635118944406,-0.3136464937902025,-0.02976730201769405,0.050288804893211504,0.10923266622844488,0.17340406260473729,0.06927350469852228,0.178861885071045,0.12301601643898727,-0.007105171764578084,-0.13856015542135722,0.07358301016500934,0.19326632030947252,-0.042975737715620424,0.05541221134916009,0.2296717255635205,0.2270526082780469,0.13524654263871738,0.1823191562763662,0.11087384997563118,0.007236887362560505,-0.15223879949395425,-0.004693089268001064,0.25638652927639555,-0.044963926145935584,0.1272946916860336,-0.3733487847648991,0.02930667311874298,-0.5257679701810367,0.3625638900379782,-0.38075778825915607,0.22681276861604358,-0.3477419437029519,0.00535613173116678,0.1172995353016709,0.08264748097281338,0.1410219363164809,0.1640721634376625,0.04652915434990884,0.07270063963295065,-0.3842149612095789,0.2703813518190704,0.1613238965994801,-0.06713186054615311,-0.005826908492759068,0.1530724489212022,-0.02077038787260917,0.03869485644703624,-0.15797069594139862,-0.277898278070584,0.0978543664441619,0.2435907961992584,0.033885294593024626,-0.31866784752911115,0.056199263857761264,0.10888731366407911,0.047887213672804296,0.17669666360412178,0.14767744939363248,0.26368645836006555,-0.27531547272304685,0.14303484852454568,-0.40252903497875897,-0.22233597897111324,0.04441124935040589,0.10454217320822923,-0.06791523940911409,0.01948483762264698,-0.09083682389633527,0.11219070823461888,0.0848796149423526,0.1418920732364659,0.1002733161285085,0.1360008036649459,0.14923234082936607,0.050864802392122474,0.03848332687732774,0.05710373766363791,0.08840703120935968,0.19125559961707286
Chl_a,-0.1874983908189636,0.12143110012302137,0.04372627182875712,0.3509852587059581,-0.046763532474806344,-0.0875323662580742,0.03613084948943762,0.13924269554700616,-0.004125766936603607,-0.16852887430900826,-0.02164101048824433,0.16698881831189416,-0.17151927207670348,-0.12339235428712128,0.09593660255381839,-0.18234915743605856,0.17124680935373748,-0.1027273355684516,-0.1823112838271184,-0.015677489310759143,-0.032214960625463855,0.15876430189276863,-0.018651246288436597,-0.05144404757686434,0.031274288785789625,-0.07767761463917328,-0.1211461785217154,-0.05253032662716349,-0.09901635122520142,-0.08688425039814969,0.1323887505556409,0.17909262838132167,-0.025355847766566655,0.052512681376571405,-0.13347738613430907,-0.04720151951525205,-0.00362407254681011,-0.12668488761021526,0.11703194502138115,-0.18845204463949577,0.14598545675325847,-0.08139762977992294,0.25829071317828534,0.0920322698965615,-0.059329876863518594,0.3546594536394013,-0.09223958491224468,0.14029617329785615,-0.03089969325944547,0.093325023290857,0.12043981227116869,-0.07266164406247533,0.10026491855713258,-0.021663686144257167,-0.09451876745491608,-0.10037802653284605,0.05415907307872672,-0.10000911220855413,0.11402414656958049,0.2121711025593941,-0.1673000621639495,-0.11396747432960574,-0.11318907825497142,-0.0025475366846285687,-0.02680667263411986,-0.04453770207618521,-0.09793177157221442,0.04396077463651641,0.13710072207530466,-0.12107758114637109,0.06952901502793724,-0.006937746895301072,0.2693894689203289,0.1507022125309856,-0.047531894395140994,0.004274641163812637,0.06294723379731948,-0.05126055743658972,0.03249137291519346,-0.034818759730705626,0.12630196370452712,-0.1672156711904088,0.18240250543722142,-0.08532690437755727,-0.0778310777609987,-0.07650252763803646,-0.15567190324102392,-0.07512925464114796,-0.06679681119637516,-0.1299613719743275
Phaeo,-0.12536318388401568,0.11347018511890912,0.024788165954305344,-0.03502929978782471,-0.0598445899852917,-0.045692700066809554,-0.02419392447851259,0.16096307055549167,0.017919269842889492,-0.10627843515385724,-0.018033370189424355,0.07518422460785103,-0.10961512971275411,-0.0775382339667509,0.03876136410936648,-0.10728061332046698,0.33811954335718575,-0.08017294110022577,-0.10781581907620905,-0.013336106089081954,0.037743825423690286,-0.010393435958470384,-0.030712838132435832,-0.03382484752398504,0.04008363968635982,-0.059900995444213415,-0.08708414480803953,-0.046868124796351704,0.006137280335570658,-0.06123065127349572,0.2009430619565215,0.1512985156130425,-0.011746809490059532,-0.03372634280176116,-0.08667356646772983,-0.029491460787837542,-0.036621460892223484,-0.08252172101391138,-0.006372097637095207,-0.12024325047729627,0.03798570028589726,-0.0545776849500722,0.37655371345992394,0.02913106387380105,-0.0322472383429417,0.26561432914093286,-0.062057547483775406,0.3159390418790212,-0.00912088073816733,0.09251582575778597,0.10092285555442812,-0.030631496683728686,-0.00930904231173455,-0.016323136339719792,-0.06378113959249218,-0.0661737944464972,0.2045269168176432,-0.07819312113070309,0.0050977635547178254,0.13641405175480548,-0.09832190518798378,-0.08142838007403377,-0.07268374811743634,-0.02910783379974821,-0.012893223710928114,-0.024151492478098432,-0.04220767030583395,-0.010815611944043999,-0.00890818644015575,-0.0807965974317091,0.07248982142554691,-0.030750695743646916,0.1225609631249266,0.060351095161828634,-0.007408119915655377,0.07786641210591225,0.19145128734532374,-0.03146612339752341,0.0363455988461433,-0.021255628844885195,0.0862210879173125,-0.10345664989173863,0.07162728349266517,-0.06264222016138199,-0.04277459766329244,-0.0579680000701103,-0.09949127353580561,-0.048362890729604716,-0.025283684554342132,-0.05379144641048132
Chl_a_conc,-0.1914490004555806,0.13275949347074045,0.043439264893272905,0.285108593804705,-0.05551287720844543,-0.0858904368647064,0.023756125139489364,0.16061374496859054,0.0014050080836913725,-0.17034063260201027,-0.02306524621970503,0.16060025592288865,-0.1737573498732753,-0.12464389057746125,0.09106205817141629,-0.18221397351714855,0.2356082933119779,-0.10801297971897107,-0.18232758522472997,-0.01678318215750941,-0.016787823895974684,0.13044682320517262,-0.024000302087518875,-0.052372816425681534,0.03714222310512922,-0.0814782096794012,-0.12535181310404453,-0.05682823799832777,-0.08144929130461198,-0.08956771490411147,0.16572207206178313,0.1914390683748871,-0.024475646940107055,0.034917670761914245,-0.13559137391075204,-0.04763425202720577,-0.012991382349471225,-0.12876162507398342,0.0965082101271108,-0.19085854591635862,0.13286351371617955,-0.08315465084766963,0.31911671935975533,0.08516832732704611,-0.058563765240435814,0.3698711027309425,-0.0942877583971561,0.2036016432931839,-0.02841587390831678,0.10347374944525582,0.1285185478992766,-0.06931580278481156,0.08163566970866613,-0.022619647540585174,-0.09666922018505492,-0.10223765222299616,0.10102789416178501,-0.1051933652235599,0.09709950390174911,0.21516213480546503,-0.16714752346287973,-0.1177892921383699,-0.11476016276598214,-0.01004642453778751,-0.026004959177017527,-0.043947428276917846,-0.09367313608737587,0.03396334376132509,0.11266541414063803,-0.12358604164889642,0.07805819221487376,-0.014178000026138117,0.2594289971379027,0.14289905853308152,-0.04191201541095506,0.024742836769469218,0.1048525204071507,-0.05157797668866905,0.03714832817687162,-0.03500237641314462,0.12944522686823773,-0.16847168160553327,0.17257252459960123,-0.08864393440777465,-0.07695416226903862,-0.07996666139086438,-0.15770426493843226,-0.07620440542661927,-0.06293984033318184,-0.12370659549400917
