,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
PO4,-0.022429548707027656,-0.00990537496474693,-0.03461616504568999,0.1810232522093346,0.11346073578026378,-0.08048989020994876,-0.0008429436207094505,0.08504657821467804,-0.0684386193595173,-0.08019893978078571,0.13568471174006974,-0.0941658846329527,0.012605881223246861,-0.04802279299606557,0.03931555863140496,-0.09905229455081549,-0.10234534309697002,-0.13243656588189626,0.02974411810127513,-0.005740115459319797,-0.013761328716876558,0.1517273529215562,-0.028833660372214832,-0.08915525172104682,0.04081716300870727,-0.05519258814683006,0.11662985896574186,-0.05102050014452893,-0.09658880970649812,-0.1408922599140173,0.024232439572534233,-0.036855024911472245,-0.052461845973369774,0.17135870781470028,-0.027349420531344988,-0.055070871207619186,0.06922733495765412,-0.01381708903962709,0.0343122664225662,0.007629034643366981,-0.053738548619451654,-0.023189591284490534,-0.0500051086315063,-0.033770798720693884,-0.015385704957263885,-0.04068786952645738,-0.006907436834756432,-0.0009629740911348428,0.0017099412075295387,0.09711907406809145,0.04957588095328559,0.046789611488196,-0.007365790300649467,-0.008132948054527843,-0.16000265027706675,-0.10053445993263198,-0.08212103762350266,0.032178981035253434,0.025697006934598733,-0.08207471788615617,-0.08299258782251842,-0.07272337305556345,-0.09281166056302373,0.09916195890169531,0.011955980869268162,-0.05360451115106144,-0.12652765748266045,0.08661155928621496,0.13637078988450374,0.11980006691683054,0.10653614731664424,0.0005770268299041281,0.005968258193121832,-0.00863780563104538,-0.029066069422015922,-0.06419070059650892,-0.11165383305799467,-0.04378724456657293,-0.015184890833265248,-0.012470928967682515,0.10669821107445578,0.08937961981389837,0.1686564474676419,-0.09838309816209495,-0.10798937568182337,0.0346740066745342,-0.08585372754334669,0.09804531024523092,-0.10073682841134779,-0.04071540231107993,0.2112581386769987,-0.08076735541947289,0.018130988269538045,-0.01927224417587374,-0.08383051683378236,-0.15507509017515708,0.0037950049877932693,-0.04811204118424066
NOx,-0.06919413118635472,0.03147054014676255,-0.04047496296198729,-0.07490217307240117,-0.05000234252909907,-0.06744248382456886,-0.06972144939654318,-0.05850615922572835,-0.055944907945911254,-0.08020523753188577,-0.05952762705616894,0.17044861092303631,-0.04640446320873445,-0.04630811376791778,-0.06235247005247612,-0.08511264683466549,0.013209313737122402,-0.06569828704623175,-0.021478711439875203,-0.009602652783707135,0.07654449577890482,-0.0391405776911741,-0.07941419195722149,-0.041608477327897506,-0.03937821574211663,-0.07060295880023544,0.0034030953562234163,-0.0748033773990393,-0.10852485444574551,-0.08206719764950102,-0.01153607840365667,-0.02067606142642711,-0.048796218381860004,-0.07838745684858037,0.01428848722581236,-0.07752050275928898,0.25712732583519454,-0.08314038277708755,0.379620537573034,-0.09821275319871069,0.25970415788857704,-0.033867720474642544,-0.006418330087019079,-0.01891290835956517,-0.09867418557209595,-0.05214763219981401,-0.04923059638879848,-0.062456909847905036,-0.022586318863235064,-0.04447998283402122,0.03519678193337652,-0.05770958529943161,-0.1175694640260815,0.05573936207229492,-0.09523870734140316,-0.07285461818548888,-0.06430671042204904,-0.012889753366516031,-0.003014907473931428,0.06274278071430461,-0.1067376571361949,-0.04883315057273698,-0.037251529917319996,0.1048896723247321,-0.014929614215429298,-0.0760594893407042,-0.07098079039923255,-0.06486212375871954,-0.05358131929653449,-0.11857068111384068,0.19385611374601547,-0.047341732956293216,-0.03181838015096798,-0.0012446064887700148,-0.020077683102882674,-0.047945827755849074,0.02412017850772677,-0.029878343617746522,0.0134433369225322,-0.03569454017587096,-0.04478623103873424,-0.03410599797260855,-0.0535842361734715,-0.06694364781040298,-0.06706656820765813,-0.018362367603539508,-0.05386804676140104,-0.0112124237396237,-0.04761187679484142,-0.043703179584417814,-0.05049382416781909,0.1483153456486563,0.02191298470882012,-0.11566436840440691,-0.0175207412064755,0.07187431579121341,0.01605111101055938,-0.0540334665199949
NH4,-0.05688931182008625,0.07226147482215733,0.006800006562983175,0.034263961961925736,-0.04208535886069642,-0.10678580180757602,-0.08663849075951591,-0.07874674514824197,0.009377656638416589,-0.08291119391917304,0.15900000987796864,0.02024570173146882,-0.07016308037106063,-0.05187137266717874,-0.041683160555614496,-0.13024716178421925,0.026969527584517847,-0.10446035724221028,-0.05338885235852332,-0.009585991973176975,0.13148316574670108,-0.07879870147714513,-0.09615639346063329,-0.07378849792626435,0.03973205511676971,-0.09430827809426538,0.27166528751548447,-0.058622044495759036,-0.14898142159932568,-0.1297585389968305,0.058574461387257366,-0.02210064819646264,-0.009838529818140675,-0.033406659973185704,0.006184106526932881,-0.0933557340040127,0.31032910628603183,-0.06899437276546894,0.12735116702139576,-0.02874683519722933,-0.016578680081417583,-0.041859315789348456,0.0061533165109800845,-0.019739088305729256,-0.12566364549049897,-0.07001123460604905,-0.06490519866414798,-0.013905387680805573,-0.03382745699722761,0.03963993219657386,0.10352039517221233,-0.01479686414552044,-0.08998045845174066,-0.0023807944720420906,-0.154867866709342,-0.11017500062212754,-0.10311590401238213,0.12593724132812428,0.0584778613310131,-0.009131419278750512,-0.1378401027305458,-0.0806000373889724,-0.10942711202361004,0.42322143045701877,0.004332500682197643,-0.07536438630095665,-0.08030468714960846,-0.07578563736340063,-0.052182600270401454,0.043042835749943505,0.3041031674901872,-0.06288650756587433,-0.05440284007000343,0.02683454668688194,-0.07687632641946344,-0.056404176135586855,0.012006366201492515,-0.020528993867687324,0.07868349564431902,-0.04562108723341944,-0.0321455652556579,-0.0436877114829335,0.15264559265791233,-0.10333336955094427,-0.10547520397386312,0.04812738076382571,-0.13214001119443242,-0.03344382413106606,-0.08194960458745315,-0.061168678769731186,-0.0007330261211026846,-0.00433682490338993,0.05604448669200009,-0.11198537230344506,-0.04361806329351507,-0.04073060547450999,0.025760356579234193,-0.08920120337719031
NO2,-0.10478053441446245,0.13352174918755952,-0.05582755435671954,-0.0736053312378566,-0.04992807289207536,-0.08801502079857022,-0.09671611003537499,-0.04563142943762715,-0.04771717451101876,-0.12417370289318647,-0.0418960949251522,0.1750724964591619,0.003891020320695243,-0.08404136790761652,-0.05255463553464216,-0.08550242557759125,0.05229306332744618,-0.09677550265061054,0.03876526435359208,-0.003422128703874005,0.08162697679358105,-0.05307443887168538,-0.0955758708188232,-0.06911985995685341,-0.007499704861835023,-0.10043571292381773,0.05538142974577721,-0.10494322318243096,-0.11314016827495098,-0.11810432964359405,-0.017643396155758266,-0.045269033438688155,-0.010853207873110057,-0.10458256799183846,0.017025838763610197,-0.1013896537097393,0.2556410773851891,-0.04347807165438835,0.24435724944163778,-0.10511070689327329,0.1630211567764029,-0.03658218251845892,0.01858625637831622,-0.010780022209892402,-0.13576570220065917,-0.04963966593893916,-0.02052146640441731,-0.032906155168492254,0.002463210724305498,-0.004869846190122068,0.036204415218193245,-0.05273943994691958,-0.151242577977091,0.031231566711352,-0.11879124442824146,-0.10846092992556104,-0.09447390235585068,-0.014215234811065538,-0.003497254365833245,0.09878790661153211,-0.10873655483785413,-0.07098989841870343,-0.0422214317254828,0.15914112706199046,-0.0042136818133652,-0.11181771947181993,-0.09028405106868731,-0.07913915571096297,-0.05172693864734898,-0.17789787028428605,0.22676997939486343,-0.05598937521792826,-0.04040929924549236,-0.01393087416852986,-0.010307967941629439,-0.05317271524108643,0.05150954219103395,-0.0458129787018018,0.03200563518675683,-0.04307684772877508,-0.046514177642329735,-0.017290073133342153,-0.06231398924784011,-0.09892951823941498,-0.09991653080540515,-0.009580251173224686,-0.024786117729787546,0.011490015272689022,-0.08018757059902659,-0.04920507554598814,-0.00975072744874569,0.11971204001864508,0.11168264276786771,-0.1060951333153102,-0.00487800556050766,0.06131858385468629,0.05349479742220388,-0.04062770576608455
NO3,-0.06841970400240166,0.02967407319280024,-0.04011385989441611,-0.07473360525680361,-0.0498764997445718,-0.0669250385821765,-0.06909019303197075,-0.058574002882215565,-0.05594110018806449,-0.07926183885408229,-0.05967288273750181,0.16993760550164022,-0.04713247438189739,-0.0455557469114834,-0.06235878479777687,-0.08488975828147712,0.012518359761753414,-0.06500858880981443,-0.022437408238388468,-0.009682200503195026,0.07626445490917241,-0.03880672897079818,-0.07894050758703625,-0.04103998513886083,-0.039814316470374374,-0.06992172581181133,0.0025201821262702193,-0.07410630290986239,-0.108171386084102,-0.08125246957455257,-0.01140403324970863,-0.020209860578247748,-0.049310384654349546,-0.07774762215142458,0.01420612826679416,-0.07692199372741515,0.2564987783756634,-0.08359617401748123,0.3809307453352711,-0.09784710184453746,0.2606702481123765,-0.03373598157169641,-0.006822587822450439,-0.01900163028751982,-0.09779951266966141,-0.05205727090038931,-0.04958834686791792,-0.06279519866593872,-0.022950238021889877,-0.045033160445593065,0.03509037339089746,-0.05764650034988335,-0.11670426134483125,0.0560099036151811,-0.09460048895612545,-0.07207055220988509,-0.06363585557134907,-0.012834696925182607,-0.0029991314588902634,0.061977035451796635,-0.10643273884232005,-0.04833635899653759,-0.037073254343295926,0.10371057521816457,-0.015071906802101638,-0.07526472224610545,-0.07047570070288858,-0.06445712600292278,-0.05347632080693097,-0.11727143803148164,0.19280978209803473,-0.04707595216537224,-0.03159300945569029,-0.0010280629708629085,-0.020190975582734246,-0.04773604782561959,0.02359818901786902,-0.02953438435586402,0.0130969541708244,-0.0354796459303544,-0.044643333293476216,-0.03430215000629269,-0.053301207598912825,-0.06623550085179825,-0.06634357499015814,-0.01846340875479549,-0.05422028053090641,-0.011565774643115024,-0.046942945104104496,-0.04349955770161719,-0.051050772400500766,0.14841947044130924,0.020347383225244216,-0.1155313342117219,-0.017688856255437375,0.07186917632389316,0.015380519462365011,-0.05412161032905037
temperature,0.1633779070376685,0.04182141427663595,0.051942721035828726,0.3207066672163251,0.27604176909522327,0.0809921278962738,0.333834764259715,0.2797371382823414,0.17272999848994064,-0.10891392865140831,-0.05391316079630308,-0.04726336240802189,-0.41412877890222427,0.03268984866675779,0.27942719903009217,-0.19450433625152364,0.06614698088941151,-0.020565775557101745,-0.25541909633392196,-0.035225240878241054,-0.2508650768872067,0.228463670699733,0.32974250866552424,-0.08857623141415902,0.10735991626734903,0.16923575295941465,-0.2502722935772428,0.22521783001280454,0.021366993710722752,0.062268484578903015,0.0025679779575962024,0.023091126284560157,0.13966739815750506,0.3503773620590891,-0.2940949632584695,0.027980706685562243,-0.2655428794954203,-0.27774467268706954,-0.28925862736806396,-0.022135819607606688,-0.12605475281967887,0.051955210937674356,0.07251774690733137,0.1253943766734768,0.3857763061420607,0.2877868330755563,-0.08650981784836534,0.32331372921830415,-0.05311972243970266,0.17413064417173596,0.0455848117519234,-0.01846632516034443,0.39796238654570953,-0.0667827518647266,-0.1349432789942897,0.195578351810433,0.20603359026875812,-0.23762595033402775,0.01973506304195801,0.06268465744773666,-0.06876258563831449,0.22401726253083695,-0.23604004742145204,-0.26224238619723617,-0.022465669568085295,0.2406541708235564,-0.12567404722045636,0.2879896677341235,0.2456679083573835,0.20049604359352674,-0.16009336383723866,0.2336486468198335,0.19346825625793945,-0.05988973817010211,-0.12793356073371132,0.15804496526207884,0.043686554853344474,-0.11486501501027477,0.01441071814851092,0.14957105555308792,0.1746718347681807,0.2124987032785716,0.11592960099744905,0.22864125515760111,0.25362789141268044,-0.15157812328839287,-0.3121351677351901,-0.17132092367889995,0.03374654008265369,0.11266294345765582,0.25688698314092717,-0.024501118415871187,0.10194138777985545,-0.028546255705966243,-0.4037940948576485,-0.05243230673325058,-0.09077222777321578,-0.0727282990713273
salinity,0.15172124812660703,-0.275043034048146,0.016371224183110898,0.12176612390972544,0.18292797021474422,0.11421025784971928,0.2285405644716624,0.08371039225722875,0.04812325930986364,0.10344734357747899,0.13806376454107827,-0.3294846287819677,0.12498379321887325,0.05733817539154754,0.11444429212790325,0.17844295935556614,-0.06795033957403124,0.022948612106040482,0.17994457149084933,-0.0066988515236586135,-0.137847980112732,0.0734478346037333,0.19522939592716487,-0.018178120017618128,0.05613147018906545,0.2270064709149689,0.03205669424788888,0.1415957392721899,0.20942415175159246,0.12175340460886869,0.00710589129057726,-0.15217496409996994,0.08345375730562005,0.24799775784225317,-0.03462161482448209,0.2430603996166787,-0.3758018252621402,0.009802909102014765,-0.5252925324138089,0.35547741136719363,-0.3761459335486156,0.10891382011676885,-0.2633719569690877,0.04358843217263837,0.2606428293605566,0.0696997234028487,0.17876288410588304,0.18909274572265833,0.04643810498847898,0.08794184058211213,-0.3760476798437934,0.2696120374295823,0.3107408428974724,-0.06874829110210104,0.03231256793956877,0.15029499634515692,0.1396644250378758,0.03513522057962126,0.009066962425677845,-0.2453538072418867,0.11533651005270584,0.12424533192957884,0.03688739332193317,-0.3190468079598584,0.056100823285580075,0.20741660658676922,0.09732896467768996,0.1359287832489246,0.14411766609544732,0.24192946040996866,-0.49787466630867794,0.14055469079083677,0.02060862664867364,-0.22195061040447284,0.04392708863873363,0.10952879311469355,-0.035326352402741026,0.024298648247890683,-0.09058421349286597,0.11337930747010513,0.08378379636497438,-0.27492431308577736,0.10968471422360676,0.13898672872905726,0.1455983750354728,0.04930158664413826,0.019806206073293496,0.056352861907557554,0.005521169679299118,0.13125587249515025,0.1811630125885559,-0.4027014125090206,-0.3651766754249882,0.21119008452276147,-0.04022420463927867,-0.04848426145080133,-0.15485034445021909,0.08825795010369916
Chl_a,-0.07903594675178638,0.1152855066502031,-0.03506287214719687,0.18465593481025594,0.08567953829953023,-0.08634822323112906,-0.04162045897653935,0.34076990702599513,-0.002401203568145431,-0.180788749214494,-0.018886467761805935,0.15592914822610215,-0.18278715124126999,-0.05587658631976297,0.09846963902627909,-0.1875264522084243,0.06386071626868398,-0.12986514431411325,-0.12697588451250552,-0.01568551182906398,-0.030790744605464035,0.15898061488117382,0.018825023954204344,-0.07687655030170007,0.04500498489557256,-0.07720424418206329,-0.10575045051757948,-0.05527530938872409,-0.12605393752083824,-0.09768272684994975,0.12804710651462167,0.1789840259972048,0.17880358199832108,0.09471992406380736,-0.13146767390858594,-0.10448717665569948,-0.0014547100423661702,-0.14375125042722886,0.11556859569282427,-0.1830490261117381,0.13954920179734168,-0.044684709239820736,0.15922789994667255,0.06123703706805215,-0.04033808225662897,0.1754265112192825,-0.09788140696592955,0.14027527139714333,-0.03093629711799354,0.08594716899918331,0.11645141309520111,-0.062310304234921225,-0.06017494570036934,-0.02062649299586109,-0.13894254415265261,-0.0979449597625128,-0.08977160046747501,-0.09649110818624082,-0.02771499428248194,0.22718639612175073,-0.1655494531751997,-0.06548332214661927,-0.10459792997522999,-0.00044824012410643317,-0.02656931900475023,-0.09677886364666946,-0.08758560757735363,0.3667219646082529,0.13296921296041148,-0.10282150921742261,0.050125260203933,-0.006755070554881776,0.08335379177567727,0.15343198438107067,-0.04684132256075218,2.864324708444499e-05,0.006445112687939668,-0.051133745417383754,0.03185589456069309,-0.03403222467664894,0.12444942051720517,0.06965394899437875,0.12259848716553126,-0.08770140027870374,-0.07537852712917831,-0.06871149684268746,-0.15429192439589012,-0.07521650358822285,-0.07775839644943014,-0.04650454929203155,0.03959333837515852,0.2608142270098395,0.25372077058494164,-0.1849438627239171,-0.17712387848504588,-0.05873185795808899,0.11399024048604565,-0.06598990652521132
Phaeo,-0.0449215571314366,0.10637733335112723,-0.01887985975132105,0.09083837525640401,-0.0011075162520411172,-0.04536987360775082,-0.047538579351484984,0.2944814982346417,0.015925514301986788,-0.11409194899008428,-0.01613931526584596,0.06724889574239494,-0.11527337664541863,-0.04129008936605311,0.04951684251577707,-0.11095892761411333,0.19258857301004217,-0.08380056405390268,-0.06881255103851913,-0.013421730672322933,0.039383051181354975,-0.010447577738410933,0.03524619043382078,-0.04596967260312039,0.06052525980121461,-0.059453078533165775,-0.07074516927887262,-0.048183162455764594,-0.05172344487203735,-0.06517753406953744,0.19095626880556832,0.15132582944147396,0.48160998649975495,-0.03468862189810739,-0.08460043833142802,-0.06911852506788742,-0.03574049789203005,-0.08929012893278088,-0.007325856825679567,-0.12079516748542993,0.037261976544704256,-0.024201825027239818,0.12170780881174013,0.1216675582718105,-0.057579093710771315,0.18934674080114003,0.008041519175099293,0.30597995788687943,-0.009082002997076084,0.09807601583321998,0.09803925200798744,-0.025334805394470958,-0.06030709013312272,-0.01564295133726443,-0.0820613145310366,-0.06489308697814879,-0.06043004218742687,-0.07723975932253604,-0.019348558327673657,0.12625172533584383,-0.09733143532477759,-0.03938598247078687,-0.06672335230568281,-0.02825570399886554,-0.012806014455985629,-0.07171510735922207,-0.02037432311821879,-0.029322186702031357,-0.0011293789159339289,-0.08535982209455242,0.030561332838186114,-0.030422370654406273,0.02478905978260775,0.06259079025878475,-0.006050137579690334,0.0791300348950733,0.05760172383522856,-0.030612050940885194,0.0365405680550079,-0.01965103082307298,0.08384239524788098,0.07169502860559474,0.002765652100657167,-0.06475520905326623,-0.03850436322608498,-0.05345771360677423,-0.0962307278822596,-0.04846255577324246,-0.053884197365723724,-0.029565856968923335,-0.011404519791232222,0.11713289307167053,0.3487610826167,-0.124138997399615,-0.11395173353889687,-0.028360688379582204,0.0017895521522188849,-0.024818845533339302
Chl_a_conc,-0.07854883962882397,0.12567376482554982,-0.03456184558376445,0.1796833400253042,0.07162053353527384,-0.08480873443775544,-0.04785238610432617,0.3660544692498212,0.002310987368890665,-0.18275462115612384,-0.02023844488152547,0.14916065306826648,-0.18475309493631492,-0.05812173684659798,0.09611037703300716,-0.18755923423312165,0.10592829475752187,-0.13177864112401474,-0.1252814128655762,-0.016813178776119767,-0.015146961628314522,0.13061369228172431,0.025377787891880915,-0.07702094147899334,0.0542216340836076,-0.08095916213853856,-0.10798933402342188,-0.059489708141086096,-0.11986477220551407,-0.09970449204663648,0.1593644004130974,0.19135532554719056,0.2809348434868773,0.07008599370699602,-0.13334115055136475,-0.10648698852340277,-0.010931029999551365,-0.14492636029797734,0.09502072472444648,-0.18647306875619102,0.12726414986244844,-0.04408450380442874,0.16672499936403684,0.08445822699474753,-0.0495037172051527,0.19869851453513557,-0.07997925230057684,0.20087843228777436,-0.028436037816347,0.09879118698681268,0.1243871796766639,-0.05918764918446652,-0.06689638438010008,-0.02156421179522774,-0.13892590816357456,-0.09984733846892596,-0.09177391653478326,-0.10198126226035142,-0.028521199081633378,0.2250054437248394,-0.16540893205089546,-0.06566855283124237,-0.10592924137583773,-0.008052720540753878,-0.025782026104255115,-0.10072188377482374,-0.0790566792154967,0.29986885310122313,0.11131066011964205,-0.10950119350015883,0.05037916964454831,-0.01393545845449726,0.07670378087173613,0.1457989694953979,-0.04096339903487229,0.021521944854371606,0.021059308759394282,-0.05123949487425522,0.03666786155868706,-0.03390620615944442,0.1272439196943958,0.07794713688904442,0.10366342354089067,-0.09121119506806746,-0.07373530416372612,-0.07220134047009535,-0.15566005921615045,-0.07630472106089417,-0.07991138729610214,-0.047069410630351735,0.03013722155533656,0.25075604920280237,0.3077299515898083,-0.18897208472216603,-0.17964014891475233,-0.057005883411039716,0.09617227360224788,-0.062136218953631125
