,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
PO4,-0.08506048903907842,0.051204382502426024,-0.05273462711985768,-0.039397284934187406,-0.11014484473935438,0.151628943508668,0.10291023136976928,0.06675489162463327,0.0703392566701779,0.06724441826160497,0.012420067998131083,-0.012785703359726504,-0.08083860528480019,-0.09118433985900841,-0.06856495229009343,-0.06490299441390382,0.03373114437778969,0.0995167670561794,-0.10040327935457323,-0.14966249899178635,-0.022469576209269235,-0.14104071898253429,-0.025409118289083363,-0.02511455318597356,-0.005981776103305315,0.16632871303555521,0.005237832843851797,-0.00409701799425065,0.022727601053779672,-0.11251848840571343,-0.04343814227290069,0.12469556986207452,-0.02370201925270879,-0.06470327523182125,-0.026790339269108877
NOx,-0.04356194591161825,-0.042446063726232025,-0.029905589637095123,-0.03424367518434089,-0.09131955266160247,-0.04345063115897793,-0.07429344433999513,0.06845692428943187,-0.0364504806233455,0.1121330798648709,0.3551587217525681,-0.02301442982668607,-0.06606085632954142,-0.03666234089763443,-0.040712025343272853,0.12153777290687064,0.2149364183837087,-0.051396281874496144,-0.07637989292594653,-0.08624464789027272,-0.047752767212590315,-0.10638628619571747,-0.06878302820514061,0.007525877680802423,-0.03628888098889597,-0.03932511618985086,-0.013375141683231461,-0.041773815330574116,-0.02016239868420984,-0.0733734908403386,-0.03539007083290227,-0.030789210871582283,-0.0460286213442105,-0.01757897506948526,-0.08326168856185409
NH4,-0.056770014552937474,-0.04997488820315897,-0.048328354893028606,-0.05521253660277779,-0.13150101384075896,-0.017120632170947052,0.08139981560304799,0.24137286388486218,-0.05288784193801296,0.2680152078137158,0.1054697431005589,-0.06679008307750928,-0.09749738079377929,-0.07278823439255774,-0.07279890998649224,-7.985347216567327e-05,0.30822572041698115,-0.0027872721936472488,-0.12130542650773198,-0.12399789919780306,-0.08274428241738695,-0.15755916136321996,-0.10307715390274734,0.05641915738184884,-0.03186472840433559,-0.04589515818444399,0.04897325575629559,0.04246149318337513,-0.004239431370024593,-0.1257541108641773,-0.019005656260587474,0.015018356860540235,-0.028349043967851276,-0.05481745893354444,-0.09528965125229344
NO2,-0.06396566027799455,-0.047928237660608705,-0.04351792282808348,-0.04077636449286357,-0.12194916429208946,-0.06518314319856637,-0.0951913074357446,0.10688936018201954,-0.03380314306953409,0.14121667294509388,0.2598517285957028,0.025806017645258035,-0.09006664635306066,-0.06645839459815982,-0.06889474233435028,0.12511537811785256,0.2143010805701891,-0.03597025423656301,-0.08353546876813012,-0.08303124966434189,-0.06866490600922875,-0.14705057957355136,-0.03749307872703221,0.026167636787480332,-0.0669502688957673,-0.05527667698143873,0.022348594776965346,-0.02670804797624924,0.017126335218189122,-0.08606569095598832,-0.03793826172510302,0.030468307940167486,-0.02161102601741102,-0.021819632546735645,-0.1040163528896065
NO3,-0.04310200147963701,-0.04224162813091534,-0.029596519941825217,-0.03404303132465512,-0.09056090638258468,-0.04296848721399733,-0.07374430678732286,0.06762633356333092,-0.03639942096404061,0.11134585981642359,0.3558378395402553,-0.023780271998293096,-0.06548076455396819,-0.03606156131000876,-0.04012790305979548,0.12115755169084669,0.21438185539540683,-0.051522214657522006,-0.07605788058754465,-0.08607220318600728,-0.047273194251849296,-0.10541815697099038,-0.0691317564458141,0.007190538142051272,-0.03567443632411769,-0.03895167599929899,-0.013944651356974818,-0.04191895868981785,-0.020740547178632038,-0.07296566850533787,-0.035253856565300966,-0.03174512390659451,-0.04632087037668188,-0.01746095879933133,-0.08269138698626739
temperature,-0.13974556765358992,0.2507540554344543,-0.003331480769632407,0.04815352652600077,0.19500007838131542,0.21466036798522803,0.06092875496680138,-0.19206764115124292,0.17542208397944137,-0.27033836360603714,-0.26764005496954923,-0.1957658670941395,0.29010553491133645,-0.037239340667087936,-0.05642161759517454,-0.0659747879142892,-0.11133648929876375,0.22862560434210932,0.01688898270608527,-0.22697673697328924,0.25285539780147515,0.2421092607856639,-0.09209387421501825,-0.048553974650107,0.08891693854290683,0.24878140009696426,-0.16211923297256486,0.03682598203330112,0.07155716169301567,-0.04106997451200534,0.11981452620178304,0.1047436687539764,-0.14112966756633843,-0.14174652363461135,0.3074233828162247
salinity,0.018539896625202064,0.14163085077818968,0.0009412977618026208,0.06502579335682783,0.21835944334000035,0.08867692619620987,0.22395646945584757,-0.053869068046510066,0.08750765436588505,-0.35162418418949065,-0.4687881446692928,0.012618639551983475,0.19921934677674832,-0.003941123387832934,0.06717413075689205,-0.18603697865938235,-0.5447459266981487,0.15769441677068177,0.1127327746151281,0.04641140080237634,0.0837100776426312,0.22691066841519186,0.16852401082685262,-0.04391881712217813,0.11689657691919056,0.13360119754378158,0.006569388742320064,0.041874897734771196,0.04234931940631534,0.09982355721460359,0.0479015760611612,0.07226075069413299,0.06676028712718497,0.0023352817080569003,0.25699677220214845
Chl_a,-0.08619412325092811,0.07786736592221977,-0.04213239392145104,-0.047197387615994985,-0.11294914979029952,0.5686098396496212,-0.03023009927433645,-0.07494414079053605,0.05303355353382505,0.10580843286957271,0.14350302856366698,-0.07869342199884355,-0.0828936782964787,-0.06374151640290793,-0.08833341597101227,0.09601784497366038,0.1323413843061405,0.04024355154171379,-0.11183047685996311,-0.1666873439279139,0.16621245161942472,-0.1448106171913719,-0.10251428673846814,-0.016985673301374814,-0.04409279366652954,0.08901841683797546,-0.04446440495092438,0.22587660804627394,0.0036549712112005943,-0.11392542165488032,-0.012358941431373144,0.08889525178859223,-0.12446173803959108,-0.04844110299100712,-0.08125962675087789
Phaeo,-0.057602114583253455,0.009173797423174031,-0.024511087229439565,-0.02305036414046722,-0.06327530102502617,-0.0022476778085230176,-0.03452463394457751,-0.05086831921929356,0.048684208890097586,-0.001586405056704529,0.016605789665839952,-0.05125487023288795,-0.06468227146309781,-0.04112263132309284,-0.042534407899148724,0.08517833223587937,0.06200190086712475,0.07221654724656579,-0.05177354273774383,-0.08375812382403591,0.027944859056646003,-0.088334732301865,-0.041225998155200796,-0.008972583411952385,-0.035675689882180554,-0.019241585740855528,0.015329352184490115,0.5282118966266274,0.01863495931907365,-0.06877524750677184,0.013583308704782002,0.036045091460419953,-0.08133065233532465,-0.014914279465907124,-0.05328590442034757
Chl_a_conc,-0.08798241562954914,0.06784507232080375,-0.04201679853559778,-0.045871265072809995,-0.11197830462644079,0.47662568185944554,-0.03474592401726727,-0.07671199293483452,0.057729368103859736,0.08837461360235398,0.12495112551065526,-0.07996372755580415,-0.08713466083550456,-0.06466356538306517,-0.08568692896169111,0.10371465580602535,0.12790852702071184,0.053383896935943836,-0.10791658079112446,-0.1626421804651737,0.14708985937347757,-0.1455235634656274,-0.09723373274939592,-0.016692253874870985,-0.04669344579178658,0.06948918167115377,-0.03315706817414235,0.332992619836788,0.008127167054443045,-0.11429097147439418,-0.00668492093734284,0.0843965787417783,-0.12654302507665693,-0.04470610781829261,-0.08266899273828951
