,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
PO4,-0.08505395356105203,0.07033744867574025,-0.05273869116766966,-0.0377037510623814,-0.11009675736901095,0.15163292556589303,0.10297894532880211,0.06675346295561171,-0.02730215373940468,0.06724304395780395,0.012421768648423644,-0.012774652100140081,-0.08039280065734314,-0.09116997550799985,-0.06855765257657662,-0.06489870482011109,0.03373149008024888,0.09951725824346427,-0.10037879722823892,-0.14903948076546014,-0.02266311122757652,-0.14095515732217836,-0.02539936265342062,-0.02511236388645137,-0.005971617203822756,0.16632818827577073,0.0053530605370569195,-0.004092791692072589,0.02272929946894667,-0.11250651472461867,-0.04329678992236108,0.12469876750910616,-0.023407953953282448,-0.06467375413215176,-0.026749038893337906,0.05120665721706546
NOx,-0.043558367289001115,-0.03644965975255954,-0.02990756286457373,-0.032890684321388974,-0.09128386710554562,-0.043445379438112386,-0.07428307244823384,0.06846432105411407,-0.024761182085723983,0.11214188979927034,0.35515788632681106,-0.023014500031514354,-0.06565324226103286,-0.03665616108142744,-0.040709133327975565,0.12153886349099693,0.2149369541508067,-0.05139517723665539,-0.07636026526239091,-0.08538379323752943,-0.04752295504411308,-0.1062873204328138,-0.0687724585690746,0.007525941857544138,-0.03628020648105111,-0.039324750062100136,-0.013231581791913336,-0.041773502216175804,-0.02016233204646322,-0.0733780559831031,-0.03526605812422623,-0.030786624767048812,-0.045699796268860726,-0.01758197978331405,-0.08323502425008272,-0.04244310069247294
NH4,-0.05676422803334438,-0.05288740507991577,-0.048332473145643484,-0.05290177366046203,-0.13145306460761927,-0.0171166219596163,0.08146745798639293,0.24137289960356145,-0.03525296170403093,0.2680195562546831,0.1054673653006025,-0.06677982016159532,-0.0968394909294088,-0.07277789397743117,-0.07278031375200641,-7.815422108054058e-05,0.30822638790068246,-0.002785195961275022,-0.12127135510973588,-0.12280370272856728,-0.0824539200513429,-0.15740669071965674,-0.1030641814611336,0.0564178820652577,-0.03185123170986897,-0.045895346257093156,0.04923247555182107,0.04246941736636166,-0.004238063808064864,-0.12573965014748764,-0.01878328241588715,0.015022010815316638,-0.02785369509195882,-0.05482747532361271,-0.09523351505741928,-0.04997229241716035
NO2,-0.06396225763788488,-0.0338007151796498,-0.043520982089867766,-0.03882564422752037,-0.12189700825499371,-0.06517729273272552,-0.0951506537519041,0.10689129133036888,-0.03195708889662427,0.14122148053836225,0.2598495728660819,0.025805376467667708,-0.08958791203979623,-0.06644929964058795,-0.06889677790348933,0.125116739446748,0.2143015425805312,-0.03596860892289782,-0.08351416818704888,-0.08180477854194726,-0.068410066725085,-0.14692243534487537,-0.037481332419083094,0.0261654086924704,-0.06693813811711063,-0.05527615526750456,0.022537127706082117,-0.026705224080983345,0.017126059004572314,-0.08605694460424299,-0.03776232048502603,0.03047146067567498,-0.021147226467578918,-0.021835708093291856,-0.10398843937412909,-0.04792446849790069
NO3,-0.043098429290550626,-0.036398629453962605,-0.02959846959631702,-0.032703716688811835,-0.0905255934777498,-0.04296325944083394,-0.07373447474905007,0.0676338033887156,-0.02457425255428497,0.11135471432610014,0.35583702866031763,-0.023780332353731344,-0.06507542641373198,-0.036055447091715126,-0.04012493524273978,0.1211586348237202,0.21438239100181722,-0.051521122076965804,-0.07603833286502493,-0.08521980143475513,-0.04704441015511068,-0.10531994540187242,-0.06912123452687093,0.007190640950816768,-0.03566584313521335,-0.03895131346809867,-0.013802230300662424,-0.04191868889843896,-0.020740474912777893,-0.07297044696201241,-0.03513104901363712,-0.031742554195177915,-0.045995194849519236,-0.01746373436294741,-0.08266481395092642,-0.042238686535591034
temperature,-0.1397375807933785,0.17541323642843565,-0.0033276003477055436,0.04163026064194336,0.19483901761944855,0.21465439542190007,0.0607293856013087,-0.19206497076613083,0.070914220968224,-0.270342462239927,-0.26763206910989296,-0.19573878381143694,0.2887646693384074,-0.03722534256485062,-0.05639800265642425,-0.06597207674841729,-0.11133862388320917,0.22861440263041743,0.01684077063397777,-0.2336465441575612,0.25151695720484035,0.24146144321644145,-0.09209755598027888,-0.04854571409163116,0.08889636423123766,0.24878037910063053,-0.1630064423854951,0.036826473784181774,0.0715555911002609,-0.041066559575648476,0.11913633788956648,0.10473631146865203,-0.14241485079069666,-0.14156207220945868,0.3073527379907691,0.25073934379440593
salinity,0.018536839983803427,0.0875021711381206,0.0009434747983714366,0.0612814649082955,0.2182743690990197,0.08866070164177514,0.22390378095664296,-0.05389027002724029,0.05684917660942896,-0.3516387968245078,-0.46878503740583577,0.012625566388812164,0.19835621626346545,-0.003937620292737444,0.06717204632171352,-0.18603646800651547,-0.5447472376858682,0.15768871019235992,0.11268309796664967,0.04286791119196755,0.08291955746769793,0.22649846965525583,0.1685032681933694,-0.043917265221788335,0.11686591303097921,0.1335997349901179,0.006013606672583748,0.041882961054114244,0.04234908779292429,0.0998514538975428,0.0474509998817325,0.07225379030069223,0.06585524799537844,0.0023859833394785468,0.25692333191766226,0.14162146107549617
Chl_a,-0.08618942002605125,0.05303275768091806,-0.042135758233505155,-0.04540765392929061,-0.11288761014886084,0.5686385376268019,-0.03024852360319407,-0.07493577749301646,-0.035813937717417664,0.10581370329505738,0.14350484596944602,-0.07868911989640195,-0.08227143875901563,-0.063732957755776,-0.08832902233745922,0.09601907171520288,0.1323419908038595,0.0402424391849385,-0.11179561114331799,-0.16566504201359647,0.16606491883888108,-0.14468381933796767,-0.10249690820278448,-0.016983027323287155,-0.044080305535557765,0.08901855113039894,-0.04424437911804925,0.2258675333168424,0.003654833394299336,-0.11394984126175318,-0.012174277313092906,0.0888992031174194,-0.12404813282027019,-0.04841663916712381,-0.08121232349566859,0.07787019665425703
Phaeo,-0.0576003703126149,0.04868637372723887,-0.024513953205633585,-0.021319009940182286,-0.06322443833033191,-0.00222853504045069,-0.03453894823174895,-0.05086227660816138,-0.027440889872347576,-0.0015863766146604168,0.016606612795847745,-0.05125575412141016,-0.06412166018342333,-0.0411195554048634,-0.04253710225132144,0.08518203407198437,0.06200224373022062,0.07221625396648337,-0.051747916892277424,-0.08265089245781257,0.027923381998841205,-0.0881962018572629,-0.04121780770726627,-0.008971964054257688,-0.03566869742607673,-0.01924139852227759,0.01549817229492884,0.5282068640452225,0.018635649349938326,-0.06879464258843211,0.013750859196403831,0.03604781648497592,-0.08094600720468256,-0.014912039982422336,-0.053267351532599136,0.00917417181200982
Chl_a_conc,-0.0879779946155354,0.05772928791252301,-0.042020400347987555,-0.04389905987003438,-0.11191284459712614,0.47665496557062537,-0.03476527405385969,-0.0767033329774525,-0.03750916386502624,0.08837904480851344,0.1249528743510809,-0.07996035677103962,-0.08646020293139284,-0.06465554694874034,-0.08568397290978193,0.10371669049164517,0.12790912914610736,0.053382883703704864,-0.10788036027095288,-0.1614835373338679,0.14696020347723757,-0.14537952953618902,-0.09721692312090945,-0.0166898649370148,-0.04668106595889662,0.06948934521451142,-0.032926563838170775,0.33298363700352274,0.008127238733138396,-0.11431673284167375,-0.006484440506054201,0.08440063496962276,-0.1260914507819918,-0.0446849672200522,-0.08262425371861815,0.06784754981222255
f0,-0.12741288697274825,0.1622945339382474,-0.062150384169823686,-0.06771344265934676,-0.17648673449361557,0.15321701713964048,-0.03800436288595815,-0.11161243449037088,-0.06062289022494149,0.08730169529048504,0.2627144718591491,-0.11464710460185937,-0.13484677781264354,-0.10048729730444778,-0.12260987658588535,0.13286914399683847,0.21053963030109818,0.13558725736461236,-0.16022817378583343,-0.24133897532778864,0.2387570377504365,-0.22558550304543257,-0.13424874187705235,-0.0016351258193333447,-0.06941503177086925,0.1977904311587407,-0.040182777898567675,0.16302658587432334,0.04130722643867352,-0.17441769633999876,0.0313677709645511,0.14033580896565068,-0.19800005004731058,-0.05107921222531826,-0.0999796768963268,0.1598127833676999
fa,-0.12868079075746758,0.17228514739380707,-0.06118507036230912,-0.06446522931201625,-0.17349831794615397,0.1280001337065509,-0.040763088636949656,-0.1130856682811439,-0.06276944143955754,0.07122929728256791,0.2394803690206166,-0.11518464188504539,-0.14062156033412115,-0.1008699522221923,-0.11659419459452187,0.13857489070272697,0.20565085668332295,0.14754791214570806,-0.15182737106369787,-0.23255003887934378,0.2174034795601622,-0.22432166006203913,-0.12359742737141183,-0.00048553434541444935,-0.07292189292581963,0.16825383171357036,-0.023041271980627574,0.20309084325529625,0.05031909724001397,-0.17309608721855285,0.03775970232829324,0.1325859058220306,-0.19950852367545835,-0.04393217377526085,-0.0999197706400104,0.15175242281575646
