,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
PO4,0.05675101686287781,0.08188039452022064,-0.052723599767857635,-0.03716271541873603,-0.11066578769788102,0.15095882920894738,0.11864077058996012,0.06637918495215839,-0.02750563180318275,0.06197308337712205,0.010855460576065741,-0.013297643607793537,-0.08013033080632952,-0.15501190580882812,-0.06872425498791057,-0.06468513997406457,0.03371509640275062,0.09599503503963254,-0.1006414254884648,-0.08501910531341308,-0.022752713462565004,-0.14140369714577786,-0.025418494294373158,-0.026186014784482278,0.046355829010705174,0.16590503307572785,0.07055544317230356,0.004189241799296715,0.039065976370015285,-0.11251751733628614,-0.04472961265038099,0.12421807577410471,-0.03336599319309767,0.02246724413111928,-0.02833709266236535,0.018777529937568083,-0.005190010062361944,0.05064812534428137,-0.030456122446893934,-0.04219890873257447,-0.06440518129398418,-0.018189059020275025,-0.09117346484801452
NOx,0.05260370058760452,-0.042684354719754375,-0.029920519414530312,-0.03136452414176334,-0.09115194015733491,-0.043277470819165165,-0.0906004374739982,0.06884453889777778,-0.024427827188294615,0.12204639526398266,0.3561663423922844,-0.023231037970389095,-0.06415663410331753,-0.08319478313108071,-0.04062034650407807,0.12236531259961396,0.21486570105279426,-0.050363945522750975,-0.07631231754024861,-0.04353859311658134,-0.047468102560601355,-0.10611360575853226,-0.06854022902093099,0.006807881832502532,-0.0348440839197804,-0.039110684785044966,-0.00024465880684308976,-0.040458192727117814,-0.02176231588023861,-0.07334061051843352,-0.03454950795030877,-0.030683430390601632,-0.04692187942943398,-0.01954942537921515,-0.08194833925888051,-0.01749519610290537,-0.03204031317554798,-0.042314092277531676,-0.020820721629102375,-0.014088773833878422,-0.017619311010594853,-0.03900530571131908,-0.036690740416854856
NH4,0.17305409914972592,-0.05010615214522209,-0.0483231752529651,-0.05221051263954724,-0.13199757375411172,-0.017109565265383393,0.09095134021556109,0.23830396191097752,-0.0359632363158274,0.2689822086642437,0.10195067854858705,-0.06804362415588527,-0.09469181327921875,-0.1364837876660266,-0.0729504833095269,-0.0015077836612759393,0.3082380861808993,-0.004252126156883107,-0.12141636400765432,-0.05672982363221092,-0.08243707152989718,-0.1577187443994432,-0.1029865172701783,0.05278915874654044,0.030647401484412407,-0.04625139875457793,0.09361638215435017,0.0436553339296958,-0.034998473468669994,-0.12593842387733672,-0.018669133327287122,0.014470905375891931,-0.04463762759746881,-0.003831999638050787,-0.0949375665944987,0.02510303564407035,-0.029091857449020698,-0.05002359376919795,0.006607296209620722,0.023510689439749252,-0.05520884225291332,-0.055319490403055706,-0.07277239536037058
NO2,0.11467756319989122,-0.036659004949407666,-0.04351291231756979,-0.03623381211782037,-0.12162146862193277,-0.065085329303948,-0.13775900079663905,0.1054649503716042,-0.031311909886474025,0.14610741995707843,0.25852863853758057,0.025187516132548146,-0.08743561149758663,-0.08368490921928406,-0.0687461192298605,0.12512229167915911,0.21427239381462498,-0.03493334566626842,-0.0835422622148285,-0.06392806671827761,-0.06840725410919604,-0.14660602336000617,-0.03717106909832563,0.02396978134640302,-0.039052037944305264,-0.054904420810602095,0.050983714359847415,-0.033239136968496744,-0.02212610915590811,-0.08589199109569734,-0.037483125559564644,0.030494776611502433,-0.02524386683762244,0.01774900823636369,-0.10245521751982936,0.009045421293275104,-0.06017984166772644,-0.0479147117237998,0.009614946085476316,0.0014380608049354207,-0.02215565059976897,-0.050678258047005514,-0.06645973199187485
NO3,0.05141463274636051,-0.04267407790011558,-0.029611747976762144,-0.03119960896757988,-0.09039644442133456,-0.042794506939634144,-0.0895639003711547,0.0680436004528683,-0.02424705261714901,0.12131811760362998,0.3568822614433665,-0.02398950766034451,-0.06359385334726321,-0.08296767125513631,-0.040037429234664926,0.12199680539363328,0.2143106126193826,-0.05049267090882327,-0.07598922410980116,-0.04307895115672786,-0.046988821074138626,-0.10514910303344766,-0.06889093664149032,0.006499480020989091,-0.03468121121143314,-0.038740480051245134,-0.001111147594677064,-0.040473976689340246,-0.02169891964722419,-0.07293525828770599,-0.03440898045793706,-0.031638279150317916,-0.047165406688836384,-0.020129350276731836,-0.08138568622690019,-0.01789842857992889,-0.031479729927618924,-0.04210799888512237,-0.021281138167633246,-0.014314537681000866,-0.01749618369932982,-0.038705129810889145,-0.03609034420905101
temperature,-0.22225755603545697,0.18521518260271852,-0.00334613756694308,0.04139317545789098,0.1949609902173951,0.21453180214025447,0.05152715370995188,-0.18545651976322342,0.0717042977634782,-0.2761858837274951,-0.2637953962616112,-0.19444784299355244,0.28443682004976356,-0.21950308936628854,-0.05647667693379335,-0.06413671235372484,-0.11131225606005146,0.2270195011615581,0.016924977998296308,-0.13971658894588412,0.2514603381638135,0.24153321872926675,-0.09220339710240714,-0.044376152256002825,0.09809481462080943,0.24852394232809275,-0.07052775554861611,0.034246887428222364,0.17371042790954985,-0.04111189569843513,0.11692523776457883,0.10477585378083472,-0.1296999764525326,0.07056902039917318,0.30614409552682803,-0.06223844348988597,0.08000876875481797,0.25053817012243507,0.1260665694065914,-0.21588679448987713,-0.14048196772235982,0.1273510000225312,-0.03729250524368309
salinity,-0.048534812884681075,0.09113156752488531,0.0009878873732143164,0.05853972005404255,0.217784132447012,0.08848560291726429,0.21874409404342768,-0.05690477790901608,0.05627613398987133,-0.37075676019569437,-0.4725897065953629,0.01258328238375334,0.1900271553132014,0.026977179133878322,0.06678245083925595,-0.18610391572617346,-0.5446646439300233,0.15532463491087684,0.11140162361738047,0.018531569195626825,0.08292145926534358,0.2257624666712096,0.16758769048436822,-0.04352225720741219,0.10443235771255582,0.13275072180047703,0.019487586885154347,0.04548678774101862,0.09620174849833255,0.09983362519282998,0.04546426494330898,0.0717877965699138,0.06252859023103724,0.04149063280900975,0.2536749430396849,0.08009651332919554,0.09837710711808717,0.1414367589947949,-0.05194967493807239,-0.035582970704872124,0.0026282148516441903,0.1915583965453481,-0.0038877334105277416
Chl_a,-0.06450008414713529,0.08720175049750395,-0.04215187597034116,-0.043752798581181904,-0.11277649097279299,0.5687994309107145,-0.10069849287147517,-0.07154248371051147,-0.03502303865597936,0.11054348810255767,0.1472820050725864,-0.07822120289717083,-0.07985626069161691,-0.15546035801256736,-0.08817195052602794,0.09615697163851919,0.1322438453438834,0.040280246415788964,-0.11165462547046753,-0.08615771045846601,0.16591564741197862,-0.14437608057269052,-0.10219481329554644,-0.015548542155440222,0.02110731228231025,0.08927515381269653,-0.003330981665936577,0.21622539867856497,0.021351769117411476,-0.11391562198704352,-0.012726358528924304,0.08924916431694473,-0.11791837439936012,0.0033545446289285972,-0.08065490018641612,-0.031933993813956355,-0.0389062383188686,0.07777381930949068,0.12111513890303882,-0.06393958540089148,-0.04783461345556107,-0.06167472135761141,-0.06379700700462365
Phaeo,-0.04023631255576398,0.03004293096229193,-0.024518344743594274,-0.020163410490233874,-0.06316557007680064,-0.0022609481607922914,-0.06630550174413022,-0.04893985929695194,-0.027099625193841667,-0.0004992404253529488,0.017787426776952775,-0.05098142877479343,-0.062236484270974717,-0.07922070297580174,-0.042427949497436654,0.08196475658977614,0.0619838987283754,0.07284211996720935,-0.05157371618284129,-0.05758986510937032,0.02773179820361536,-0.08800021661664637,-0.041009507796020875,-0.008438407993443232,-0.0049255740111911125,-0.019093591931184706,0.00815303901733896,0.48982974047571304,0.041770991891431936,-0.06880336752614416,0.013359062196452522,0.036272770635153176,-0.07737515507936389,0.01849471210663599,-0.05287074173300139,-0.022513469215331615,-0.03188186721789846,0.009018279819404958,0.3045654023193325,0.01929043913829695,-0.014665759325029865,-0.04791410923578543,-0.041152692124325714
Chl_a_conc,-0.06505959101525564,0.08134558400946136,-0.042035120350133084,-0.04219638042714448,-0.11180359874316412,0.4767812033680877,-0.10251901497162,-0.07333337983101541,-0.03675270385250427,0.09264393345451472,0.12844365564663376,-0.07949315112994015,-0.08392129657295856,-0.15198739188165977,-0.0855225062317963,0.10295891404401611,0.12782177455412327,0.05358454299224139,-0.10771473370323909,-0.08794852843461998,0.14678290300609792,-0.14506803192536222,-0.09690681888665015,-0.015341032544497608,0.01637809823933914,0.06974484327332679,-0.0005820883668223465,0.31447127208105785,0.029261758343482804,-0.11429038139131178,-0.007054179909043445,0.0847554352841007,-0.11997721157375613,0.007836939895971866,-0.08204872396744908,-0.032914881651182615,-0.04131030148860964,0.06772433410942558,0.18434421353100927,-0.04842717913021197,-0.04412960414918579,-0.0647728380371082,-0.06471830055669373
f0,-0.08939934103404237,0.17414804368957412,-0.062179034886908166,-0.06523951705289346,-0.176278069333593,0.15241931270918127,-0.14874913979239407,-0.1066034759114236,-0.059507336044222155,0.09586689304697772,0.26729011727086943,-0.11388874749707076,-0.1309170648504934,-0.22655207015938772,-0.12236163160945825,0.13333671137611813,0.21046013929847787,0.13243264131783394,-0.1599451511876507,-0.12737135892882126,0.23843689989634118,-0.22513491002518055,-0.13375165125760957,0.00036325918689505336,0.04051735782043678,0.19824191280081127,-0.006230537730790884,0.14465969370720771,0.09308729140772101,-0.17442836498548425,0.02880037417761927,0.140699834772058,-0.18815653021798762,0.04055669440398335,-0.10070938296700262,-0.05190840479721392,-0.060826319001491234,0.1590802879824564,0.12570754687460928,-0.06264814062140615,-0.05027788035255526,-0.09724412641420765,-0.10057094570125072
fa,-0.08869301889148336,0.1717121329485394,-0.06121231721196554,-0.061948310338959756,-0.1732910366586277,0.12720375037180434,-0.14974424782806428,-0.10816225985051556,-0.06169703017288211,0.07901528504202011,0.24378446947856663,-0.1144271758440885,-0.1365363097917696,-0.21844162387194355,-0.11634034709215224,0.13842872772561954,0.20557341962595618,0.1446363858781557,-0.1515072916271892,-0.1286424793355947,0.21705292169270932,-0.22386693172895397,-0.1230867548756314,0.0014036204265051506,0.03783913074441064,0.16870952518574017,0.0010134700312054174,0.1783852011072551,0.10598478158937041,-0.173118593659018,0.03521458854930777,0.1329440307638174,-0.1896842780236827,0.049480339684103126,-0.10061189551450266,-0.0530718762973532,-0.06402425112314787,0.1509953127556115,0.1592670987975841,-0.04329517633150971,-0.04319011534089627,-0.10102394349516869,-0.10095078313656128
