,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
PO4,0.0034473987302739532,0.05651459088646661,-0.08730663093432635,-0.037150502618587974,-0.11066249189503777,0.08227210702627227,0.1187427014247842,0.0665342311812922,-0.024543254981412327,0.06204516186656181,-0.15670035007064612,-0.013044569463108563,-0.0801123238812817,-0.013669716736600493,-0.06950962340857905,-0.06350101263545456,0.03371931203539222,0.09596427407568855,-0.10111455220786136,-0.08497899225942085,-0.019276235930389345,-0.14137610484156715,-0.025455181042405284,-0.02618023779532342,-0.027424949486314416,0.1659186944351595,0.07057082040165541,0.004185164889575991,0.0390724383187892,-0.11075457762520276,-0.044628936521086085,0.1242183506033121,-0.03345290634722075,0.022456571123902768,-0.02866122897026067,0.01852822125447467,-0.004872336564249957,0.05063097686120485,-0.030302354316822554,-0.04186784273121834,-0.06334712187272412,-0.025887573534140555,-0.09055344234953,0.04636708223426977,0.15096703894956653,-0.029139465601159067,0.010887407682804226,-0.05206085447993801
NOx,-0.02527959090515592,0.05236758248006066,-0.02976324725526259,-0.03135062209231529,-0.09116403753550281,-0.04210042603944761,-0.09026289435483398,0.0685126916112745,-0.023985162761731807,0.11951070615463372,-0.08403777697397181,-0.023149983466728526,-0.06404745738722153,-0.011850988737667972,-0.04087186576799025,0.12259109821324679,0.21485490303059307,-0.05035930469206509,-0.076719118284163,-0.04352618133908232,-0.04546152413624893,-0.10613513017219135,-0.06854479938579647,0.00677633427657807,-0.024396500794887067,-0.039097564666604384,-0.00022767828556080096,-0.04042562200139395,-0.021772098420664007,-0.07286741463116714,-0.03444299781243878,-0.030684329475357038,-0.04718405138339837,-0.019534895854176768,-0.08211179927409552,-0.017659967784871722,-0.03170836161701997,-0.04231049699888686,-0.02081468148987788,-0.014604611931826876,-0.017389865950702618,-0.03775565327155132,-0.03648478639027269,-0.0348557769702386,-0.043278050615291434,0.039160456210053915,0.35626151586335497,-0.029759939694427858
NH4,-0.016402883431847835,0.1723488390330677,-0.0699293738155188,-0.052180033983339105,-0.1320077785173639,-0.04909762777180375,0.09096064420073123,0.2384211931232198,-0.043742884578763824,0.26839648613687966,-0.13384080248325714,-0.06784532257336585,-0.09462304844846486,-0.03737106447647305,-0.07286431069300951,0.0023885770693127042,0.30823867506931635,-0.0044224579778625005,-0.12177483628032201,-0.056707537341275004,-0.07841137825402028,-0.1577309726902093,-0.10290928773114881,0.0527264816236579,-0.03591201536359119,-0.04622771870423162,0.09366147831836416,0.043698723063059074,-0.03505350014035792,-0.12458237423696208,-0.018502659297673255,0.014480423522800798,-0.044871577794108775,-0.0038432402866185895,-0.09527490003438248,0.024916567829452126,-0.02846701115063784,-0.050031348301204454,0.006653594410332475,0.023165340193931558,-0.0546364959848295,-0.06085411539065584,-0.07226883423848128,0.030576109002583687,-0.017109639024127193,-0.018823734630532295,0.10202897298687694,-0.04780282231364766
NO2,-0.016907995711430743,0.11403757243475046,-0.056086248226491615,-0.03620843716794722,-0.1216238265318403,-0.035701258718734315,-0.13752479820712288,0.10515965436207739,-0.04015303877526089,0.1442541632634575,-0.08865178937781057,0.025353004953209454,-0.08727759908544286,0.013019981194214362,-0.06993780652979867,0.12683488488477368,0.21426776380075324,-0.03503226217307357,-0.08426875213072774,-0.06389348288404458,-0.06460858450398524,-0.1466000930282251,-0.037286775583352263,0.023922994942899574,-0.03128287864577696,-0.05488251601026316,0.051000237721368524,-0.033251107894885196,-0.022151590016548622,-0.08478194837384247,-0.03734479725021904,0.03049536036939527,-0.025625340285456655,0.01775358582661739,-0.10282297838139567,0.008737005157756026,-0.05959806675875309,-0.04792113778705878,0.009589941321092527,0.0009187748685617063,-0.02137233867394165,-0.05849030785569144,-0.06601178546311878,-0.039141884050691314,-0.06508268925664673,0.02784652805749348,0.25864506330962644,-0.043099480932369275
NO3,-0.025354805823644987,0.051185971937815926,-0.029239401048410968,-0.0311859376822075,-0.09040867483946272,-0.042098012579646266,-0.08922549582030281,0.06771217654982618,-0.023648407582951225,0.11877754636791373,-0.0837386437020996,-0.023910095545571407,-0.06348579041534498,-0.012240804600610767,-0.040272372928998185,0.12219683026444622,0.21429973859308454,-0.050486289390223094,-0.07638954358881411,-0.04306694732609878,-0.04501785463643416,-0.10517103555535588,-0.06889361380700444,0.00646827338507342,-0.02421576976759168,-0.038727543137346776,-0.00109420399663623,-0.04044073768233532,-0.021708410735719184,-0.07247408675861935,-0.03430328903853074,-0.03163920097011302,-0.047424869696366834,-0.020114690512291457,-0.08154525815710283,-0.018060335445444435,-0.031152880164053397,-0.04210424343341518,-0.02127458842415764,-0.014828960681230307,-0.01727671730878689,-0.03730537856170886,-0.035889028032552006,-0.0346915506263724,-0.04279513971244019,0.039248966501540604,0.35697682487649696,-0.029455870575893585
temperature,0.05212124179243541,-0.22090981097346926,-0.09408845575308153,0.041314051614780245,0.194941210984591,0.18081691164278957,0.050547737178973554,-0.18475280302007324,0.13482324325618186,-0.27435981398,-0.20089256758327412,-0.19418901319021403,0.2841789204552634,-0.10683146746971292,-0.054576616241148165,-0.05905803174747096,-0.11131266741647941,0.22691513450736756,0.019308602098013168,-0.13974885101027185,0.23829465264317223,0.2416327739108736,-0.09181488370068878,-0.044312549673212194,0.07182489080905324,0.2484796629196241,-0.0705823867744224,0.034194212317769535,0.17396582670524285,-0.03756585043408525,0.11617499057461603,0.1047601296647955,-0.1289838391642553,0.0705005095200115,0.3067050486021546,-0.06226455704610945,0.07845983471415191,0.2504809607949096,0.12594714763972026,-0.21523303154022258,-0.13977671598874475,0.13255125621408687,-0.03666347485959705,0.09797248298670205,0.21451431082338818,-0.08102156602612925,-0.2637090099421238,-0.0022768717139159764
salinity,0.1099326618432018,-0.04843298452815389,-0.004450387073370918,0.05844385427559712,0.2178053266692292,0.08903545888038908,0.21789534298460672,-0.056577626902757625,0.05505281105871307,-0.36753147024549937,0.025108786324193166,0.012601729460286462,0.18979283183948448,0.0214826048629431,0.06657770840984903,-0.18603433644941084,-0.5446531229032143,0.155105416169399,0.11232332249017385,0.018503093047865425,0.07716850828722649,0.22587073084126458,0.16744280340033157,-0.04347986454505381,0.05632895898388533,0.1326713919682937,0.019487359199728556,0.04528170855421341,0.09581896895496611,0.10061924141355974,0.04500934489451537,0.07176532915538741,0.06303614335998386,0.041437386939126075,0.2539762688669131,0.07965790094513181,0.09618909284259991,0.14138928465333112,-0.051421436738751866,-0.034301757152980575,0.002823793411824898,0.18086819456215336,-0.0038012456764563735,0.10438859246806843,0.08847345508511167,-0.06360271753912194,-0.47267954309671606,0.0011406291702416745
Chl_a,-0.05907252445057632,-0.06389977477820794,-0.0657722144396981,-0.04373232281503049,-0.11278847479339635,0.08687491356566213,-0.09982072380944973,-0.07113776639221103,0.02064935684088091,0.10976922796468971,-0.1525765294410616,-0.07806155338794517,-0.07972475604779514,-0.03495565103492698,-0.08837418375763226,0.1020425527363552,0.1322403455892833,0.04054016740785227,-0.11195269885563108,-0.0861248144300463,0.1694054794912713,-0.1443643420682881,-0.10213734913784422,-0.015510699250053947,-0.034908488714909675,0.08929552031497325,-0.003361997194300099,0.2163345074025985,0.021408092720384454,-0.1126230920084722,-0.012627129338965773,0.0892583823313993,-0.11783082717946373,0.0033801392664545666,-0.08064161273166015,-0.031545509003027605,-0.03847385151332934,0.07776875633509422,0.12102955122833911,-0.06378138952407306,-0.04715686021051562,-0.04693351025555513,-0.06334373767722007,0.021167995963655,0.5688042446457532,-0.029836501142557224,0.14742694710806523,-0.041694308067726366
Phaeo,-0.03893156636274463,-0.03990530769638739,-0.038132657596554216,-0.02014575556848969,-0.06316634852875888,0.030260486879869153,-0.06577444751678585,-0.04872365876326138,-0.003030738702127437,-0.0005416494711053682,-0.08042557276527508,-0.05088568785691935,-0.062199627009709865,0.0011287533986037816,-0.04310948168837224,0.08684088975469557,0.06198774026809062,0.07300513495819053,-0.05195792657633036,-0.057567498415339174,0.02894213503167832,-0.08798013952813266,-0.04106173909897345,-0.00842156201497465,-0.027026752916020497,-0.01907898504050137,0.008120674320784244,0.4898948531934414,0.04179495491203362,-0.06802304300801099,0.013467271296479788,0.03628316378967876,-0.07736749352205724,0.01850086691106032,-0.05286977602581413,-0.02219592700836743,-0.03150844837259109,0.00902784835014066,0.3045158511243865,0.019273869812419235,-0.014177418650158546,-0.03903474489980764,-0.04089651760684827,-0.004894236314451746,-0.002257571126616058,-0.012242273108655395,0.017851505980959713,-0.024245007445923193
Chl_a_conc,-0.060149974975585246,-0.06446587912538582,-0.06555613483650319,-0.04217440160438533,-0.11181386815560568,0.0811303369433741,-0.10163811534433514,-0.07293499921785838,0.01650819762743358,0.09198258020701491,-0.14989411758216764,-0.079333162401952,-0.08380091729314085,-0.029031917304837045,-0.08587728256666319,0.10922260861217037,0.1278198802079863,0.053846955319179816,-0.10806922374834663,-0.08791484596506091,0.15004054555491142,-0.14505272867517569,-0.09687277025831469,-0.015304697064173681,-0.03663677634389685,0.06976590282606236,-0.0006169070637560697,0.31458052597798436,0.02931553706192502,-0.11299369282828588,-0.006941516926259244,0.08476599381488988,-0.11990165275610183,0.007860092630077992,-0.08203730956967765,-0.03250260996482235,-0.0408460117774949,0.06772268267155444,0.18425892599778687,-0.04829890355918326,-0.04342817546422553,-0.0499896777350952,-0.06426831684408167,0.016437538667501767,0.47678616044181843,-0.02836573882974258,0.12858270394220572,-0.04157686899996789
