,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
PO4,-0.0782967232938917,0.042834358106082895,-0.08735086267299377,0.06564206869670043,-0.11065484040755694,0.0822636017834209,-0.013391323413176625,0.06636833452011057,-0.024594396115756346,0.06562847508788888,0.05472556981399583,-0.012998836397488162,-0.08080051955405113,0.0009116194678253885,-0.0694403389992103,-0.06244061993787038,0.034252902715473856,0.09550919075468745,-0.1010825125133861,-0.08495223059199872,-0.019315776682016894,-0.14180546230521887,-0.025420435801552493,-0.02424702766242031,-0.013192331641553206,0.16593324737552217,0.07057859547608825,0.00429507628822645,0.03874900336710916,-0.11072617576294075,-0.0437682436729115,0.1241179144597793,-0.033374784799185625,0.021535124746557013,-0.028669604545356303,0.018425890071698,-0.00475873685136618,0.050132254497320616,-0.02322816338656359,0.05374527066864579,-0.06329884617368167,-0.025874573546435912,-0.09055782718342989,0.1123968555725613,0.15097343837744048,-0.02944048153795216,0.010837984357445407,-0.05203807858638672,-0.04086624900990915,-0.1551720632190432,-0.027410958286720875,-0.03708451170151343,-0.023097421166694214
NOx,-0.010283596914173292,-0.0306628783399136,-0.02975213671589472,-0.05275691440998708,-0.091147116203061,-0.04207313126190867,-0.01328768400532061,0.0685250802107289,-0.02400310340055021,0.12646745170161355,0.0510523634187552,-0.023070013894455624,-0.06361478530741839,-0.023473268371470506,-0.04085655960503104,0.12363080501548325,0.21563376203492596,-0.04872882811041079,-0.07669350826337816,-0.043523953620054595,-0.04552140675124691,-0.106069995508209,-0.06851469277591157,0.007308595744386066,-0.01142178581338266,-0.03908645284377403,-0.0006850303933573329,-0.040360206752663,-0.021339014669894782,-0.07276385644917259,-0.03416085088851123,-0.030531934512116443,-0.046982484518591994,-0.01823680434052652,-0.08211717391648349,-0.017721578792756452,-0.03161880883344019,-0.04182119386528345,-0.019547778808139404,0.09708896534368362,-0.017401362789488527,-0.03775304565501988,-0.03649156769219249,-0.08565422013466659,-0.04327021234981317,0.03914058037988444,0.355222976583863,-0.029744571458488765,-0.014398523046574681,-0.08340487324205545,-0.0243753654908521,-0.03129211513460675,-0.007753334690196076
NH4,0.005254588236467069,0.029411821951665695,-0.07006414869037633,0.024112712053119843,-0.13198143480886973,-0.04913830643801985,-0.03604012044640763,0.2376954727277532,-0.043771659415422215,0.2687816051386732,0.16698822846784636,-0.06750912851544431,-0.09501176052526754,-0.018347405334587126,-0.07287246172636726,0.00037631914537826364,0.30887851108461917,-0.004396381551890514,-0.12170220682330268,-0.05670483878567076,-0.07851321308253663,-0.15803218450345183,-0.10282255134113225,0.053030128368121654,-0.03608534083953158,-0.04620665590460578,0.09476820441511849,0.043682141673753075,-0.03527628570546533,-0.1243648069373908,-0.018603233242173365,0.014340774356842351,-0.04411209624369056,-0.00459740624182459,-0.09527967170182475,0.024502708032195564,-0.028379438691600013,-0.05012280659266842,0.0083814440259419,0.2608599606358353,-0.05452634335991014,-0.060863872187137805,-0.072285745765163,0.08607368870997563,-0.017116898196479206,-0.020162340985835983,0.09917584740636476,-0.047796661877557226,0.023432184440560208,-0.13376108853184251,-0.035885682494744726,-0.05211639522056814,-0.013197439011461696
NO2,0.03326972617182221,-0.03652544387770004,-0.05608785312957683,-0.0528066738296301,-0.12160756965092968,-0.035755220979482916,0.0020702452286133527,0.10525373842136314,-0.04017661196079782,0.15401188048406012,0.11305104699618714,0.02527130150611492,-0.08687990059367584,-0.015337412887926397,-0.06997075875456267,0.12624692666028786,0.21403634696552237,-0.03361312302672173,-0.08425210613012046,-0.06390335546771952,-0.06470888355177255,-0.14662931527280226,-0.037290383587493925,0.02336000008186874,0.013033603737889799,-0.054862537669126146,0.050387941040197094,-0.033234834512532084,-0.021716749646733535,-0.08478880825392092,-0.03759821190648131,0.030597379586949344,-0.025929448584474886,0.01878384186750646,-0.10283170722763474,0.00871337842975502,-0.05945456512701901,-0.047502136039471836,0.00621879798824288,0.09073856495482303,-0.021347715902170918,-0.05847172809039812,-0.06603173845816762,-0.13482660051485001,-0.06507884743253799,0.02800846835973177,0.2567890109875364,-0.04309111179314924,0.0011362485047987615,-0.08999779436384706,-0.03124814389580995,-0.0361062645183285,0.030560383139004492
NO3,-0.010993767670457557,-0.030482995598845895,-0.029228104499827243,-0.05261731300351886,-0.09039178676580045,-0.042069414170343905,-0.013512695819539901,0.06772314972280408,-0.023666205694039034,0.1256685830800538,0.04986864838312856,-0.0238275996996886,-0.06305366434161527,-0.023549243889426315,-0.04025629016376166,0.12326135362688304,0.2150936498076066,-0.048856523957359746,-0.07636384919433682,-0.043064520646960085,-0.04507689562980048,-0.10510447504572859,-0.0688630157018961,0.007017674101608988,-0.011805696104001184,-0.03871661062214765,-0.0015477304797420844,-0.04037466267178834,-0.021276495798547682,-0.0723689319271022,-0.03401281886400892,-0.03148635413001876,-0.04721527352380487,-0.01881547959062258,-0.08155056188739195,-0.018122427358705215,-0.03106447609985262,-0.04161503726816215,-0.019932510635534233,0.09694109774597762,-0.017288795298364676,-0.03730304816094852,-0.03589556854398368,-0.08459660490324376,-0.042787254415903864,0.039226065383201905,0.3559548549991497,-0.029440424288587466,-0.014623606550141045,-0.08307390802201686,-0.02419492024785545,-0.031128323727481446,-0.008381470706384765
temperature,0.06877665335202252,0.07172195297874459,-0.09394967761034699,0.1702431460235845,0.1949034033811918,0.1807005671081699,-0.08715329886430896,-0.18421106101645526,0.134821096979514,-0.27708001560637674,-0.21593150876539335,-0.19341352020231517,0.2827809126780244,0.04540723898024943,-0.05469402386879549,-0.06286322631922128,-0.11160441111317246,0.21966445389151182,0.01948028740866278,-0.13978515808511005,0.23866579768504337,0.24098642308791335,-0.091595457555179,-0.046765586828258994,-0.10393489462901934,0.2484484487774548,-0.0709537433830374,0.03407523149216228,0.15191664640335764,-0.03679186967089827,0.11527203453248007,0.10407867688874159,-0.127441841259948,0.06624304902287816,0.30686755295898227,-0.061957617868896524,0.07847019911028189,0.2488568366047602,0.1274518786710045,-0.247560389410344,-0.13979310525803218,0.13275898795846852,-0.03673474013385795,0.032717366946973025,0.21451705671581991,-0.08018208225727652,-0.26149465879200406,-0.002301224478507547,-0.2179323380647282,-0.1992636524821852,0.07183404833827436,0.041410258885795095,0.14403782826055253
salinity,-0.09601342041844557,0.09543526883631591,-0.004382112593788234,0.11960673627172375,0.21775797416941245,0.08911747086661392,0.011862347663041192,-0.05604721135984986,0.05505918548709846,-0.3675757668463561,-0.044268018679158694,0.01249008982777134,0.18913233316886077,0.10757217663642953,0.06664337856991293,-0.18378409729467893,-0.5448503314244048,0.1525140386712788,0.11228143891430464,0.01854185960084129,0.07731564205914279,0.22572604870653729,0.1673913812560937,-0.04175844228711713,0.021118578897591243,0.13259276733665273,0.02007617913749128,0.04524300886764415,0.08574388591033118,0.10043580895744726,0.046064066520988545,0.07167275916028368,0.06288835724735345,0.03951033237220944,0.25398300925740996,0.07978205085489845,0.09601174786787589,0.14049587431728408,-0.01444506504579407,-0.334691380631703,0.00284420386901455,0.18083523979564822,-0.003775900224490464,0.21028672690699102,0.08847890102135414,-0.06334672612975811,-0.46789500515134075,0.001150642700796501,-0.03142872281801325,0.02759518071969583,0.056288846570039075,0.0583767263444669,-0.26742563992581225
Chl_a,0.04557821005722629,0.024335651323395862,-0.06570510977683913,-0.045244599699726634,-0.11276139098458887,0.08673949042082538,-0.03913646473156763,-0.07100272189504445,0.020633968407376774,0.11388522299805436,-0.06331880863078168,-0.07770105304729066,-0.0793023740722453,-0.05731159486163814,-0.0884044433111774,0.1008800038482629,0.13082015723683407,0.042775046630133866,-0.11188675145192557,-0.08613714978123305,0.16951067475197362,-0.1442980624892049,-0.10205187484484901,-0.016724915538680593,-0.033678001028223055,0.08932148960416018,-0.004583710527162799,0.21616682809590057,0.021919307883883295,-0.11236484974346117,-0.012758434441025698,0.08945516613902453,-0.11727647565946957,0.004944005694911378,-0.08063187985277252,-0.03153419686137333,-0.0383855234991763,0.07834673967301092,0.11795991614941012,0.056413525229502666,-0.04714630907173707,-0.04687354264599332,-0.06337208736353357,-0.0945993454758095,0.5687978001673307,-0.029558093135198416,0.1453675480664096,-0.041692426074452844,-0.0647491435035458,-0.15331843751763388,-0.03488984069307284,-0.043673295818289284,0.07569553612627108
Phaeo,0.06839815603820582,-0.007398439240956586,-0.03818440998584192,0.008702108610183544,-0.06314756630705903,0.03001950882178059,-0.023569195793109392,-0.048602521093013565,-0.0030021824024115736,-0.0003634191962536282,-0.03922872136699966,-0.05066139652030427,-0.06248907415548629,-0.04054871936015472,-0.043163251116754134,0.0862328627056473,0.05918945645496232,0.07243847633335801,-0.05191738090981451,-0.05758123370996108,0.028924696847533397,-0.08816997372618726,-0.04104114029162924,-0.010232285013362527,0.0019160013723921367,-0.01905961851685032,0.0082595984392435,0.48969044089657193,0.04164770706187001,-0.06788758195936859,0.012953996348149378,0.03621099556176129,-0.07712752892365268,0.01795638630139498,-0.05283320502051643,-0.022081093404659552,-0.031452586410067734,0.008879343268127948,0.3005480325947418,-0.004655378277873443,-0.01420433905153709,-0.03898957648696216,-0.04092028685686258,-0.07006943151434984,-0.00226502657522361,-0.012055059526427018,0.017076725220453032,-0.024256955895762607,0.018389630661868665,-0.08221085422954374,-0.027009187176934218,-0.020100729260079418,0.12292178887634321
Chl_a_conc,0.05682456843606795,0.018416250424688578,-0.06551386487442427,-0.0356112369818191,-0.11178603711197377,0.08095124844411737,-0.03924657520923532,-0.07278876613128765,0.016503035330123046,0.09548553811422308,-0.06379457395863923,-0.07896969651382993,-0.08352499802196087,-0.05911109131045885,-0.08591727832554587,0.10808179369306282,0.12586815568953966,0.05556884385898219,-0.10800286542563886,-0.08792892830337445,0.15012410164795376,-0.14504864151091362,-0.09679543868878109,-0.016815418044332793,-0.02774583777390096,0.06979295709263167,-0.0016045757326921296,0.31438429267851464,0.02970462252698861,-0.11274017057513963,-0.007191079897893755,0.08491156081062434,-0.11937123157717641,0.00902481962551972,-0.08201921141822152,-0.03246193741930438,-0.04075671084586897,0.06816746551731548,0.18060527797378584,0.04608406895588353,-0.04342662896355994,-0.04992708315938231,-0.06429856436010847,-0.09842191895010838,0.4767787273585184,-0.02808124018661067,0.12664388504807156,-0.041578533535944026,-0.049351220295973025,-0.1510015212854926,-0.03661635576622038,-0.042112635070311835,0.09690572784275796
