,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
PO4,-0.07710316315093338,0.02702703730687557,-0.03196505616755015,-0.011016239056845484,0.07409783874483172,0.0928109892700738,0.027156814541286056,0.06428145145868616,-0.023857370111096877,0.05030903466830379,0.047799551997348366,-0.015556460254865723,-0.08063513054423213,0.006271853735204813,-0.06979777044476515,-0.06241434561160908,0.03456244460894214,0.09439545962253984,-0.10138506378734177,-0.08489611208372438,-0.019512088526703913,-0.14021234306880953,-0.02567054456240797,-0.024699268779007102,-0.012689682356139664,0.16558458267714626,-0.032721136581963135,0.004315860951304701,-0.013685678518853411,-0.10969057841680482,-0.0436010143731025,0.1230859154490893,-0.04040882178518786,0.0215451726290428,-0.028549634426113888,0.06263359762795087,-0.0034235305607987297,0.04969813278700222,-0.023041339872509847,0.0700784477486702,-0.0630422350224231,-0.025585152076717972,-0.09077445797860922,-0.034606203482654856,0.15092501839916966,-0.14958407361543263,0.017657448523291736,-0.05837969499252311,-0.04222797477738665,-0.09868070647616493,-0.02780795011842407,-0.03646702219563312,-0.10202297404219665,-0.02547452839139193,-0.003222516670870902,0.19382807944373048,0.05561246388357852,0.043107433369656493,-0.023148557261759677,0.013963417708512582,-0.08779919187821794,-0.11077602964104695,0.0671361361451433,0.035362780929604314
NOx,-0.009603958977998494,-0.02718679953067562,-0.020544107371738514,-0.020885967867827884,-0.0249492104153409,-0.04131580528486917,-0.022816905952414007,0.06918264456898723,-0.022003229504086147,0.08052392034059012,0.05120315990724032,-0.022534048631270377,-0.063327215380901,-0.011814049608197328,-0.04084029086332809,0.12362020174051075,0.21573941839586452,-0.048332543470889555,-0.07655175201447724,-0.043470432893566543,-0.04542040975829915,-0.10513198986001052,-0.06838460852361704,0.007292650287883997,-0.011054439267371898,-0.03908485401416701,0.03672869572078512,-0.04006492526315142,-0.01179071487217611,-0.07127506916769441,-0.03396220826993335,-0.0305763539601479,-0.04494785660639512,-0.018175641440223773,-0.08197237693698711,-0.05274781279393742,-0.03042006777707896,-0.04166016442941666,-0.007703808002054885,-0.0006302709524351265,-0.01721917591238471,-0.037426310126181805,-0.03656670141934959,-0.0874501896583075,-0.043212623964506494,-0.07629217025845916,0.35565248256562315,-0.03173712843007473,-0.014049314123262418,-0.05496389541594728,-0.02399211261472179,-0.030561125947543545,-0.05638321108421483,0.1520264212211021,-0.024674938665748186,-0.06048089504027213,0.033455295186806136,-0.03067928029022529,-0.019276618706118083,-0.017911955562514237,-0.03020608472012331,-0.0909537207215991,0.12856178927127687,-0.019991247117502216
NH4,0.006265607791081444,-0.02721260801719097,-0.03432443377991986,-0.05350442568561506,0.051356696223769434,-0.049852424181184206,-0.004587212629826967,0.23097915913745393,-0.041045769933295145,0.24840579103943794,0.1588061556962433,-0.07623936787494791,-0.09481877852398488,-0.009647117243525018,-0.0730507552862843,0.0002610960018157543,0.3092793160308781,-0.005177642684688354,-0.12183971309281597,-0.05667540345703344,-0.07834666718393968,-0.1567729597836648,-0.10286939561184444,0.05236780904440647,-0.03533639469897966,-0.04645224849328936,-0.038180004160049005,0.04423243692659823,-0.03265982758629887,-0.12328106899316713,-0.018379508092862054,0.013613976889009328,-0.04811563509113906,-0.0045728670860751336,-0.09504825696597155,0.021054316154118822,-0.027145494387544763,-0.04993625042585535,-0.01311421758286381,0.09396840994789134,-0.05418368446527562,-0.06055993159791914,-0.07239417768084774,-0.04568265255970576,-0.017041621051128497,-0.12913370260911197,0.1163057794538239,-0.050092832331389975,0.013992389244743494,-0.07808902780826889,-0.0361455661798996,-0.05154718759300517,-0.08905746626313019,-0.020896969330878055,-0.027679180912645575,0.13276353377719244,0.24774465603591966,0.029576543864795312,0.008536809067209692,0.0171461778162447,-0.07415911556275452,-0.1320080700689608,0.2671833479455289,-0.03436246247874261
NO2,0.033190478772492704,-0.02516393724860549,-0.029180306230084923,0.023771510084652434,0.06854007843683999,-0.03377947327206915,0.000608707362140729,0.1046741919219547,-0.03779363634173376,0.09196865480783337,0.10531986251050454,0.02041411981586947,-0.08674245782561579,-0.0034172454302932352,-0.07025934889632923,0.12606250103725233,0.21388774456539028,-0.033304919347526704,-0.08433089080725793,-0.06387738852997991,-0.06460564605897573,-0.1452184115744562,-0.0373508008148915,0.022898123550166884,0.01320955293510115,-0.05488525831476947,0.023598634454013445,-0.0331855979310197,0.0005843478604305685,-0.08253761275548306,-0.03733492414904906,0.03011921727128103,-0.03211491631869511,0.018827289245947995,-0.10324629087813242,-0.05398021858632985,-0.057606954315306866,-0.047443401755976236,0.030662115070006213,0.0502069045288204,-0.021543370031260237,-0.05816812954205561,-0.06622609847532261,-0.1340186825526399,-0.06503086153396838,-0.07530736604834787,0.266909681338095,-0.046314566622365744,0.0009678688146080628,-0.08216642791912188,-0.03178945412054483,-0.034957195565176666,-0.08462265879655054,0.06837265780318283,-0.021221854844874537,-0.09679245559084514,0.04741709850680152,-0.03654312572874856,0.006572023528000065,0.00661085318011912,-0.058250809280661245,-0.12159361966977002,0.158076774007962,-0.02114924029400386
NO3,-0.010303071792846492,-0.027149534470856794,-0.020343889891267695,-0.021586942494960768,-0.026466064219871632,-0.04133470405942507,-0.023153414437625135,0.06839992490594,-0.02167807647152724,0.0801184068281443,0.05015246494558757,-0.023201755406677804,-0.06276430959813155,-0.011925107765427875,-0.04023490392698373,0.12325372049584447,0.2152033320618513,-0.048459790681396483,-0.07621873273557297,-0.04301067429116685,-0.04497620219961474,-0.10417694115205077,-0.06873004901213128,0.007009318769054883,-0.011436075994177806,-0.038714604346894936,0.03685434324881166,-0.04007599306766955,-0.011969173578972916,-0.07089696552395908,-0.03381579294249974,-0.03152331487025853,-0.045046857117688216,-0.01875417769150408,-0.08139667722471419,-0.052588216910954264,-0.02987987121127063,-0.04145269983622446,-0.008332957948924564,-0.0014891237946766194,-0.017100691963884147,-0.03697678036393366,-0.03596848653817572,-0.08643192621445714,-0.04272965495793381,-0.07610817920640567,0.35621919093816434,-0.031406905357723974,-0.014266554984800027,-0.054358879814377994,-0.023797025496164498,-0.0304063339104999,-0.055756910801618834,0.15304255765422237,-0.0246684892723472,-0.05970718217585014,0.03313097378714682,-0.03049933274477984,-0.01966345283304858,-0.01827993685765765,-0.0296519305138734,-0.09019586250786646,0.12772405700544096,-0.019919065818537515
temperature,0.07022086811087278,0.11505298848060448,-0.017776001645911206,-0.18446209468329117,-0.26992205065427605,0.21449718275493468,-0.04649109429281026,-0.17943981046453927,0.13274366530148937,-0.2123473066592943,-0.19633087983969844,-0.16925106132316148,0.2831154138911825,-0.02946318880987707,-0.054044785865435936,-0.06263010924320522,-0.11150247201858046,0.21995168043111948,0.02203860758971662,-0.13960849870642025,0.23859563020286884,0.24109662151674793,-0.09110294845125003,-0.04567366887762065,-0.10253512039587362,0.24854959205407912,-0.07222406506418398,0.032174206659150995,-0.07769563695952263,-0.03602435203053573,0.11510223324315028,0.10469209179839545,-0.11147772045668784,0.0663053789539057,0.3096926900852943,0.1738737591296295,0.07789413428643513,0.24873938066545695,0.14219877076932005,-0.07014362034072409,-0.13824112435561398,0.13345198053083598,-0.036408504747196396,0.042101293862896565,0.21439639808001307,-0.2239077140168995,-0.25204088158917287,0.001251672615060652,-0.2108660067551889,0.08622788342244159,0.07383538837595446,0.04144204432506418,0.004823656291149759,-0.16133622706133982,0.05657318931193309,0.06901109629473201,-0.17234458135559505,0.07202253543978607,0.1346347394898845,-0.05536691627658384,-0.08730346112327048,0.1953657613948037,-0.2746478276571264,0.1331766662621943
salinity,-0.09645601429070505,0.05794086959777277,-0.0015046158495397404,0.003043107912561776,0.13753698989343216,0.10761525002667971,0.09283061924585588,-0.05749695572722817,0.05370856097997774,-0.3087525536115797,-0.05189197878446108,0.02300905368186009,0.1886791823579286,0.03899317757899479,0.06616951018822399,-0.1840460035295455,-0.5446318933337162,0.1514152969578862,0.1120180415033773,0.01853473999799171,0.07736144389814206,0.22509557249751788,0.16677751334445207,-0.04213543307288197,0.02085946564349739,0.13258770414237314,-0.06089458483300074,0.04386222109698824,0.006704391365526313,0.09638722985411888,0.045711634133375284,0.0708877556112615,0.05153435520636056,0.03938568604068431,0.25388654178326575,0.11818047201585188,0.09431507952746256,0.14036560045304255,-0.26860810742374447,0.019746610050360373,0.002781495486196885,0.17987527040873746,-0.0038128166149182497,0.16956795052383644,0.0883821130906971,0.015722711677720085,-0.45666215170545027,0.0019465654956015489,-0.03228340464909968,0.06595340416015254,0.05507701763577928,0.05736823480590843,0.11085556587293727,-0.2658009163830204,0.10614943209475378,0.18383407821625974,-0.048590947166883655,0.09551445032631886,-0.01901520463775839,0.07747055601042482,-0.0034619505051272518,0.21711963807813106,-0.3614730251463456,0.07203575000467459
Chl_a,0.04684630661549255,0.045601255377179094,-0.027106330595974983,-0.07056880775602098,-0.1754715362083556,0.08676095647312325,-0.023062783617404124,-0.06803903140338854,0.02148797264115931,0.06697502239104841,-0.05142706369451562,-0.07320154560700755,-0.07851730856168011,-0.02079218947302008,-0.08796926542673197,0.10128129038834048,0.13021015532489358,0.043375148462733736,-0.11106305618446091,-0.08605103166915601,0.16927645807124977,-0.14269925784568244,-0.10181202993598751,-0.01608907906310925,-0.032849296720643135,0.08931443987707226,-0.025798390154680325,0.21645200637075107,-0.03296514153112641,-0.10974476246232398,-0.012454183912271398,0.0899107505397776,-0.10441400096616602,0.005042854175068464,-0.07977291657214704,-0.043511366978175814,-0.0370977776531539,0.07820625791336928,0.07576517750505281,-0.004228553991931741,-0.046546019790978554,-0.04577096773716182,-0.06334668239140681,-0.10506148916706937,0.568882396846323,-0.1474266289034506,0.14542024601633197,-0.042724579502858864,-0.05942508981575957,-0.07945462273612766,-0.03303269963471761,-0.04284941290128532,-0.09037903996090926,0.06442273634959296,-0.051079768505623804,-0.02691526093631256,-0.07055973321274868,0.02451297477423954,0.11859359065038737,-0.02795140356190374,-0.0636598380316824,-0.11222331270595151,0.11563444940987852,0.020205076907788666
Phaeo,0.06883853988217599,0.02010368175048609,-0.014593159568991331,-0.046746385587023404,-0.10460318324930704,0.03915258862836439,-0.011500033966053915,-0.04679321829573195,-0.0025240688556232935,0.0025059317697656517,-0.03168394783587897,-0.04662386923897027,-0.06192871298005148,-0.008690680767717274,-0.04292022555067602,0.08644391396386635,0.05820647083811132,0.07297181697257181,-0.05147469683653847,-0.05755783680078119,0.02882725356237378,-0.08709616218010466,-0.04087903941800923,-0.009818048345253412,0.002237365777117674,-0.01908193208134708,-0.009531755427755209,0.4901087719374423,-0.020037464182671202,-0.06650482330771147,0.013179999363698848,0.03665023852439299,-0.06911481130609654,0.017967921798481633,-0.05257958010836172,0.00987819247283182,-0.030486846745588356,0.008690353787177947,0.12295962012228884,0.008508382526619524,-0.014092288105513561,-0.0383493904863332,-0.040933030551513004,-0.06704479509896018,-0.0022035519043581767,-0.0725932060659251,0.01857692043826226,-0.025444812711908724,0.02205940410737388,-0.052346713974924707,-0.025679353465130693,-0.019588838167898207,-0.04779050252751421,0.002635025926233226,-0.036557475526690746,-0.03588073460135532,-0.04723637919630898,-0.007329901717802782,0.3008380228692429,-0.019869142195952243,-0.03753843337767723,-0.0627988186389273,-0.00045430242182424585,0.03985238623812476
Chl_a_conc,0.05800845337608636,0.04373157893612237,-0.026712582756186286,-0.0719206252312936,-0.1756743777980867,0.08344896832486023,-0.022479013596735865,-0.0698100918002266,0.01734961525253994,0.05689271748978707,-0.051765331110096055,-0.07409702585048322,-0.08271394769545226,-0.019810535520464828,-0.08548604885951881,0.10847589677477346,0.12508929089009685,0.0562173173265508,-0.10719134329168029,-0.08785029666778854,0.1499010662630641,-0.14341521165490626,-0.09655012446878782,-0.016169290053316146,-0.026963050786513364,0.06978098192640343,-0.024240613188693208,0.3147372238443193,-0.03310807208586462,-0.11016569355651458,-0.006874359911279045,0.08541319210114204,-0.1064002018132606,0.00911091543008399,-0.08122941979165546,-0.0338372134943162,-0.039413695941821564,0.06799824661710763,0.09697444954318782,-0.0012389449410613509,-0.04289238165191676,-0.04882787317142996,-0.06428070190462025,-0.10638161484023895,0.4768664204640304,-0.14344524114338963,0.1270954294552473,-0.04276733551952398,-0.04388635356688507,-0.0808990498243706,-0.03469659134059347,-0.041282165188861936,-0.08883089855061121,0.05478562624265651,-0.05279704650641408,-0.03233196230363694,-0.07204604607791082,0.01858368700820356,0.18121585753508712,-0.02885432601806119,-0.06362187440809665,-0.11123973865004438,0.09692899357493306,0.027778419531838263
