,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
PO4,0.001559117331699875,0.0968548857360847,-0.030020598368267707,-0.011008301092869802,0.093930181903956,0.059922852834957144,0.006509134964258355,0.06428226060253123,-0.025009298000804824,0.0502027768744783,0.047093071163612166,-0.015572119348010956,-0.08044995509216699,-0.02447919537059961,-0.06982750030211383,-0.062476379243269604,0.03455649718969797,0.02479868099761472,-0.10190074809985247,-0.08489980485839412,-0.02015960135276965,-0.14028344863676723,-0.025243884225586953,-0.024766800377897018,-0.012029932574348461,0.1655833528951879,-0.03271158545623088,-0.02343806190514113,-0.01051980820402524,-0.10976537985514459,-0.04358400754447159,0.12300789661298207,-0.041000924449536666,0.021396120417544254,-0.02874663290148359,0.06253934463695221,-0.0033519149159980874,0.04932729305496814,-0.023039501557517602,0.06997870938159384,-0.06306124299455851,-0.025393407223411643,-0.09077430670784797,-0.031199365849459076,0.15082781954130214,-0.1496643422603603,0.01774726793810876,-0.05979695957123354,-0.04231614127090676,-0.09883365768907507,-0.027970457532846098,-0.03635588216677779,-0.10202620223047885,-0.02548997276406418,-0.0036084285785361204,0.19369550183016437,0.0901375939779777,0.05362464445895655,-0.07470206729781251,0.014183083276141154,-0.08777345990420382,-0.03523533437409205,0.06713743691383792,0.03614231909552945,0.042980833449463844,0.004151181917901613,-0.11068072415612949
NOx,-0.00845463667438244,-0.04318840080941805,-0.019741277593710263,-0.02097495105802257,-0.04817159599939071,-0.03276706982386018,-0.011855814141682365,0.06921227265301437,-0.02149554956243116,0.0803832583990882,0.05107394906208319,-0.022514593439595,-0.06335909767889875,-0.029969132189668266,-0.040885393650115905,0.12364655603767405,0.21574032181342867,-0.02557488441191318,-0.0768457593949622,-0.043471190259673595,-0.045141795228297796,-0.10517742875895641,-0.06834579469095038,0.007282789362693042,-0.0105779713515075,-0.039076297560105,0.036732044068579155,-0.019266864286585247,-0.00977713363934103,-0.0712937952871958,-0.03403576739217747,-0.030452860654781005,-0.04501977092628619,-0.017987480134988392,-0.08192363607856175,-0.05275920150555469,-0.030440303427530308,-0.041515706858751805,-0.007702728708525473,-0.0006238820743556667,-0.017195349336295032,-0.03733646217426517,-0.036564240092409925,-0.08835049261969316,-0.04316941450952031,-0.0762680372095755,0.35570445359766256,-0.03201483829836286,-0.014008981128933938,-0.054243167157324024,-0.023979089697552212,-0.030505291261819632,-0.05637146664753849,0.15200704098554235,-0.024560077592823273,-0.06035727214313426,-0.0189281205845682,0.033303032524100336,-0.008245347236714728,-0.018144096855763722,-0.03018254454960521,-0.029186810189634323,0.12854674816048095,-0.020031834948989833,-0.030676308315980894,-0.03993936810432042,-0.09095906857905911
NH4,0.01550246101573247,-0.04826651109655848,-0.03334165394559997,-0.05346838783602481,-0.00493161757177837,-0.04713938679741027,-0.0094177081736215,0.23099558696463968,-0.040467947649678565,0.24816814764761622,0.1573978016247608,-0.07632573098332002,-0.09450095866244393,-0.07296396171830767,-0.07302232377370627,6.120600832574554e-05,0.3092669393342876,-0.024889911364099154,-0.1220611812621626,-0.05667913157482657,-0.07807526152004338,-0.1568302998106974,-0.1025302191770618,0.05229075278873041,-0.03434148403857233,-0.04645506959776993,-0.03819681585929244,0.00827144283943343,-0.028772560621509007,-0.12316437248543174,-0.018491636707581346,0.013181729828388129,-0.04947770431396444,-0.0045568650416082865,-0.09486375472096856,0.020850857900744094,-0.027118900286793333,-0.04976911058188323,-0.013128047212826687,0.09395122445565518,-0.05418174309373218,-0.06036232157934934,-0.07240376315829511,-0.03850784256372956,-0.016949554638836007,-0.12918195362233434,0.11625809320583164,-0.05011578359630256,0.014014306438722665,-0.07891909690317916,-0.036289278617080305,-0.051396727150066095,-0.08899002466353145,-0.020883201256396942,-0.027930938119643034,0.1323773275243432,0.08644072677916126,0.24496845550850516,0.0070203598550779255,0.016965269681724408,-0.07420681353177407,-0.047308740483024816,0.2673621257408428,-0.033920884705006864,0.029101012068978242,0.04440982644431994,-0.13199497861877912
NO2,0.04126207832960724,-0.03279128341644198,-0.02798175941024083,0.02377751513435721,-0.033418781192317296,-0.034205159275970835,-0.0033828796052057897,0.10468603258833897,-0.037461164749651,0.09169210155082766,0.10463592775856898,0.020653885866384662,-0.0866289512856662,-0.02766643066535841,-0.07028873343547878,0.12599157508974962,0.21388019088571014,-0.024487982038672904,-0.08479149036689662,-0.06387892444518581,-0.0643674897664626,-0.14528928685107084,-0.037163040637600855,0.022879523581431294,0.013711172699098901,-0.054896886290290145,0.023598550175360677,0.006422953895003621,0.002624682260740377,-0.0825620492329849,-0.03740368977400862,0.029443711546985496,-0.03247065632928149,0.018425029807560375,-0.10323935027384325,-0.0543286830070961,-0.0575932728144435,-0.047402737673028925,0.03063857696767709,0.05020712311029585,-0.02154886644601608,-0.058010733167986786,-0.06622144410197914,-0.13408459466654746,-0.06502922759427855,-0.07530148708227027,0.26684856594226003,-0.04681296773075097,0.0009731642952225217,-0.08188769612021715,-0.03184521959543932,-0.034907229169206355,-0.0844267199183074,0.06836206729365765,-0.021303628377770216,-0.09664662296851588,0.08001577552179504,0.04660299607889665,0.030937645997034476,0.006603509521381973,-0.05824579355329251,-0.022361175480841024,0.15799674381868975,-0.02069151412130452,-0.03724686882279771,-0.03307871022827116,-0.12154470550580501
NO3,-0.009273944373782424,-0.04325079829142457,-0.019549869906290363,-0.021677299491772398,-0.04829461488599328,-0.03265654493109829,-0.011968051094632047,0.06842977614736827,-0.021168766093283345,0.07998041505481748,0.05003298364468954,-0.023186080542486387,-0.06279856900794098,-0.029929285931186093,-0.040280154145803784,0.12328165211994906,0.21520437625485184,-0.02552601614366104,-0.07650914695751503,-0.04301141648693703,-0.04469763564209549,-0.10422182998300664,-0.06869385845062238,0.006999631703694491,-0.010961287005513864,-0.03870572873993357,0.03685774089328592,-0.019651035686686268,-0.009961341232882434,-0.0709155457326941,-0.03388923973102104,-0.0313866218775946,-0.04511377803150849,-0.018556517348506708,-0.08134735701813532,-0.05259387005629004,-0.02990062774745807,-0.04130686532080928,-0.00833146480044461,-0.001482647277011453,-0.01707643171119048,-0.03688831210496611,-0.03596606880617191,-0.08734398479938571,-0.042685855410425466,-0.07608380064815137,0.3562729394690838,-0.03168014920870857,-0.014225734999823308,-0.05363256560216294,-0.023782872464196775,-0.03035054674759645,-0.05574831507663714,0.15302307960987838,-0.024550601908369114,-0.05958426036625408,-0.020553139850591165,0.032990314427078685,-0.008886903229483767,-0.018515272686060548,-0.029628138698284866,-0.029225580335803882,0.12771015551212345,-0.019967981757578405,-0.030484406164716885,-0.03995045013019047,-0.09020211478183268
temperature,0.06187353655710367,0.22545720002017805,-0.01735507345136262,-0.18460278055529958,0.21966155744944313,0.14106604598251377,-0.029318434192846996,-0.17956409279373448,0.13126337539895,-0.21225511581147583,-0.19487792949053462,-0.17060156283112893,0.28327887629555254,-0.055171712077720626,-0.0542516837216209,-0.06261701766037642,-0.11150636703992262,0.11034029974117265,0.02201614029198435,-0.1395982548489883,0.237347994174624,0.2410375734236675,-0.09139432060919231,-0.04558967806898839,-0.10265625763966399,0.24852190654627812,-0.0722312707678229,0.1296613502347598,-0.07939016036468523,-0.03593271510609868,0.1155555335330741,0.10372624394017027,-0.11026513250616968,0.06494038815283817,0.3097463954304799,0.1736705190505695,0.07782746300917096,0.24853034638174953,0.14138451745310643,-0.07026562366615724,-0.13811837953425465,0.13317644031695236,-0.03640215413537091,0.04462575159043258,0.21410965015816105,-0.2237610740227416,-0.2521726718681434,0.0013628796267249662,-0.21079713331740546,0.08893290623204293,0.07396724232913308,0.04147939162563944,0.0039248818591853885,-0.16132637933649613,0.056816156038162646,0.06955203620984539,-0.27739116368316996,-0.16985269163403574,0.06555047675336476,-0.05575999611405736,-0.0872364742161482,-0.0026209900037900136,-0.2746701486988151,0.1200781308626995,0.0710951153433809,0.031247040213549397,0.19516925269637828
salinity,-0.0334780979953658,0.10722817683363708,-0.0017390420064440771,0.002949317682516113,0.15158314623934543,0.0813463988594433,0.03932279469714663,-0.05751634035877688,0.053050017764764354,-0.30867118245866426,-0.05171765313179425,0.02263482322982561,0.18855503794611905,0.12385045975170479,0.06608073580275939,-0.1839836896702306,-0.5446271572714549,0.05664737851564616,0.11166898108387835,0.01853347446547787,0.07669910566277977,0.22515732271834676,0.1670276680508845,-0.04217295032946597,0.019591096212007216,0.13259554722846506,-0.06088895663842915,-0.020279014293342477,0.0026922247758382175,0.09593885022365511,0.045881863187945744,0.07191811630480485,0.05169135962688442,0.03950905738711446,0.2538076508198809,0.11849090687706779,0.09446018163909552,0.1403697738735345,-0.26807106614810844,0.019731512175244964,0.002729139935709398,0.17976371878122574,-0.003807558503160097,0.16633464238798995,0.08827710241120429,0.015782186978046467,-0.4566141292292686,0.002062787634780328,-0.03238304598943846,0.06530146553172789,0.05496374676285352,0.05735859800589128,0.11111307069498544,-0.26579816182412974,0.10585061637258025,0.18365887148762827,0.11846548453957591,-0.04895445975687064,-0.09594547654261223,0.07833193128723676,-0.003370426550247805,0.04346456197415212,-0.36166360616653703,0.061535325546664084,0.09655619879749708,0.0432326244849887,0.21727286197930407
Chl_a,0.032566411009999456,0.08345270615036113,-0.02589969847011067,-0.0705332805259336,0.04309948081694419,0.08800512488396475,-0.020539892941006353,-0.06806367746718597,0.020517179351007643,0.06694957682648674,-0.050918572928292126,-0.07352577395258411,-0.07833043799429507,-0.09371768744667608,-0.08797740869447876,0.10126265705263415,0.1302076898640751,0.041843015050106375,-0.11131358515643688,-0.08604839524851912,0.1685401395018084,-0.14278863064148895,-0.10164962061727294,-0.01605014998554623,-0.03180734548494663,0.08930604377563175,-0.02580177775818194,0.1183183876056012,-0.030106950342021696,-0.10958921973859717,-0.012270291961310315,0.08957487152254318,-0.10396280490348825,0.003931934482175312,-0.08010923010634911,-0.043827706194984724,-0.03708695967417222,0.07796448832758354,0.07575412118293989,-0.00435230911517883,-0.046480176622514816,-0.04573072523641562,-0.06334576261698963,-0.09918007922997057,0.5688553339266381,-0.1474689929435264,0.14537301195263092,-0.042647301621692044,-0.059460350033722145,-0.07863395444534949,-0.03295641341373874,-0.04276843649923806,-0.09054752273915173,0.06439587538044932,-0.0510699288123714,-0.026640231424902187,-0.16420570420574046,-0.06915369757562578,0.047318044178889886,-0.028101331338660815,-0.06363338642400593,-0.0423988511982551,0.11559638562826506,0.019572786724275038,0.024336949622090313,0.21623325610580546,-0.11225479842372005
Phaeo,0.06764298506025632,0.03668781414606357,-0.013659211392036196,-0.04677323401322439,0.07256993126187365,0.04680633227241582,-0.008580250306861626,-0.04681769505725396,-0.0030764379681130225,0.0025243421632320205,-0.0312907159897686,-0.04682599635174138,-0.061925905964122896,-0.04035653089072142,-0.042939104872324975,0.08643348200260204,0.0582025872133322,0.015045149399042175,-0.05178491409060659,-0.05755552662996567,0.02871260842683663,-0.08716409536994808,-0.040831031902774345,-0.009784203222614038,0.002632681751577732,-0.019104842261942066,-0.009535041608685612,0.3002543613873769,-0.01899380374630011,-0.06653601028844536,0.01323837784619077,0.035496871555766654,-0.06893722532281084,0.01674081959666796,-0.05282201128574113,0.009444940034757873,-0.030487502824647246,0.00843021485318009,0.12293912968615481,0.00840374201736904,-0.014054502138282368,-0.03834461675054755,-0.040932215073342784,-0.06559995921568232,-0.0022974438036984565,-0.07254661383983345,0.018475327324912395,-0.025633412723474344,0.022045252359480957,-0.051623134641153784,-0.025583658605329625,-0.019562983443126243,-0.04787697116913457,0.002629588198943038,-0.03643493246294323,-0.0356568413188838,-0.10233281762482987,-0.04606774632238582,0.06500575953064452,-0.019948514185049136,-0.03749117372892985,-0.019598683064447994,-0.0004537733726919617,0.0397474563471004,-0.008010828018993414,0.4899982476596446,-0.06281312843320924
Chl_a_conc,0.04569869157288431,0.08000313815036264,-0.0254462784809492,-0.07189809668043882,0.0558768334973789,0.08657125450169242,-0.019568799541294344,-0.06983742294973219,0.016384852951734297,0.05687635951846663,-0.05123178773015293,-0.07442403078235885,-0.08255634454065375,-0.08961465334060029,-0.08549800941362379,0.10845742540027702,0.12508616718661075,0.03920384503764032,-0.10748583944595305,-0.08784745668240238,0.14925194481840637,-0.14350866690854097,-0.09640077942053524,-0.016127427543416194,-0.025981206576930076,0.06976771475815564,-0.02424434863857212,0.18082641008823747,-0.03042582158881624,-0.11004361359367126,-0.006704168625751572,0.0848181395857853,-0.10597329560617766,0.0078453492520161,-0.081577510730717,-0.03422034940946896,-0.039404794510260514,0.06772469890167729,0.09695960662349723,-0.001371223712624962,-0.042826860094329594,-0.04879280141283386,-0.06427970852642369,-0.10105304547398505,0.47681821408152836,-0.14346814725164453,0.12702820243058566,-0.04275368235594294,-0.04391978988500921,-0.08001380295750327,-0.03460658217563742,-0.04120718168956754,-0.08899578357148921,0.05476160536473485,-0.05275551661191776,-0.03204034041374386,-0.16560250898987136,-0.07054866308723817,0.05736375396705492,-0.029001710973276012,-0.06358684212623117,-0.040906680367130945,0.09689719016986116,0.02721924718923514,0.018251071696898057,0.31452361787569094,-0.11127004992967682
