,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
PO4,0.03306216112056397,0.09678597139477771,-0.02793719873056146,-0.011050964189647895,-0.03314619338005808,0.15086104376789455,0.02737375931035631,0.06420537544291864,-0.02495910411764725,0.036552797594654685,0.01735639845286005,-0.015525993282793311,-0.08038359043365367,-0.024120086127901192,-0.0697989495785794,-0.0648424884410314,0.11755263071742722,0.024389152547717723,-0.10194509187969081,-0.08489829779754907,-0.02006160174799341,-0.14032942576470067,-0.025569414147626493,-0.024595434852490203,-0.012029477321167605,0.16508725044830638,-0.03273198838218428,-0.01944821833146828,0.06626780001411356,-0.10951978292578196,-0.04355228214658544,0.16675641229289193,-0.04095754435974406,0.021989059269703085,-0.028588365861210167,0.06305518168405173,-0.003765567608060726,0.049342135271066456,-0.023025633829070427,0.06856798240269482,-0.06305571593536455,-0.02786947595834601,-0.09078097657332283,-0.010510327613282017,0.05948907063605331,-0.1500751682824969,0.13644140962055534,-0.05838069038560463,-0.04210891390780782,-0.0987037491686342,-0.027866453115998113,-0.03638015540532098,-0.10229636843077138,-0.025696311757918897,-0.003381972883577949,0.1860372642596651,-0.07964677039770993,0.04049586672097383,-0.05703997338593414,0.014018043174386013,-0.08784347402684477,0.006263589396289255,0.06790489820343303,0.03619299746353274,0.04284123072691745,0.004312904762928175,-0.11071436874048526,-0.03517556403549345,0.09387656268965065,0.03567233822967336,0.034553216211163175,0.012015876875567662
NOx,-0.03282628753150904,-0.04312715417870172,-0.018714324225753805,-0.020929601879885684,-0.08695407666438666,-0.04317640307357844,-0.02287330252123089,0.06863326511449619,-0.021470333545937255,0.07337540675676757,0.3554790650099147,-0.022513895967413686,-0.06334405636325915,-0.02964767692943338,-0.04086784323848749,0.12211695943113657,-0.03028349391268166,-0.025553501164072075,-0.07684710168761204,-0.04346713332503038,-0.04525183314216365,-0.10516835578215636,-0.06832465320054742,0.007333875027407322,-0.010580291884766304,-0.03907456413483183,0.03646839711081081,-0.018266876531885187,-0.03438379941072042,-0.07119469975485196,-0.03400617104464403,-0.026693029386123758,-0.045102747550297764,-0.017820517832784932,-0.08195730865302792,-0.0526866636899969,-0.030328847803757077,-0.04151641546110245,-0.007709989988110786,-0.0015708645810545026,-0.017183328054702754,-0.037085203161571156,-0.0365445757032138,-0.009751576520011301,-0.03269088976623851,-0.07649940856355208,0.12109245888340095,-0.03168894460479685,-0.013986820350939318,-0.05412916924850416,-0.023927936210984196,-0.030503085884220366,-0.05607797831131009,0.15156116031389472,-0.024535624577262518,-0.05993798328967559,-0.028333137777201395,0.03872028837949882,0.001020788060654584,-0.017972054330328613,-0.030115253327511984,-0.0117343042264162,0.1287071266010391,-0.02002656930097344,-0.03089602914833412,-0.039865807657445,-0.09091941730187214,-0.029106160992390218,-0.048174654105881475,0.041713790039393,0.21571569278492486,-0.00485974743436464
NH4,0.0586598864588337,-0.048207462042217056,-0.031618890587869666,-0.053302388443584564,-0.04068568958747305,-0.016986250385972047,-0.0043452385145402155,0.2302154760151655,-0.040424772426759695,0.23318735188785744,0.11585081360495986,-0.07627582685679518,-0.09445329752618106,-0.07283514594023242,-0.07302172445252396,-0.004843320594981556,0.012001951012531768,-0.02511662685960142,-0.12206869323883976,-0.05668213795218406,-0.07821478048426359,-0.1568461741131432,-0.10269783628970817,0.05243056097999149,-0.03434059569264045,-0.04663301809952332,-0.03906743133063537,0.010512262187950726,0.03870648153505133,-0.12294315326346236,-0.018453299947058487,0.01302883987102702,-0.04851650522131693,-0.004231744718602876,-0.09488695474738681,0.021013265464647882,-0.02717039227208646,-0.04975719835888261,-0.013142713703828399,0.09131714053271708,-0.05415106818573813,-0.0610931745611176,-0.07239761382414145,-0.028726563640922,-0.04726267064158192,-0.1300122375364041,0.31088819490483904,-0.05008264883691832,0.013067056598985008,-0.07875875627425864,-0.036144621500747445,-0.051410145767271216,-0.08903150744664487,-0.02304132378338828,-0.027686628390825023,0.13306094500136567,-0.02987076463887665,0.23428283490059323,0.018954286594418633,0.017150558193151956,-0.07422752296933506,-0.009495268499511229,0.26791068742022384,-0.03389547144532319,0.028560993850045895,0.04444871002799274,-0.13196794640975545,-0.047114609933895775,-0.004837673345791959,0.134651572314891,0.30918970854130745,0.021188871724959056
NO2,-0.04919226257800586,-0.03271290200865831,-0.026207523961847425,0.023737079578405332,-0.13386595568743387,-0.06501250754874537,0.0008105409622369121,0.10383547075886958,-0.037453028496628245,0.08767652774072532,0.2666958314572522,0.020737860346633413,-0.08661952674187964,-0.027342815348174374,-0.07028373920796846,0.12391611052199146,0.029566337818908633,-0.02454450821391923,-0.08481454597685655,-0.06387433165431461,-0.06448860983540501,-0.14529572620227765,-0.03730301210627239,0.02287966351416616,0.013702709418340014,-0.05494218198164211,0.023301184005936955,0.0054366730791024906,0.059684317349071765,-0.08239878061785581,-0.03736915625442663,-0.007608850118651795,-0.03280278492206056,0.01834438892635828,-0.10330812919281844,-0.054398596575425645,-0.057548818349243205,-0.04738965861228689,0.030624339626619385,0.049233576133608445,-0.021521992132656,-0.05809129494791007,-0.06622272423774828,0.0026119884175462866,-0.03424022383354401,-0.07567296115151748,0.1420083287504053,-0.046387935294580365,0.0008228849025749229,-0.08159389094071637,-0.031719296278838655,-0.034927566863665174,-0.08441150920845178,0.0678131457053491,-0.02111732800925982,-0.09754401851593608,0.013512500032739187,0.05556031983134185,0.03205445362693261,0.0065700147452761965,-0.05818049832257361,-0.003410046571443739,0.1579497984887177,-0.020695058618096798,-0.037530278123009006,-0.033002843478709847,-0.12153211354152743,-0.022204359800435593,-0.033575672120437466,0.0952749006984854,0.21385453645929572,0.040248381809707814
NO3,-0.03246292559570656,-0.043190002786056655,-0.018538266682426193,-0.021630617528450483,-0.08593130564987267,-0.04269322690426493,-0.02321403368410991,0.06785688803585047,-0.02114332729326228,0.07294034550546956,0.3560469138881814,-0.023186794517789527,-0.06278347217941417,-0.02960871271264257,-0.04026243735858906,0.1217653183938325,-0.031216909430710683,-0.025503370380189457,-0.07651011818280307,-0.04300737929301168,-0.044807196553224266,-0.10421251829556041,-0.06867004543935432,0.007051445352994075,-0.010963497458357611,-0.038703203821530516,0.03659535812751924,-0.018620056894890075,-0.035885636436922046,-0.07081779708223301,-0.03385980479713388,-0.026945856472227473,-0.04519231906887355,-0.018385803055059387,-0.08138034679036348,-0.0525191117811355,-0.029788331154817042,-0.041307805440398186,-0.008338588899323755,-0.0024266894165753355,-0.01706469346175057,-0.03663209728049926,-0.035946101613745465,-0.00993520386658938,-0.032578682224202765,-0.07631219196815292,0.12041992762626356,-0.0313567907691625,-0.014200713648441058,-0.053521911087303406,-0.023733119133239628,-0.030347965588486327,-0.05545088831283631,0.1525801158285388,-0.02452895276546654,-0.05914378705993544,-0.028966929706465555,0.03833340002038934,0.0004928026633554416,-0.01834020357183102,-0.02956099067714768,-0.01184434414650366,0.12787362145908646,-0.019962580831526255,-0.030702471054297395,-0.0398771221973956,-0.09016210976635858,-0.02914643251348035,-0.048295061052210854,0.040697458033229356,0.21517982936134206,-0.005610501672327494
temperature,-0.05027819721316419,0.22507477875867454,-0.02181508947327426,-0.18430425683754553,0.048495821053065574,0.21426270723756058,-0.04674731711961954,-0.17859895236565787,0.13120038930594888,-0.20416503787386497,-0.2520620378533466,-0.17102094576247917,0.2832645446706173,-0.055186799825345564,-0.05425390732630489,-0.06086906430549095,0.10076668043661485,0.1102174330435644,0.022115278598792296,-0.13959347283064497,0.23803226728157778,0.24107101548114318,-0.09105208112236413,-0.04572553498023467,-0.10263772232668936,0.24846483717001772,-0.07187647913184383,0.11711789193241488,-0.2605452983759609,-0.03551466313632049,0.11551786930677697,0.14190109206123505,-0.11019679055416276,0.06465494934882797,0.3098463813965501,0.17348516317012236,0.07745042340136651,0.2485217800143053,0.14150362685729467,-0.06845284314399076,-0.1381389045679554,0.13270027912864185,-0.03641360547362893,-0.07924978086125548,0.14047931123941254,-0.22340975055360363,-0.23560422523993124,0.000977437316040564,-0.21091835960436395,0.08725241494396543,0.07387017461505613,0.04150049580400855,0.0052117273689132665,-0.16034044084055699,0.05653643981699763,0.06266616270138141,0.08526453637709125,-0.15104587484558002,0.05050497266152444,-0.05569237190949754,-0.08725938491615876,-0.02912823011673042,-0.27538191486859753,0.1191462893612249,0.07128894721256787,0.031203992677731888,0.1952332595138323,-0.0028776079165690367,0.2194783408748392,-0.18798542203380442,-0.11146616483613983,0.05708851822439217
salinity,0.08337833790310731,0.1069579890507926,-8.540780115609136e-05,0.0027561077373910456,0.1604953851658838,0.08831768596968088,0.09288952381694511,-0.056962746785350155,0.05303725787611463,-0.30653358140928244,-0.4565720154193953,0.02251180162478768,0.18857587040987786,0.12340094813172295,0.06608684795964154,-0.18080654829846204,0.0675139380964395,0.056306460507961516,0.11163002021254981,0.018533729096845662,0.07711084277313553,0.22508702059192615,0.1666352462865689,-0.04211983468267805,0.01959463541348536,0.1322681201171303,-0.06056371506238462,-0.005230357703305131,0.13765645574394758,0.09579743891684336,0.04581232459327892,0.12169226479913026,0.05136576120678314,0.03968673989174129,0.25392286883945464,0.1187829657690508,0.09379801890308118,0.14037270234071156,-0.2675878225015839,0.02151976147957901,0.002723322389474484,0.1780768664837335,-0.0038348783417164545,0.002652726252877301,0.08069186815108528,0.016034617643734442,-0.20701627834675151,0.0014202291912348858,-0.0316693393896047,0.0652999504260976,0.05495464727148454,0.05730690634705539,0.10901314693298847,-0.26401634175697397,0.1059176732150034,0.17731386679828007,-0.031677528340199435,-0.056201187240742446,-0.10141563793776484,0.07751225815112037,-0.0034804437951865387,0.038724751170623135,-0.36213476837920344,0.0623868783623545,0.09679721993398432,0.04327208049022435,0.2171214843164633,0.04335681966620692,0.15146437407565963,-0.03661037473935547,-0.5445325274633167,-0.03125118080325897
Chl_a,-0.06069804354687627,0.08325445269801329,-0.023092595417962193,-0.07038880581969022,-0.09918336205627719,0.5688473229996931,-0.023146120742298885,-0.06786705224623399,0.02050479987779016,0.07641250215427274,0.14570956930314377,-0.0736373337696382,-0.07834048381046557,-0.09324506431648737,-0.08797585228592818,0.10127302948381876,0.0901450432189487,0.04202158519640466,-0.11131408839782697,-0.08604665882078988,0.16852584961502193,-0.14278868823918178,-0.10166369814829188,-0.016081487314752927,-0.03180552365594196,0.08941009906840491,-0.025651661189886578,0.1184988833153816,-0.16367831903411012,-0.10944071004487892,-0.012268868570893193,0.04122309329632948,-0.10426349361933746,0.003821230755639322,-0.07997071880617541,-0.04396370621902171,-0.03699125387344657,0.07791065232459375,0.07574967210162177,-0.004151794029476593,-0.04649160002750394,-0.0458683608252535,-0.06335306944926951,-0.03001638499934308,0.08799754212902713,-0.1475075528641412,-0.009886759605795391,-0.04279109866830612,-0.059428602864970745,-0.07901329493984455,-0.033000066097847544,-0.04276835793900671,-0.09039085403846363,0.06348660867995187,-0.051208303522566834,-0.029101429734090405,0.023590006135981462,-0.06145632340385235,0.05353531197953601,-0.028105267997522575,-0.06364971292050163,-0.020559700328556325,0.115344009484511,0.01955638982438115,0.02467790755054371,0.21619815221780103,-0.11223892465890335,-0.04239223303419274,0.04306402412653053,-0.0527565863452244,0.1301627737581142,0.032396683453864344
Phaeo,-0.047302740531359584,0.036687498396373544,-0.01158969006333279,-0.04669507090332929,-0.06511933286429544,-0.0023116207274210283,-0.011633087531328273,-0.046709549453285995,-0.0030865810996239026,0.004958057788835811,0.01853025543477824,-0.04689116987534574,-0.06193017354102949,-0.04013813834998078,-0.042955977460715805,0.08749436966592355,0.03668747280914672,0.015120812417299123,-0.05178901868954879,-0.05755525061911371,0.028722845891837035,-0.0871619771896634,-0.040833789536340225,-0.009852822380051005,0.0026306464648583223,-0.01905464447760853,-0.009447484022720684,0.30074061910194766,-0.100691441781441,-0.06645214768794902,0.013241262311850301,-0.00865301571353435,-0.06920699880747973,0.016456457184939165,-0.05279276205297748,0.009103205597403186,-0.030387215394468193,0.00840125826561058,0.12292163232923994,0.008714454549094423,-0.014059759297531896,-0.03801476253552842,-0.04094592725524556,-0.018937418952252625,0.0468029253693885,-0.07263869367320223,-0.024979884852927355,-0.025681416692709375,0.02197155412796109,-0.05195938730611243,-0.025611695787493744,-0.019567925354744827,-0.047836404760723664,0.0024896889304922135,-0.03649614231271925,-0.035103191352034685,0.06992327325877701,-0.038609937288782065,0.06491259838994343,-0.019965317229974355,-0.03752004367426778,-0.008584458255852955,-0.0005925781434029283,0.03972150741967346,-0.00809025773316928,0.48992607251149567,-0.0628033012401551,-0.01959912141211139,0.07244892714771789,-0.03165118678527554,0.05819041855406541,0.06208517065630892
Chl_a_conc,-0.0637871179849595,0.07983665770454379,-0.02252837706946004,-0.07175561672392311,-0.10092530690650592,0.47680764133966186,-0.022585083790332795,-0.06964303242564562,0.01637170888234637,0.06547939416256723,0.12732558944048628,-0.07453535839828654,-0.082565934705164,-0.08915868402857896,-0.08550128415637352,0.10875417039911754,0.08561994405223254,0.03937426260463321,-0.10748737624901844,-0.08784592435427224,0.14924273082622744,-0.14350814014776717,-0.09641334345386005,-0.016172359701460835,-0.025980230106813267,0.06986867777275638,-0.024094582775801277,0.1811099234919756,-0.16471422651774748,-0.10989619960331459,-0.006702190814678131,0.03224930370309968,-0.10629891018087984,0.007675228639754294,-0.08145331638307901,-0.034427278238554626,-0.03929723951460856,0.06767165224046065,0.09695112182549252,-0.0011185698913361401,-0.04283787515269598,-0.04881876134876415,-0.0642895641384481,-0.03033450090775571,0.086563965271625,-0.14352551111128167,-0.015080223183362081,-0.04288740510562093,-0.04391315404343516,-0.08042347982888903,-0.034650832320934154,-0.04120845752179677,-0.08885327696048706,0.053960471338162806,-0.05288827387932442,-0.033955711195573446,0.03878388430455151,-0.0620633797522086,0.06255663149680549,-0.029009577182382534,-0.06360838342207446,-0.019586566432496122,0.0966476835229116,0.027198439883060158,0.018515672913824943,0.31447455895396204,-0.11125405887065555,-0.04090124473703549,0.05581422101729708,-0.052872308574984164,0.12504516507696067,0.044047248184218624
