,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
PO4,0.05437802387441951,0.09683065964290274,-0.030329981078811172,0.006256309809047377,-0.010511909324444516,0.05951066430595972,0.027274718363164682,0.06413045568237113,-0.024927316707293246,0.06726702068494006,0.017370814126506713,-0.013788661716240158,-0.08046999061466752,-0.02402856916538467,-0.0699003665657662,-0.06484231648150744,0.03604488149659687,0.024116917239143967,-0.10193558070218132,-0.08490562325706358,-0.02212627998876514,-0.1403473678435681,-0.025567241275671615,-0.02461625283710314,-0.012028878185554665,0.1644123512707991,-0.03273066018300195,-0.019449874641353844,0.0297679086925704,-0.1098928409123005,-0.043542539505684305,0.16660531815603616,-0.04152872990453437,0.021966939758779034,-0.028897341352793843,-0.08792093054561217,-0.0038568739260588514,0.048045975399313184,-0.023025574610855994,0.06857380463216348,-0.0631274960693472,-0.027946895387784505,-0.09075178874844439,-0.0346702621600104,0.15056428270069402,-0.1500927807650828,-0.08042173417582416,-0.06060080144711328,-0.042279804989321754,-0.09927722661624554,-0.028133630420709387,-0.036374616408655455,0.011655446375190294,-0.0257023847828783,-0.00580667839628572,0.18605238923783396,0.061778834558322435,0.13572078293272752,-0.05702288037686467,0.013899459704864992,-0.10187461732858515,-0.035281450087366766,0.0399118625707065,0.03618642601689519,0.04277318124942597,0.004267281732198607,-0.11076907683275183,0.062466895484219825,0.09303282313407027,0.022265518273912762,0.034552139820855636,0.03558093653855423,0.05492442285949675,0.11752599225151127
NOx,-0.0540270279143423,-0.043085991194027465,-0.020054625678756766,-0.011728905511628387,-0.009946222928227383,-0.032690087082447375,-0.022899721047521145,0.06861142105321347,-0.021438410627847234,0.12806325667362972,0.3555388266243246,-0.022981365730906908,-0.06333481378541767,-0.029293471460238526,-0.04078518326811928,0.12213042105430366,0.07286596845135548,-0.02542705122567823,-0.07682657398252662,-0.04346137352143521,-0.04454772550606853,-0.10517167396464494,-0.06832338997789955,0.007343999485722578,-0.010588998012110338,-0.03877145486915454,0.03648573742628132,-0.018261125902649736,-0.029032436598388972,-0.07132328543851758,-0.0340110958280168,-0.02667760055139063,-0.045517011615731955,-0.017815551577645927,-0.08193593138564438,-0.029972349421837748,-0.030250514152781183,-0.04110890850409821,-0.0077095794854631,-0.0015728865911953183,-0.01709654413582097,-0.03708036041507938,-0.0365230726354101,-0.08631018416814351,-0.04303776369491603,-0.0764268621336031,-0.02756579781919541,-0.03199366084612146,-0.01388302793085516,-0.05358774140650408,-0.023859752356286547,-0.030496228280616145,-0.004672076755451902,0.1515152765606459,-0.024058706547156722,-0.05932819527900214,-0.03346691555371047,0.12009177920712444,0.0010500313935567873,-0.017960849567166856,-0.055655061551476884,-0.029105493581268037,0.03906277030042271,-0.02003317516525805,-0.030863964235444977,-0.03982942179554389,-0.09092365359349514,-0.052291672379080945,-0.04796077616698705,-0.013798234563958808,0.21572163742573,0.04178360595845246,-0.02417320019273402,-0.030266156731088872
NH4,0.051215774204412076,-0.048296788514375674,-0.03379389945121469,-0.009475280851953646,-0.02975506562442648,-0.047197412574926934,-0.004515958106835399,0.230024813460322,-0.040376613806308886,0.2679628296909131,0.11591298729802477,-0.06722284946346627,-0.094505450946199,-0.07298115731817653,-0.07312679956332929,-0.004842814581186135,0.23202138773007516,-0.025144745047258985,-0.12206311214036364,-0.05669053420804386,-0.07668880573173187,-0.1568698679491451,-0.10269879256354678,0.05239083122659749,-0.034357581418462346,-0.04595945828381043,-0.03908471795167684,0.010499864518792795,0.056408591771714325,-0.12326627464831168,-0.018474028658115215,0.012745760520325373,-0.04729997697288802,-0.004240720213584682,-0.09499011774446763,-0.07434552630737004,-0.027211558840028696,-0.04874356906168314,-0.013141656840307719,0.09129818858444455,-0.05420698085671309,-0.06118680266387167,-0.07238594214902283,-0.04191109752279018,-0.016709703824880462,-0.13001653833927146,-0.031179811426054665,-0.04993225286049634,0.012389791483904511,-0.07976911243630402,-0.03640144579441613,-0.05141005073692065,0.02082333605233458,-0.02304763950447242,-0.02699387846713009,0.13113479231835315,0.05851741907117257,0.3086713991291567,0.018924810332489266,0.017153126608060898,-0.08877136964828593,-0.0472430389174488,0.2335756155198746,-0.03392316643923424,0.028447715401568624,0.044368477191688564,-0.13204588863983546,0.020541465141031428,-0.003878789092971239,-0.02916640326859489,0.3091967227318425,0.13438322044862333,-0.04820172791138787,0.011927113437717882
NO2,-0.09065020089306786,-0.03258187338177168,-0.028458380547792095,-0.0034141630190465174,0.002923928954031489,-0.0341823227402796,0.0007144665026777936,0.10377826155898554,-0.0374206800606685,0.15647782624764528,0.26674468337147955,0.02442910614678264,-0.08663772742732373,-0.026584982370239377,-0.07011451949479827,0.12392789955557645,0.08683441146497425,-0.02435048021065268,-0.08479366302514127,-0.06386480536849179,-0.06338334575855582,-0.14531044166888507,-0.03730037816424184,0.022863769418710763,0.013695248884590429,-0.05444014840006293,0.023329786730089445,0.005431522797433644,-0.04171470756955803,-0.08261697473474804,-0.037365743498070536,-0.0077351467659228885,-0.03336707839092132,0.018344469460146,-0.10312069587198996,-0.0580756488000473,-0.057450723275103616,-0.04665177414945752,0.030624075087187966,0.04924444733934901,-0.02139662781420971,-0.05808035949407381,-0.06619224781423899,-0.1326155487800665,-0.06482315111413145,-0.07572090897555286,0.015220838814325958,-0.04686609854199694,0.0008115476568218969,-0.08159999606931957,-0.03181169140102802,-0.03493038727390593,0.040666709139575694,0.06783021324021885,-0.020591819019372945,-0.09567462916771269,0.057602398845524774,0.1393544514800667,0.03208511937055659,0.006583768346792112,-0.08376837247856356,-0.022288498236443036,0.055610995780305296,-0.020715739129819027,-0.03749173806795693,-0.03293877753583795,-0.1215643043049657,-0.05341807389870987,-0.032978528198838515,0.02978096114566251,0.21386452367066724,0.0951533253034687,-0.037335626658648036,0.029585897667722124
NO3,-0.053265015154300335,-0.04315046920412256,-0.019859630145825178,-0.01183879856997744,-0.010137913218000753,-0.032578848144792005,-0.023239203673591523,0.06783570004647574,-0.021111495540216952,0.12724546213262555,0.3561067029862505,-0.023723428495547226,-0.06277378938448332,-0.02926227098154595,-0.040181459976394385,0.12177877292235799,0.07243787827694734,-0.02537839690559069,-0.07648965048205911,-0.04300169839310349,-0.0441117311267295,-0.10421563483118124,-0.06866880874107334,0.007061983593142774,-0.010972201771101704,-0.038404258933332075,0.03661246219867449,-0.018614136873223643,-0.02874140641003793,-0.07094452778117555,-0.033864857755380735,-0.026928069259320554,-0.04560295403615759,-0.01838076716235308,-0.08136183654574697,-0.029417818492821525,-0.029710538031496515,-0.04090696252500752,-0.008338168050063488,-0.002428924349354988,-0.0169787908410785,-0.03662737040122796,-0.03592480699262739,-0.08529937304046563,-0.042555810646701435,-0.07623779676514773,-0.028217536071693396,-0.03165776965565926,-0.01409524544255697,-0.052972639307774905,-0.023662396525241353,-0.030340962203701544,-0.005427228875709887,0.15253328719323073,-0.024054111595521455,-0.05855692390574549,-0.034920404012202116,0.1194498632381727,0.0005219450047483268,-0.018329071422661606,-0.05503281151060752,-0.029144331366386885,0.03867992049946817,-0.019968931082627452,-0.03067060008068511,-0.03984130057125693,-0.09016586173618263,-0.05213507053130212,-0.04808823311210298,-0.014499599200676476,0.2151856899390174,0.040770329967179206,-0.023886823080143754,-0.03119965547132078
temperature,-0.024158051507166437,0.22524078597450195,-0.01629935320619997,-0.029046928322408475,-0.08002456064350964,0.14038951798548158,-0.04676356662140743,-0.17838998725384958,0.13108010730342545,-0.2765501032546898,-0.25216070009915414,-0.19092118421946186,0.28324251379521903,-0.05791104865571199,-0.054274472594578,-0.06087411675150359,-0.20234314093500982,0.10994016289241916,0.022119904156209437,-0.13958542458522274,0.23187394930452054,0.24109568176787613,-0.09106505984658796,-0.045635159273365596,-0.10265020644942911,0.24600827184362192,-0.07184906991877998,0.11693808864697178,-0.049563056594985284,-0.036174033197054936,0.11557756848754411,0.1420254304455257,-0.11103422944513985,0.0646491475151884,0.309513067363953,-0.0866413787682977,0.0774123290918439,0.24474469328955573,0.14151651269892201,-0.06845126824118267,-0.13806337989445785,0.13271470338165525,-0.03640368593627609,0.048139144132578915,0.2131979088399768,-0.22245142510866994,0.086777549337443,0.00175763408751943,-0.21009239371363403,0.09082517465753401,0.07401931852479071,0.04151972600990165,0.05698591931130445,-0.16032643534419033,0.05137814550858967,0.06448157301831614,-0.24574627078365338,-0.23383646843937728,0.05043434829154658,-0.05594636612312577,0.003730377592370565,-0.0028492640685575735,-0.150389033182339,0.11990062639500437,0.0713453064473368,0.031190815106871488,0.1952064448463667,0.17337405461249958,0.216045804422193,-0.12533961382566167,-0.11147649043801197,-0.1876240500704415,0.18236600310615836,0.10079884683798626
salinity,0.06458453390037196,0.10700662308038088,-0.002118332924455063,0.03867052693080215,0.0028363293880416165,0.0805835093238727,0.09289070040031472,-0.05696491245018093,0.05296665491592094,-0.3641607716892935,-0.4566981955848179,0.011008822033549862,0.18850299415202437,0.12263860524570758,0.06605306170242722,-0.18080576129699227,-0.30494745416776475,0.056070416647992595,0.11159683626507828,0.018528566900258326,0.07313919319480477,0.22510039333472792,0.16663164515141132,-0.04214993289409524,0.01960055400128269,0.1307678959597428,-0.06057276519397305,-0.0051689530163889965,0.08032951052965731,0.09587045746643655,0.04585161327421325,0.12163832108523878,0.051205186678626606,0.0396714081485718,0.2537771484592658,-0.0034290420414326978,0.09368636110799237,0.13806644994749812,-0.267630100134995,0.021538620250765986,0.0026885824319594132,0.17807691296332995,-0.0038362754263980736,0.15963586957107967,0.08768545965813435,0.015875783047150295,-0.03252409796313326,0.0023150324748647234,-0.0318835335099065,0.06122426957139037,0.054610248195275414,0.057302767003007155,-0.03145527834915769,-0.26402436942738833,0.10273829406657375,0.17813463090004783,0.12930613415322995,-0.20743511809909865,-0.10139048360907776,0.07739130997995028,0.10807058723331918,0.04325748806840852,-0.057038201961292834,0.062483963371661275,0.09667849599995823,0.04315199010198652,0.2170689771566758,0.11822200658082557,0.14943278303396434,0.06878187819339023,-0.5445352474825682,-0.03676858554184957,0.1117972813524752,0.06745939755480759
Chl_a,-0.08440917210351315,0.08351887759461755,-0.02646109158662363,-0.02053103386533775,-0.03020128218292989,0.08796305370321518,-0.023151019500369657,-0.06776285398934725,0.0204231617730738,0.11485971927081039,0.1457509235419775,-0.07620473313393915,-0.07829296778812232,-0.09317635342587022,-0.08787300566193612,0.10127226137498421,0.07585325319867613,0.042085040758278375,-0.11127887913058304,-0.08603736127657165,0.16826041843452072,-0.14278518844644963,-0.10166473738361662,-0.016031082626294397,-0.031810669592013514,0.08898491456605473,-0.02561876462982239,0.11849859293211709,-0.054651655117912784,-0.10965245580665584,-0.012247155192205941,0.04129781429190427,-0.1058772493842969,0.003826685413564024,-0.08002247993188441,-0.06328259494704279,-0.03688615115524292,0.0773095759259655,0.07574986147244342,-0.0041510631001861285,-0.04636287942332007,-0.04583074813680046,-0.06330445149744288,-0.09829222079745803,0.5687761232618294,-0.14719946630500452,0.025093355668484252,-0.042595573799751416,-0.05899643312407749,-0.07743720800949572,-0.03271540284881705,-0.04274770597775243,0.03262970592727895,0.06349014456477767,-0.05251099488031964,-0.02679066429139751,-0.16984848552054638,-0.009211605170147878,0.053536542900985536,-0.028170974451623865,-0.08974559153096343,-0.04234418141456407,-0.06045252308466176,0.019570496976309883,0.024736398903062597,0.2162552269118972,-0.11220215840847592,-0.043244016811511965,0.04263525639088177,-0.05251266248426022,0.130162531020728,-0.05248995349004295,0.03299167322356303,0.09021903825214006
Phaeo,-0.05587345973922346,0.03671737412327142,-0.014059700890812975,-0.008577401321689233,-0.01907435885990505,0.04671864013820361,-0.011641148155188807,-0.04664389225861637,-0.0030964947312556125,-0.0006789759896712912,0.01853196944768276,-0.04975605181802622,-0.0618860322210254,-0.03998472947585356,-0.04285329752716823,0.08748486880859008,0.005179708912640444,0.015307986220734926,-0.05176697475633968,-0.05754804498955555,0.02965857302782784,-0.08715340382321246,-0.04083414845841664,-0.00982101439308776,0.002625012763947176,-0.018708855248728673,-0.009426562522212209,0.3007454518858829,-0.043045190484457437,-0.0665585983014432,0.013256601716043707,-0.008605058858314986,-0.07038135860346337,0.016472226515511165,-0.05262361849905259,-0.03723298427660401,-0.030314057881078008,0.00912950729486756,0.12292099753981661,0.008713843597389324,-0.013939749267009598,-0.03799124979203236,-0.04091044907928995,-0.06432946783390919,-0.0021645779062855128,-0.07245910566117231,0.07105545126658733,-0.025672215262280577,0.02230385571790068,-0.05075774126970253,-0.025379515775548443,-0.01955430064629047,0.0622734533175479,0.0024812286487365387,-0.03558842634599284,-0.034001140345623265,-0.10900027909391576,-0.024750713239425834,0.0649128509072342,-0.01992577715736258,-0.04728530233994302,-0.01957971134937534,-0.0377261660192725,0.03972892662654077,-0.008035623113513867,0.4899594468432039,-0.06276091739143583,0.009716903477984944,0.07325595369946095,-0.022575331039543553,0.05819297830706433,-0.03145548164476377,-0.023173668295013387,0.03674622450582982
Chl_a_conc,-0.08601495732290591,0.08006670180949488,-0.026026193472254374,-0.019560590570516234,-0.03052686593595049,0.08651213492589391,-0.022591383855769247,-0.06953775206873249,0.01630049814680853,0.0962177595955826,0.1273607635452469,-0.07746802247900775,-0.08251406964778121,-0.08905936305003823,-0.08538708626275704,0.10875094616520425,0.06507019486860668,0.03947834021519202,-0.10745183990328933,-0.08783616451213788,0.1492740109539316,-0.1435028750244699,-0.09641431313736645,-0.01612141877534972,-0.025986078700723274,0.06960570365333657,-0.02406129224149615,0.1811109919114691,-0.05755640754744169,-0.11010282063936314,-0.006679801941322757,0.03232503792409627,-0.1079721882025779,0.007684088248410336,-0.0814508358392987,-0.0632223213101718,-0.03918916364478103,0.06736489238375186,0.09695110841464524,-0.0011181222984071055,-0.042697255891575,-0.04878080901080141,-0.06423912634043011,-0.09996291477557774,0.4767878064743038,-0.14321817357319622,0.04035304535523958,-0.04272080223580868,-0.04346021017516699,-0.07877440894312374,-0.034348874893603484,-0.041187425052723735,0.04429394487596404,0.05396114198353433,-0.05373517458385764,-0.031717063268366666,-0.17214878076565862,-0.01445134213565341,0.06255773317331104,-0.02905398936416481,-0.08816207753890928,-0.040855644883077455,-0.06098093624776169,0.027212294431301572,0.01857959861254639,0.3145315233107929,-0.11121169329643472,-0.0336566169344176,0.05567346905836475,-0.050203415972932985,0.12504565633991666,-0.052595387327203896,0.021398176190800738,0.08569799985560668
