,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
PO4,0.02719910557213054,0.03893494662639622,-0.03319495449659573,-0.019920976820450506,-0.012614632251626064,0.06833347389062608,-0.02347610013040299,0.06405899675151594,-0.02388718527421517,0.035994470704343605,-0.011839452723346699,0.029416786629392587,-0.08024727424842469,-0.07748295890373483,-0.06986703356831409,-0.06462833912500777,-0.03815956378805194,0.09987878500826011,-0.01584708243920821,-0.08489698873951258,-0.0027280776845937894,-0.13888841240821181,-0.02377075500308984,-0.02450786877520058,-0.033891815399114844,0.16441026437710302,-0.03264360488284951,-0.00458614378634621,0.05294519436661916,-0.10866418845299311,-0.04340136265789975,0.16660774333138842,0.024782953040816125,0.02142364316083658,-0.028848859999400046,-0.08593168044780784,-0.09444003782827631,0.048224760731369776,-0.022813468432625945,0.06858728120694971,-0.06286897101405478,-0.027275992116817166,-0.076158832117949,-0.02467250905544032,0.15061248677984357,0.020599702320136734,-0.024464233251717368,-0.0519813671455905,-0.04002418254462543,-0.09692046448402553,-0.027932449177178742,-0.03610688633857692,-0.09881849934333875,-0.025923444058757093,0.02967622276215697,0.18593436036601677,-0.004857521264704602,0.13994602191166197,-0.03537620266094453,0.013807823755934895,-0.06747625622926848,0.0021558315788705006,0.06800720696494342,0.03639356135852166,0.04299541073843859,0.007357066124496929,-0.11030104962689725,-0.0467483276516047,0.0936439414456127,0.07581854938713646,0.035798594701513406,0.03185977239984518,0.0548425447596642,0.11812239472757882,-0.010608456874934983,-0.1154987970524645,-0.10080825667958107,-0.031717319747773705,0.008033299116008826,0.02550443377787595,-0.01405630660320624,0.017971053959975017,-0.019614566361736262,-0.04195874901853981,-0.009029243140466398,0.0379356326778625,-0.018897157842010088,0.027965399319745912,-0.07470512148588743,0.06363544649144443,-0.011300083072688103,0.011064542213502357,-0.054217500309108914,-0.005724331688698719,-0.15003821112722265
NOx,-0.0238258207070607,0.039484294750791404,-0.03126221627050149,-0.029229612870736468,-0.020266267077730448,-0.03377887787656195,-0.03347116700245134,0.06865853761726148,-0.046025178281794824,0.07305456607329928,-0.01043583766405607,-0.012456741490876326,-0.06316022421337031,-0.027521954241622015,-0.040744808308043126,0.12149293440125095,0.13094131555054841,-0.045308013135122616,-0.060526494309983525,-0.0434433818465418,-0.013774885354138443,-0.104211246693031,-0.068455162539414,0.007445973908120948,-0.027981740058204446,-0.038761039406071604,0.03659545491762028,-0.03009873185442441,-0.05165621817761918,-0.07070928435323322,-0.0339107914762278,-0.026414209938482702,-0.01254305779022763,-0.017397945123819224,-0.08194545625819058,-0.028520434983877487,-0.05213420475970534,-0.04115737708038912,-0.00770605247260888,-0.0015263516202005355,-0.01696641881212361,-0.03651332507773614,-0.03580972755930477,-0.021296988136349296,-0.04303561958584388,-0.026284279545059606,-0.01366393621592342,-0.02961073279729289,-0.013447779011456402,-0.05009308002563451,-0.023688510240799217,-0.030307150073839204,-0.0712224553940421,0.15212860950652365,-0.028619218594984522,-0.059195327780489554,-0.00953227139586423,0.11597874881759329,-0.007156575489679166,-0.017712855369393828,-0.03937319287093472,-0.04350106315410036,0.12823221708230975,-0.02008761004568503,-0.030717570429781814,-0.038901436862091424,-0.0906350881606641,0.029261726779350926,-0.04785988993477188,-0.018343846842125425,0.21409961228767893,-0.028371877980551418,-0.024134533287661256,-0.0301014775701086,-0.03113725261331728,-0.07945555125842296,-0.07617133668784881,-0.08500722599718187,-0.009945463791477425,-0.022073993781465094,-0.02304953996166353,0.3542355805502272,-0.017636261121972446,-0.04555468974455315,-0.008389796848140153,0.04366243534325567,-0.02478950270186806,-0.022651457151494157,-0.03244572983615533,-0.05108634613930406,-0.013818876368014325,-0.004471430280099304,-0.0033606449385655034,-0.023980632252018845,-0.07624638778731305
NH4,-0.010132463590629056,0.23183809003871614,-0.04131810509739521,-0.05284154052074513,-0.020278625943938713,-0.04336195445339694,-0.06803027168182657,0.22952430389998768,-0.07950786523431952,0.23205650960842955,-0.03408547313226486,0.07520916904805498,-0.09429524350676864,-0.0640494910108925,-0.07305235963689988,-0.004499586145236137,-0.01144436207157479,-0.050604788873857595,-0.031550795555325625,-0.05668623276741694,0.010114334729941544,-0.1547819815255104,-0.09976717986382745,0.05247617080703201,-0.0453477238922956,-0.04595376809623547,-0.03904991835509339,-0.040433129668364785,0.04727594732897118,-0.12183820329274138,-0.018136875980564092,0.012711523272632563,-0.02618155480650381,-0.0038161291087999475,-0.09507501030997619,-0.07213251819082135,-0.07659529251160621,-0.04877054129153993,-0.013191289177016018,0.09130382130688827,-0.05414673114203221,-0.060312950517072854,-0.05736493584762187,-0.04008741495716854,-0.016551089033504253,-0.026224299301792375,-0.02488296905390849,-0.04767482674165775,0.014249190286202883,-0.08107917735024209,-0.036311306160961884,-0.051048037363810264,-0.11558329042468063,-0.023533563813237034,0.05544254078049737,0.13043921038440376,0.05457580241449744,0.31047628925227955,-0.017703948200267883,0.016820722142596542,-0.047773765552595895,-0.04556379898567951,0.2681841796912791,-0.033682117025784025,0.028450822254602035,0.05095213459736558,-0.13151694049333462,0.016985386007123442,-0.003552222212072214,0.06948252004624518,0.3108752146298074,-0.039271154067905586,-0.048204008501265466,0.012370809018846265,-0.030407236540625604,-0.13651559811791986,-0.12095515704534462,-0.038485147819324356,-0.007178181716348498,0.005633743039898399,-0.06719744891628353,0.1163275111058319,0.012038768364089536,-0.04778723825972581,-0.02702080740322155,0.13623752488823127,-0.06317111935769112,-0.003661037687367597,-0.02927151995098803,0.02201806723126691,-0.03946890267684105,0.020731311937241967,0.017373963876385397,-0.027346790095693487,-0.12903601736862658
NO2,-0.0411909253355945,0.05609572143374947,-0.0368677390719416,-0.005149904617478704,-0.02489153344273865,-0.03154417146526423,-0.02407994099784757,0.10381120387233841,-0.06611504021396489,0.08712018786029141,0.013867798080916172,0.001537937063234779,-0.08646635867688926,-0.056760707763608295,-0.07007799944212693,0.12341178560281767,0.18051912512974042,-0.035710504307299,-0.01588975157155774,-0.06384639559514964,-0.019699089487679435,-0.1434522299151798,-0.036403780005413965,0.022987878978239402,-0.020603564414156374,-0.05443758271753442,0.023449437891420767,0.00847540037910971,-0.0889859937773606,-0.08205124116511053,-0.03729569656349868,-0.007242804145197013,0.03156711516696961,0.019006725145314395,-0.10313261892130289,-0.05641155684685313,-0.0790490952476896,-0.04666924089388515,0.029617197436096587,0.04928330493917195,-0.021227173822508813,-0.0572560806854697,-0.05497542117688084,-0.037330671167893424,-0.06484601943527236,-0.025577835861503747,-0.021634693832754074,-0.04296192293862519,0.0012576085615385554,-0.07911406954597876,-0.03166626029600009,-0.03466621221599119,-0.10703152798169915,0.06775063059161467,-0.041027930904500146,-0.09586677196072782,0.02330948268352371,0.13547611953560168,0.002196692505769215,0.006833180119280075,-0.058511473561253476,-0.046341586726180786,0.15759006985626872,-0.021199353903778605,-0.03740970883357496,-0.03489653782312483,-0.1210770934670638,0.05527234438412769,-0.032915194395269146,0.0611054726202304,0.2107065339707662,-0.027446304446455017,-0.03732175386448291,0.029508442510510012,-0.05940789139194491,-0.09569900431221083,-0.08374161265075594,-0.13062578594590354,-0.0010418655609259115,-0.03654499977021909,0.024155202880403546,0.26508994999614066,0.0049487301725228035,-0.03368438911005368,0.0034825448238941887,0.09727025588153967,-0.026555298491601483,0.0012703316504218114,0.00844538088246936,-0.051885520156446596,-0.0033273980026753327,0.039623793660060816,0.0262536603055923,-0.02071590274699892,-0.0758949108783833
NO3,-0.023469219377537532,0.03909926647904311,-0.031085108084887084,-0.029560326641484613,-0.02013467260235692,-0.033727860436951564,-0.03354209584703464,0.0678829326110761,-0.0455640676704437,0.07262433493154198,-0.010819772450407026,-0.012660863349372397,-0.06259960449279332,-0.026954648642652533,-0.04014112595769747,0.12114090851028159,0.12975772538340485,-0.045351300885095064,-0.06112285701966324,-0.04298376111626569,-0.013638377396814038,-0.10327293025298562,-0.06881764174218907,0.007163315129493898,-0.02803303248023969,-0.03839373799294313,0.036721722970213005,-0.03067250387715071,-0.05088848050787753,-0.0703313246026902,-0.033764305058947286,-0.02666924683011926,-0.01325671148714288,-0.017968400208324815,-0.08137129577290048,-0.02797331430824853,-0.0515415005560385,-0.04095582838289452,-0.00831754739905622,-0.0023823818194865913,-0.016849673476218775,-0.036066180765735936,-0.03539112842988811,-0.020969574744978604,-0.04255324879664787,-0.0262271055068759,-0.013493078476991747,-0.02930685893818314,-0.013661324309844184,-0.04947009479604726,-0.023491167906220592,-0.030153652452071102,-0.07042899601642787,0.15315673581687148,-0.028333905708165998,-0.058418904486776564,-0.010063105703178098,0.11534367808468815,-0.0072960734191709654,-0.018081753484367854,-0.038945685269783564,-0.043338567420992374,0.12739801138499784,-0.020015958149607563,-0.03052350182814935,-0.038866909962973734,-0.08988141770715247,0.028744487301586037,-0.04798697658450364,-0.019640422097801778,0.2135939299475304,-0.02831292239048206,-0.023847838190342214,-0.031031310884441332,-0.03057682528215685,-0.07897162079188232,-0.07584285334096122,-0.08401146726148401,-0.010070015028949213,-0.02177098785801459,-0.023787941083503503,0.3548128342124057,-0.01797216649486046,-0.04563579978133621,-0.008568691056912797,0.04264018743903568,-0.02469441307029877,-0.022996799455377442,-0.033052547902860836,-0.05093845340623061,-0.01396011763462183,-0.005206060611815847,-0.0038530812407576204,-0.02397282076045195,-0.07605179694775338
temperature,0.05775830970699279,-0.149207002583145,-0.037944106669242875,-0.09273507979519646,0.0005062998328000607,0.15529061664217134,-0.03512169495515368,-0.1781288648564155,0.24207842265977847,-0.20230670963407474,-0.1025438968879116,-0.07595229279922108,0.28283449114002246,-0.04338966907091641,-0.054233401249312585,-0.06103747508376377,0.03122206586101456,0.24292758410257864,-0.24822624527668927,-0.139547238218333,0.01067481277205586,0.23206787427429926,-0.09276162659210536,-0.04537429327410577,-0.006073417630668196,0.24600336102140646,-0.07172039049375804,0.15409367564686124,-0.017313457884958215,-0.03737208822601208,0.11534187625094472,0.14222458436298327,-0.12446492231376757,0.06304114012752939,0.3099233838529958,-0.08727435927984542,0.08694314973602593,0.24481426957027877,0.13513575479872283,-0.0685296563483638,-0.13776917652831588,0.13075257227382284,-0.014150611377575876,0.13086269154222152,0.21315665378716978,0.1122895817992827,0.02937355219821608,-0.0022109935828629975,-0.2105825803727895,1.6280226817855757e-05,0.07305131563346982,0.040878648404871945,0.26982325684624175,-0.16067120674578036,-0.047844519151635304,0.0658186479850502,-0.21836474758968283,-0.23280800657297973,0.16022374646716553,-0.05546790082414521,0.03224078006315481,0.08351673665153125,-0.27526872203536185,0.130234852155115,0.07166301468054383,0.02859803498474832,0.193870466335581,0.07675562948886319,0.2162085881786368,-0.14302791420276084,-0.11319687286044372,0.11677774517859002,0.1822053861629715,0.10061858276253015,0.07995974632208262,0.03678549904296172,0.01967201522813622,0.04673753602787911,-0.029412474181858262,0.03602212745936954,-0.19100322859137409,-0.2525246554788063,0.11028185286964265,-0.1091460208571624,-0.07488203065454013,-0.1853961414033526,-0.03486103874696735,-0.0468617349502517,0.08055759476025809,0.17093409345517685,-0.11184009550700383,0.05598895088867081,0.044511811564639125,0.05209421375686918,-0.22112438008558052
salinity,0.07725967962150415,-0.05750423216107586,0.028181211994773962,0.034811267938729636,0.03579128672859304,0.0778041119227803,0.0794049502937432,-0.0569668789536249,0.07772286325504008,-0.30512075524255056,0.01928160569490566,0.03164499095632761,0.18819612644451278,-0.0030213772914353984,0.06599189752929142,-0.17993147699441686,-0.36800748342471185,0.11734502915837414,0.10766797650047966,0.01850221783167938,0.040348306137830005,0.22120101566023898,0.16721722007139517,-0.042224695006857285,0.040828086228007564,0.1307383567693433,-0.06065501262091264,0.0475971213523432,0.06025049182009472,0.09511154860928876,0.045771857831004445,0.12107838833028409,0.06908694596429779,0.038388995205745194,0.25389227777022816,-0.0051102244663097105,0.06076619065272781,0.13807154317646558,-0.23184213705873907,0.021490986254558666,0.002740834058190893,0.1766505797377525,-0.003827447644520044,0.0529147676771657,0.08761590718380935,0.05826042646804526,0.00874372658587019,0.0009289505412184641,-0.03185444369596328,0.09437584752171636,0.05409386602108816,0.05683373325256569,0.1913458909382543,-0.26398768878205137,0.07989900699071767,0.17774060442639572,0.019601700571685397,-0.20249486970106167,0.008098385776472278,0.07705040884599651,0.09257890937052549,0.12620981531955167,-0.3614125072476422,0.07389700120706924,0.0967858165904428,0.042593390094343216,0.21654477629717633,-0.06866592813092642,0.14939984616663993,0.12675660020783247,-0.5383311874753101,0.06707330912490136,0.111811021061518,0.06765983150288525,0.096070406453798,0.13132378419029198,0.1102487796694912,0.15692572574866057,0.03604614691100064,0.060468786373032435,0.010724833098629635,-0.45330869941442675,-0.006469114288741052,0.05125793704555423,0.0015405435102866624,-0.0386965418097647,0.12409734212777473,0.09275434912987507,-0.022634468006450525,0.11498478985820039,0.04354165782079282,-0.030422854007196368,-0.09611206698065397,0.10296378366861927,0.015257209059472702
Chl_a,-0.030058517942628427,-0.05951696662876595,-0.05629384767073506,-0.06784166795186122,-0.02116490770512191,0.07168059788921327,-0.05840560190531123,-0.06762933520275427,0.16696641980182061,0.07606357017790154,-0.03153435833038376,-0.02308740384410103,-0.07800756780499843,-0.05302037340711335,-0.08781668009065821,0.09990753071799285,0.20948951230149443,0.09534551597878702,-0.17467631458284802,-0.08601121078008074,-0.02827535311446138,-0.14149446955364475,-0.0999393775001747,-0.015869688214533304,-0.041113936283927635,0.08899830709383906,-0.02551170105974388,0.20335412858034427,-0.08000176999676217,-0.10819168213517497,-0.01247943826808015,0.04162955130534958,-0.0517410139766107,0.002558541087594881,-0.07979118179763438,-0.06093244231837697,-0.07409369243065161,0.07727442039981094,0.07447888759854408,-0.004609696248564738,-0.04615748001979758,-0.04511042402774362,-0.050895822235554625,0.019706545638347537,0.5681766356645208,0.040524888511745696,-0.01356939778488369,-0.04141272412352452,-0.061301374981525394,-0.08225324226029959,-0.0323244043732154,-0.04244852882830091,-0.09452303972770118,0.06327980998725777,-0.05342172864994571,-0.026056724016480952,-0.0898957754048651,-0.013471658564837577,0.055314606556955206,-0.027930096026621956,-0.06252077859550303,-0.03920793390598561,0.11483815293688694,0.018542158818082265,0.024140706815254716,0.20699533920907592,-0.11188614919652679,0.08848673972526215,0.042556412160869736,-0.12396862576746862,0.12544956419290798,0.1494830369215262,0.032951322025918,0.0885327776760105,-0.0374780806436564,-0.1205057318939071,-0.11037706401710798,-0.09639554357511566,-0.018698864151705026,-0.015433289683643431,-0.07614845567117207,0.1434348902468921,0.11294808617395855,-0.1053911965969336,-0.02688028117346569,-0.05050014349916604,-0.08219417563775475,-0.022495477592548267,0.01243259173089484,-0.04188380765361856,-0.04409701877378645,0.03079357553591429,0.04564924164131106,-0.05208895911915187,-0.14612000678932452
Phaeo,-0.02418660335123212,-0.0368990634581909,-0.03242363731453584,-0.03159866015441839,-0.009434327036929365,0.02819848980465576,-0.03379395642544035,-0.04658638752110736,0.028244522175835975,0.005217463455706704,0.0028118123651021485,-0.00711949556154088,-0.061695789574101705,-0.03463792276511116,-0.0428193711199006,0.0861859559981056,0.07497043262106096,0.03504857551768241,-0.10733303402226899,-0.057533231114686334,-0.013665050064071543,-0.08619513528447827,-0.03827978036709932,-0.009743598713689735,-0.01893441114437701,-0.018711176397116835,-0.009380789299271918,0.40100679814238316,-0.05416237519718319,-0.06535103972419065,0.012826938717307213,-0.008773620692536396,-0.022053252333812817,0.016179211281038754,-0.052589170962326584,-0.035784608605253745,-0.04932388153903961,0.009040086513385084,0.12186380813406907,0.008023844811006986,-0.013770829804800693,-0.03754004744171717,-0.03236374398077332,-0.004222275297036435,-0.0031496789174298313,0.022590797982431497,-0.00802582679355017,-0.02404978521240224,0.018512514352990124,-0.04180960800166139,-0.025047540409937806,-0.01935301065736049,-0.06180632283498919,0.0022760997959440188,-0.04235918357293584,-0.033855565616302034,-0.05525667836971661,-0.025909823068664607,0.11454071373639388,-0.01988556750884771,-0.03700951259140317,-0.01698244007411091,-0.0008088657169812476,0.03717828964128465,-0.007927731883612187,0.4723245435121018,-0.06253026387511379,0.04625906221793151,0.0726958198077482,-0.08422437077394097,0.05647478048488215,0.1436551375719585,-0.023100757805956624,0.033636372471659855,-0.030929740111587525,-0.07200497786255726,-0.05112964727909611,-0.06376282713750811,-0.007559938846836246,-0.011732287956566511,-0.0497008674907195,0.01773797071566395,0.2906162097161168,-0.07006038019631287,-0.01715528793229221,-0.030262438816723157,-0.03412390248063078,-0.01099168213637545,0.06285047430659407,0.010375521402854892,-0.02416933313294155,0.06135299691946708,0.06401428663776582,-0.03529260895463094,-0.07182921150501942
Chl_a_conc,-0.0317950582692224,-0.05997115602476623,-0.056050869041091356,-0.0655190014246512,-0.020325264890899593,0.06781785371107156,-0.058195323175184,-0.06941007635983937,0.14780402803624476,0.06525696519705387,-0.02570345226170529,-0.021310326624673342,-0.08222288020340734,-0.05390462827411116,-0.08533060075407656,0.10725285853570776,0.19618024115766036,0.08953974287103036,-0.1757481219648557,-0.08781019423786479,-0.027441757796121985,-0.14215939330303357,-0.09427268228396476,-0.015964940992524695,-0.03964789234806441,0.06961631383194669,-0.02395900567412032,0.27955224554382385,-0.08185123853505645,-0.10854892721611231,-0.006991414724082537,0.032557699924270815,-0.04941402057034332,0.006540174959149053,-0.08124735384286058,-0.06085658571561672,-0.07557888203719967,0.067311107796203,0.09559734094950761,-0.001690394600165731,-0.04247900058684495,-0.04805373382064276,-0.051504028586649375,0.015393381753019617,0.47601719202440096,0.04014624071376503,-0.013567911680230315,-0.04128753037138715,-0.046424133939264395,-0.08038703202555256,-0.03393057476428528,-0.04088167295064503,-0.09611437598576972,0.05372891343670802,-0.05633787027438138,-0.031061540304246918,-0.09045241891552488,-0.018341525209915267,0.07752442436835587,-0.028840902142062936,-0.06252225223207168,-0.03751820325991131,0.0961643928191652,0.025656689027606608,0.018108925778003732,0.30197165613667337,-0.11088384156402155,0.08682688713714307,0.055455214080495384,-0.12691482189649328,0.12062354485324725,0.16446506666494087,0.021384105083660322,0.0834383668868929,-0.0398531344322529,-0.12069074291837595,-0.10652190432551886,-0.0982171804651501,-0.01774659592935207,-0.016138615245187643,-0.07740580565462382,0.1252013329211786,0.17370226562448204,-0.10747709446539723,-0.027218496900390104,-0.0506014132747135,-0.07825072743250386,-0.021864850408298088,0.027499112102533637,-0.032336169335244545,-0.04357292512915672,0.042502963942712864,0.05569393026376366,-0.05330064194347146,-0.14214115872118377
